issue_year,rows,terminal_at_snapshot,available_by_cutoff,available_rate,available_bad,available_good
2014,162570,162570.0,59910.0,0.36851817678538473,9317.0,50593.0
2015,283173,283173.0,28878.0,0.10198006165842083,2163.0,26715.0
2016,96120,96120.0,1110.0,0.011548064918851436,0.0,1110.0
