policy,risk_tolerance,uncertainty_aversion,price_of_robustness,price_of_robustness_pct,expected_return_net_point,worst_case_loss,worst_case_pd,point_pd,n_funded,solver_status
nonrobust,0.08,0.0,0.0,0.0,64151.674232189194,36000.000000036,0.08,0.011840542982958916,128,TerminationCondition.optimal
robust,0.08,0.0,0.0,0.0,64151.674232189194,36000.000000036,0.08,0.011840542982958916,128,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-58321.45505821823,-90.91182070513341,122473.12929040742,153033.81124784355,0.3400751361059789,0.06631183494179059,221,TerminationCondition.optimal
robust,0.08,0.0,-49833.505665506775,-77.68075620967217,113985.17989769597,128580.25230612549,0.28573389401332644,0.05714067844296373,193,TerminationCondition.optimal
robust,0.08,0.0,-43055.783102621586,-67.11560316588971,107207.45733481078,112960.73286061642,0.2510238508011188,0.0498193204468614,186,TerminationCondition.optimal
robust,0.08,0.0,-37441.99142040798,-58.36479229568911,101593.66565259718,101388.34499694622,0.2253074333263218,0.04367314166841954,179,TerminationCondition.optimal
robust,0.08,0.0,-32460.13658389155,-50.59904822733081,96611.81081608075,91529.72891849531,0.20339939759645287,0.03886686746784905,167,TerminationCondition.optimal
robust,0.08,0.0,-24584.630868606968,-38.3226644705213,88736.30510079616,76697.30627464797,0.17043845838793611,0.03130236856034208,161,TerminationCondition.optimal
robust,0.08,0.0,-15855.775222501106,-24.716073917051474,80007.4494546903,61255.37239612688,0.1361230497690347,0.0238769502309653,151,TerminationCondition.optimal
robust,0.08,0.0,-58321.45505821823,-90.91182070513341,122473.12929040742,153033.81124784355,0.3400751361059789,0.06631183494179059,221,TerminationCondition.optimal
robust,0.08,0.0,-49833.505665506775,-77.68075620967217,113985.17989769597,128580.25230612549,0.28573389401332644,0.05714067844296373,193,TerminationCondition.optimal
robust,0.08,0.0,-43055.783102621586,-67.11560316588971,107207.45733481078,112960.73286061642,0.2510238508011188,0.0498193204468614,186,TerminationCondition.optimal
robust,0.08,0.0,-37441.99142040798,-58.36479229568911,101593.66565259718,101388.34499694622,0.2253074333263218,0.04367314166841954,179,TerminationCondition.optimal
robust,0.08,0.0,-32460.13658389155,-50.59904822733081,96611.81081608075,91529.72891849531,0.20339939759645287,0.03886686746784905,167,TerminationCondition.optimal
robust,0.08,0.0,-24584.630868606968,-38.3226644705213,88736.30510079616,76697.30627464797,0.17043845838793611,0.03130236856034208,161,TerminationCondition.optimal
robust,0.08,0.0,-15855.775222501106,-24.716073917051474,80007.4494546903,61255.37239612688,0.1361230497690347,0.0238769502309653,151,TerminationCondition.optimal
robust,0.08,0.0,-58321.45505821823,-90.91182070513341,122473.12929040742,153033.81124784355,0.3400751361059789,0.06631183494179059,221,TerminationCondition.optimal
robust,0.08,0.0,-49833.505665506775,-77.68075620967217,113985.17989769597,128580.25230612549,0.28573389401332644,0.05714067844296373,193,TerminationCondition.optimal
robust,0.08,0.0,-43055.783102621586,-67.11560316588971,107207.45733481078,112960.73286061642,0.2510238508011188,0.0498193204468614,186,TerminationCondition.optimal
robust,0.08,0.0,-37441.99142040798,-58.36479229568911,101593.66565259718,101388.34499694622,0.2253074333263218,0.04367314166841954,179,TerminationCondition.optimal
robust,0.08,0.0,-32460.13658389155,-50.59904822733081,96611.81081608075,91529.72891849531,0.20339939759645287,0.03886686746784905,167,TerminationCondition.optimal
robust,0.08,0.0,-24584.630868606968,-38.3226644705213,88736.30510079616,76697.30627464797,0.17043845838793611,0.03130236856034208,161,TerminationCondition.optimal
robust,0.08,0.0,-15855.775222501106,-24.716073917051474,80007.4494546903,61255.37239612688,0.1361230497690347,0.0238769502309653,151,TerminationCondition.optimal
robust,0.08,0.0,-58321.45505821823,-90.91182070513341,122473.12929040742,153033.81124784355,0.3400751361059789,0.06631183494179059,221,TerminationCondition.optimal
robust,0.08,0.0,-49833.505665506775,-77.68075620967217,113985.17989769597,128580.25230612549,0.28573389401332644,0.05714067844296373,193,TerminationCondition.optimal
robust,0.08,0.0,-43055.783102621586,-67.11560316588971,107207.45733481078,112960.73286061642,0.2510238508011188,0.0498193204468614,186,TerminationCondition.optimal
robust,0.08,0.0,-37441.99142040798,-58.36479229568911,101593.66565259718,101388.34499694622,0.2253074333263218,0.04367314166841954,179,TerminationCondition.optimal
robust,0.08,0.0,-32460.13658389155,-50.59904822733081,96611.81081608075,91529.72891849531,0.20339939759645287,0.03886686746784905,167,TerminationCondition.optimal
robust,0.08,0.0,-24584.630868606968,-38.3226644705213,88736.30510079616,76697.30627464797,0.17043845838793611,0.03130236856034208,161,TerminationCondition.optimal
robust,0.08,0.0,-15855.775222501106,-24.716073917051474,80007.4494546903,61255.37239612688,0.1361230497690347,0.0238769502309653,151,TerminationCondition.optimal
robust,0.08,0.0,-58321.45505821823,-90.91182070513341,122473.12929040742,153033.81124784355,0.3400751361059789,0.06631183494179059,221,TerminationCondition.optimal
robust,0.08,0.0,-49833.505665506775,-77.68075620967217,113985.17989769597,128580.25230612549,0.28573389401332644,0.05714067844296373,193,TerminationCondition.optimal
robust,0.08,0.0,-43055.783102621586,-67.11560316588971,107207.45733481078,112960.73286061642,0.2510238508011188,0.0498193204468614,186,TerminationCondition.optimal
robust,0.08,0.0,-37441.99142040798,-58.36479229568911,101593.66565259718,101388.34499694622,0.2253074333263218,0.04367314166841954,179,TerminationCondition.optimal
robust,0.08,0.0,-32460.13658389155,-50.59904822733081,96611.81081608075,91529.72891849531,0.20339939759645287,0.03886686746784905,167,TerminationCondition.optimal
robust,0.08,0.0,-24584.630868606968,-38.3226644705213,88736.30510079616,76697.30627464797,0.17043845838793611,0.03130236856034208,161,TerminationCondition.optimal
robust,0.08,0.0,-15855.775222501106,-24.716073917051474,80007.4494546903,61255.37239612688,0.1361230497690347,0.0238769502309653,151,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
robust,0.08,0.0,-70155.50597807093,-109.35880757072374,134307.18021026012,203223.46352483373,0.45160769672140116,0.08,235,TerminationCondition.optimal
