role,period,metric,score_lower,score_upper,policies,q_lower,q_upper,development_max_upper,classification,exceeds_conservative_reference,within_conservative_reference,exceeds_all_development_upper
primary_oot,2016-04,default_gap,0.37361781799197685,0.37361781799197685,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-04,miscoverage_excess,0.33945000000001,0.33945000000001,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-04,payoff_shortfall,0.25251324900525507,0.25251324900525507,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-05,default_gap,0.2755830279778666,0.2755830279778666,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-05,miscoverage_excess,0.2545749999999999,0.2545749999999999,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-05,payoff_shortfall,0.18446154387725877,0.18446154387725877,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-06,default_gap,0.250224870138526,0.250224870138526,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-06,miscoverage_excess,0.3182250000000004,0.3182250000000004,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-06,payoff_shortfall,0.15814199950130492,0.15814199950130492,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-07,default_gap,0.21944624941622418,0.21944624941622418,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-07,miscoverage_excess,0.24457499999999996,0.24457499999999996,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-07,payoff_shortfall,0.15354698668236874,0.15354698668236874,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-08,default_gap,0.3424435318944032,0.3424435318944032,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-08,miscoverage_excess,0.3316999999999981,0.3316999999999981,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-08,payoff_shortfall,0.23854530010317543,0.23854530010317543,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-09,default_gap,0.2882423960253481,0.3032423960253481,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-09,miscoverage_excess,0.27220642448463517,0.275475,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-09,payoff_shortfall,0.19029959336169114,0.1957372345771117,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-10,default_gap,0.29761660339160334,0.29761660339160334,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-10,miscoverage_excess,0.26976886163510716,0.26976886163510716,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-10,payoff_shortfall,0.19536826017980666,0.19536826017980666,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
