role,period,window_id,frontier_ruler,frontier_coordinate,gamma,candidate_id,policy_label,exposure,funded_rows,unresolved_funded_rows,unresolved_exposure_share,metric,raw_gap_lower,raw_gap_upper,score_lower,score_upper
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.25,0.0,normalized_score_g000_c025,normalized_score_g000_c025,1000000.0,107,0,0.0,default_gap,-0.020557665489073486,-0.020557665489073486,0.0,0.0
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.25,0.25,normalized_score_g025_c025,normalized_score_g025_c025,1000000.0,103,0,0.0,default_gap,0.07328622630299833,0.07328622630299833,0.07328622630299833,0.07328622630299833
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.25,0.5,normalized_score_g050_c025,normalized_score_g050_c025,1000000.0,104,0,0.0,default_gap,0.10084182214192336,0.10084182214192336,0.10084182214192336,0.10084182214192336
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.25,0.75,normalized_score_g075_c025,normalized_score_g075_c025,1000000.0,104,0,0.0,default_gap,0.09898267913236379,0.09898267913236379,0.09898267913236379,0.09898267913236379
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.25,1.0,normalized_score_g100_c025,normalized_score_g100_c025,1000000.0,104,0,0.0,default_gap,0.09810419873028481,0.09810419873028481,0.09810419873028481,0.09810419873028481
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.5,0.0,normalized_score_g000_c050,normalized_score_g000_c050,1000000.0,118,0,0.0,default_gap,-0.012210567520764264,-0.012210567520764264,0.0,0.0
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.5,0.25,normalized_score_g025_c050,normalized_score_g025_c050,1000000.0,114,0,0.0,default_gap,0.09489686185033594,0.09489686185033594,0.09489686185033594,0.09489686185033594
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.5,0.5,normalized_score_g050_c050,normalized_score_g050_c050,1000000.0,114,0,0.0,default_gap,0.12228489339771297,0.12228489339771297,0.12228489339771297,0.12228489339771297
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.5,0.75,normalized_score_g075_c050,normalized_score_g075_c050,1000000.0000000001,115,0,0.0,default_gap,0.08995760562653403,0.08995760562653403,0.08995760562653403,0.08995760562653403
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.5,1.0,normalized_score_g100_c050,normalized_score_g100_c050,1000000.0,113,0,0.0,default_gap,0.10567105477589127,0.10567105477589127,0.10567105477589127,0.10567105477589127
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.75,0.0,normalized_score_g000_c075,normalized_score_g000_c075,1000000.0,115,0,0.0,default_gap,0.03248855896995613,0.03248855896995613,0.03248855896995613,0.03248855896995613
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.75,0.25,normalized_score_g025_c075,normalized_score_g025_c075,1000000.0,114,0,0.0,default_gap,0.08390755705160936,0.08390755705160936,0.08390755705160936,0.08390755705160936
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.75,0.5,normalized_score_g050_c075,normalized_score_g050_c075,1000000.0,114,0,0.0,default_gap,0.08229558327793847,0.08229558327793847,0.08229558327793847,0.08229558327793847
policy_development,2013-02,w01_2012m01_m06,normalized_score,0.75,0.75,normalized_score_g075_c075,normalized_score_g075_c075,999999.9999999999,114,0,0.0,default_gap,0.08188652330289742,0.08188652330289742,0.08188652330289742,0.08188652330289742
