role,period,metric,score_lower,score_upper,policies
policy_development,2013-02,default_gap,0.12230660203664913,0.12230660203664913,240
policy_development,2013-02,miscoverage_excess,0.16634999999999997,0.16634999999999997,240
policy_development,2013-02,payoff_shortfall,0.07420811935888924,0.07420811935888924,240
policy_development,2013-03,default_gap,0.07173356740444736,0.07173356740444736,240
policy_development,2013-03,miscoverage_excess,0.07799999999999999,0.07799999999999999,240
policy_development,2013-03,payoff_shortfall,0.043239872798076125,0.043239872798076125,240
policy_development,2013-04,default_gap,0.0713763924898229,0.07687639248982289,240
policy_development,2013-04,miscoverage_excess,0.07922499999999996,0.08472499999999997,240
policy_development,2013-04,payoff_shortfall,0.042899678636686346,0.046324528636686346,240
policy_development,2013-05,default_gap,0.17087969856355695,0.17087969856355695,240
policy_development,2013-05,miscoverage_excess,0.1584749999999999,0.1584749999999999,240
policy_development,2013-05,payoff_shortfall,0.1071157868521923,0.1071157868521923,240
policy_development,2013-06,default_gap,0.0752717903300905,0.0752717903300905,240
policy_development,2013-06,miscoverage_excess,0.030100000000000016,0.030100000000000016,240
policy_development,2013-06,payoff_shortfall,0.05003802130204652,0.05003802130204652,240
policy_development,2013-07,default_gap,0.18219366643855084,0.20990112204059513,240
policy_development,2013-07,miscoverage_excess,0.175175,0.203775,240
policy_development,2013-07,payoff_shortfall,0.12043006884637322,0.13913446000387866,240
policy_development,2013-08,default_gap,0.12037885059703418,0.12037885059703418,240
policy_development,2013-08,miscoverage_excess,0.12440179126389883,0.12440179126389883,240
policy_development,2013-08,payoff_shortfall,0.07862566654257047,0.07862566654257047,240
policy_development,2013-09,default_gap,0.05077805661974703,0.058778056619747034,240
policy_development,2013-09,miscoverage_excess,0.042775000000001784,0.05077500000000179,240
policy_development,2013-09,payoff_shortfall,0.03235801440048684,0.03758281440048684,240
policy_development,2013-10,default_gap,0.12832467632605718,0.12832467632605718,240
policy_development,2013-10,miscoverage_excess,0.11195,0.11195,240
policy_development,2013-10,payoff_shortfall,0.08220626068251698,0.08220626068251698,240
policy_development,2013-11,default_gap,0.13578368097180862,0.13578368097180862,240
policy_development,2013-11,miscoverage_excess,0.127025,0.127025,240
policy_development,2013-11,payoff_shortfall,0.08236004821818557,0.08236004821818557,240
policy_development,2013-12,default_gap,0.19969236119925052,0.19969236119925052,240
policy_development,2013-12,miscoverage_excess,0.17132499999999998,0.17132499999999998,240
policy_development,2013-12,payoff_shortfall,0.12264933267600503,0.12264933267600503,240
primary_oot,2016-04,default_gap,0.37361781799197685,0.37361781799197685,240
primary_oot,2016-04,miscoverage_excess,0.33945000000001,0.33945000000001,240
primary_oot,2016-04,payoff_shortfall,0.25251324900525507,0.25251324900525507,240
primary_oot,2016-05,default_gap,0.2755830279778666,0.2755830279778666,240
primary_oot,2016-05,miscoverage_excess,0.2545749999999999,0.2545749999999999,240
primary_oot,2016-05,payoff_shortfall,0.18446154387725877,0.18446154387725877,240
primary_oot,2016-06,default_gap,0.250224870138526,0.250224870138526,240
primary_oot,2016-06,miscoverage_excess,0.3182250000000004,0.3182250000000004,240
primary_oot,2016-06,payoff_shortfall,0.15814199950130492,0.15814199950130492,240
primary_oot,2016-07,default_gap,0.21944624941622418,0.21944624941622418,240
primary_oot,2016-07,miscoverage_excess,0.24457499999999996,0.24457499999999996,240
primary_oot,2016-07,payoff_shortfall,0.15354698668236874,0.15354698668236874,240
primary_oot,2016-08,default_gap,0.3424435318944032,0.3424435318944032,240
primary_oot,2016-08,miscoverage_excess,0.3316999999999981,0.3316999999999981,240
primary_oot,2016-08,payoff_shortfall,0.23854530010317543,0.23854530010317543,240
primary_oot,2016-09,default_gap,0.2882423960253481,0.3032423960253481,240
primary_oot,2016-09,miscoverage_excess,0.27220642448463517,0.275475,240
primary_oot,2016-09,payoff_shortfall,0.19029959336169114,0.1957372345771117,240
primary_oot,2016-10,default_gap,0.29761660339160334,0.29761660339160334,240
primary_oot,2016-10,miscoverage_excess,0.26976886163510716,0.26976886163510716,240
primary_oot,2016-10,payoff_shortfall,0.19536826017980666,0.19536826017980666,240
primary_oot,2016-11,default_gap,0.3865578944650413,0.39353321441579014,240
primary_oot,2016-11,miscoverage_excess,0.3676816459292479,0.3676816459292479,240
primary_oot,2016-11,payoff_shortfall,0.27758698716317637,0.28246878716317636,240
primary_oot,2016-12,default_gap,0.43392523664713073,0.43392523664713073,240
primary_oot,2016-12,miscoverage_excess,0.42227500000000007,0.42227500000000007,240
primary_oot,2016-12,payoff_shortfall,0.31576903896593383,0.31576903896593383,240
primary_oot,2017-01,default_gap,0.2299822058058433,0.2299822058058433,240
primary_oot,2017-01,miscoverage_excess,0.2106000000000006,0.2106000000000006,240
primary_oot,2017-01,payoff_shortfall,0.15814694427055356,0.15814694427055356,240
primary_oot,2017-02,default_gap,0.31942256119535434,0.34942256119535436,240
primary_oot,2017-02,miscoverage_excess,0.281725000000024,0.311725000000024,240
primary_oot,2017-02,payoff_shortfall,0.21631209252513292,0.23782409252513292,240
primary_oot,2017-03,default_gap,0.255383501415063,0.271383501415063,240
primary_oot,2017-03,miscoverage_excess,0.22595,0.24194999999999997,240
primary_oot,2017-03,payoff_shortfall,0.17905642682734946,0.19084682682734946,240
primary_oot,2017-04,default_gap,0.3192262456874646,0.3432262456874646,240
primary_oot,2017-04,miscoverage_excess,0.29779999999999995,0.3218,240
