metric,calibration_blocks,alpha,rank,q_lower,q_upper,development_min_lower,development_max_upper
payoff_shortfall,11,0.1,11,0.12264933267600503,0.13913446000387866,0.03235801440048684,0.13913446000387866
default_gap,11,0.1,11,0.19969236119925052,0.20990112204059513,0.05077805661974703,0.20990112204059513
miscoverage_excess,11,0.1,11,0.175175,0.203775,0.030100000000000016,0.203775
