cohort,rows,total_gap,mean_gap,median_gap,max_gap,partial_share,funded_ratio
censored_extension,88227,0.0,0.0,0.0,0.0,0.0,1.0
conformal_fit,49007,127925.0,2.610341379802885,0.0,12850.0,0.00042851021282673904,0.9997805051607024
maturity_gap,541863,0.0,0.0,0.0,0.0,0.0,1.0
pd_development,17433,3660025.0,209.94808696150977,0.0,21025.0,0.0447427293064877,0.9781837337301165
policy_development,94885,1625.0,0.017125994625072458,0.0,1600.0,2.107814723085841e-05,0.9999986425245718
post_extension,877671,0.0,0.0,0.0,0.0,0.0,1.0
primary_oot,376890,18000.0,0.0477592931624612,0.0,10000.0,5.306588129162355e-06,0.9999961757560076
probability_calibration,14101,316350.0,22.43457910786469,0.0,13175.0,0.00496418693709666,0.9976186972350617
