cohort,feature,rows,present_rows,coverage,first_seen
policy_development,collections_12_mths_ex_med,94885,94885,1.0,2013-02-01
post_extension,collections_12_mths_ex_med,877671,877671,1.0,2017-10-01
primary_oot,collections_12_mths_ex_med,376890,376890,1.0,2016-04-01
probability_calibration,collections_12_mths_ex_med,14101,14101,1.0,2011-01-01
censored_extension,debt_settlement_flag,88227,88227,1.0,2017-07-01
conformal_fit,debt_settlement_flag,49007,49007,1.0,2012-01-01
maturity_gap,debt_settlement_flag,541863,541863,1.0,2014-01-01
pd_development,debt_settlement_flag,17433,17433,1.0,2007-06-01
policy_development,debt_settlement_flag,94885,94885,1.0,2013-02-01
post_extension,debt_settlement_flag,877671,877671,1.0,2017-10-01
primary_oot,debt_settlement_flag,376890,376890,1.0,2016-04-01
probability_calibration,debt_settlement_flag,14101,14101,1.0,2011-01-01
censored_extension,deferral_term,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,deferral_term,49007,0,0.0,
maturity_gap,deferral_term,541863,2205,0.0040692942681083595,2014-08-01
pd_development,deferral_term,17433,0,0.0,
policy_development,deferral_term,94885,0,0.0,
post_extension,deferral_term,877671,74396,0.08476524802574086,2017-10-01
primary_oot,deferral_term,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,deferral_term,14101,0,0.0,
censored_extension,delinq_2yrs,88227,88227,1.0,2017-07-01
conformal_fit,delinq_2yrs,49007,49007,1.0,2012-01-01
maturity_gap,delinq_2yrs,541863,541863,1.0,2014-01-01
pd_development,delinq_2yrs,17433,17404,0.9983364882693742,2007-06-01
policy_development,delinq_2yrs,94885,94885,1.0,2013-02-01
post_extension,delinq_2yrs,877671,877671,1.0,2017-10-01
primary_oot,delinq_2yrs,376890,376890,1.0,2016-04-01
probability_calibration,delinq_2yrs,14101,14101,1.0,2011-01-01
censored_extension,delinq_amnt,88227,88227,1.0,2017-07-01
conformal_fit,delinq_amnt,49007,49007,1.0,2012-01-01
maturity_gap,delinq_amnt,541863,541863,1.0,2014-01-01
pd_development,delinq_amnt,17433,17404,0.9983364882693742,2007-06-01
policy_development,delinq_amnt,94885,94885,1.0,2013-02-01
post_extension,delinq_amnt,877671,877671,1.0,2017-10-01
primary_oot,delinq_amnt,376890,376890,1.0,2016-04-01
probability_calibration,delinq_amnt,14101,14101,1.0,2011-01-01
censored_extension,dti,88227,88120,0.9987872193319506,2017-07-01
conformal_fit,dti,49007,49007,1.0,2012-01-01
maturity_gap,dti,541863,541851,0.9999778541808538,2014-01-01
pd_development,dti,17433,17433,1.0,2007-06-01
policy_development,dti,94885,94885,1.0,2013-02-01
post_extension,dti,877671,876133,0.9982476349338192,2017-10-01
primary_oot,dti,376890,376793,0.9997426304757356,2016-04-01
probability_calibration,dti,14101,14101,1.0,2011-01-01
censored_extension,dti_joint,88227,7699,0.08726353610572728,2017-07-01
conformal_fit,dti_joint,49007,0,0.0,
maturity_gap,dti_joint,541863,1764,0.0032554354144866877,2015-10-01
pd_development,dti_joint,17433,0,0.0,
policy_development,dti_joint,94885,0,0.0,
post_extension,dti_joint,877671,99855,0.1137727007044781,2017-10-01
primary_oot,dti_joint,376890,10047,0.02665764546684709,2016-04-01
probability_calibration,dti_joint,14101,0,0.0,
censored_extension,earliest_cr_line,88227,88227,1.0,2017-07-01
conformal_fit,earliest_cr_line,49007,49007,1.0,2012-01-01
maturity_gap,earliest_cr_line,541863,541863,1.0,2014-01-01
