learner,pair_id,pair_index,window_from,window_to,taxonomy_groups,conformal_group,score_stratum,candidate_rows,resolved_rows,unresolved_rows,threshold_from,threshold_to,threshold_low,threshold_high,threshold_delta,threshold_sign,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,resolved_delta_rate,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,delta_lower,delta_upper,delta_width,ids_sha256,scores_sha256,assignments_sha256
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,0,1,60520,58445,2075,0.048815440069822844,0.04853565085847877,0.04853565085847877,0.048815440069822844,-0.0002797892113440767,-1,693,0,609,0,-609,0,-609,51423,50814,-0.0104200530413209,-631,-609,22,-0.010426305353602115,-0.010062789160608064,0.00036351619299405155,42bedb4c3668d4d5e7189e70b5c2f5c55e1a9522900cf07b9d3f9706c6e422f2,375fe8d8a443a5d8ac7cf2da9253194ec64b71caeb88470ca603098d9aa4a4cc,1a690b4cec6d6b6c3fb3340dacaff335c1eb67a8d74c9414a12df50466abaec5
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,1,2,79865,77165,2700,0.07970959229097281,0.07978766496058752,0.07970959229097281,0.07978766496058752,7.807266961470938e-05,1,206,0,168,0,168,0,168,67525,67693,0.0021771528542733104,168,178,10,0.002103549740186565,0.002228761034245289,0.00012521129405872408,eab0eb47d329e329988ab0b96a639bcf1e312b4e17f4ca24c8c0723ccd13a2e8,b8cb266f3d604e8a4abf7f676e9c52a2643d25218fcd7881752f3b5a9cf6da88,080524293dc58151b54ac1d7b503f409e980e34e765f0b8ac361a31bc1f6dca0
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,2,3,79047,76495,2552,0.8916085888119072,0.890281077239412,0.890281077239412,0.8916085888119072,-0.0013275115724952213,-1,0,3105,0,516,0,-516,-516,66526,66010,-0.006745538924112687,-622,-516,106,-0.007868736321429023,-0.006527761964400926,0.0013409743570280972,c23db5872a049067a0cbbe57f6b7b5fba308f3ecdde5916011ccb305eb05f859,7a0d1de9eadc468307dd5173b75e7a25483d8cbd103689b84f1854f12fc43194,ae7f5d7c1a202281b72c8a2bcf3498d9e33f805535dccd6a92c500c788f7ebee
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,3,4,80235,77819,2416,0.863313952320159,0.8624583885207028,0.8624583885207028,0.863313952320159,-0.0008555637994561716,-1,0,1674,0,305,0,-305,-305,68476,68171,-0.003919351315231499,-345,-305,40,-0.0042998691344176485,-0.0038013335826011093,0.0004985355518165389,cbc89358ad150eea1b105f591aa926327a5214a81cc7372bf33d23d393e6a950,936f7185d092737c77be7700a773430ed8ecd974a059c0a4f47544e26a90f82f,48504f0eeba9303c891c41f9d4bdc17375c167208d1274e23dc4cee6df380ce0
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,4,5,77223,74890,2333,0.8115631424920364,0.8127065501276763,0.8115631424920364,0.8127065501276763,0.0011434076356399148,1,0,934,0,218,0,218,218,66260,66478,0.002910936039524636,218,246,28,0.0028229931497092834,0.0031855794258187327,0.00036258627610944924,475ae90ddefc3b0bb06a7cb8245775084f7e24e48661c8b81cba83677e1466fd,79de9092b631d37a5ba87868e0b8f2a54fb43116e93ecf1a3d5bbec635c6fc82,0b7cc2d381db9e70a9684cdefc3d2ac8495796e12d55396f2053ec5fca547c8c
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,0,1,60520,58445,2075,0.04853565085847877,0.048438468365525386,0.048438468365525386,0.04853565085847877,-9.718249295338072e-05,-1,240,0,209,0,-209,0,-209,50814,50605,-0.003576011634870391,-218,-209,9,-0.003602115003304693,-0.00345340383344349,0.0001487111698612029,42bedb4c3668d4d5e7189e70b5c2f5c55e1a9522900cf07b9d3f9706c6e422f2,375fe8d8a443a5d8ac7cf2da9253194ec64b71caeb88470ca603098d9aa4a4cc,1a690b4cec6d6b6c3fb3340dacaff335c1eb67a8d74c9414a12df50466abaec5
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,1,2,79865,77165,2700,0.07978766496058752,0.07978673631620159,0.07978673631620159,0.07978766496058752,-9.286443859307658e-07,-1,2,0,2,0,-2,0,-2,67693,67691,-2.5918486360396552e-05,-2,-2,0,-2.504225881174482e-05,-2.504225881174482e-05,0.0,eab0eb47d329e329988ab0b96a639bcf1e312b4e17f4ca24c8c0723ccd13a2e8,b8cb266f3d604e8a4abf7f676e9c52a2643d25218fcd7881752f3b5a9cf6da88,080524293dc58151b54ac1d7b503f409e980e34e765f0b8ac361a31bc1f6dca0
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,2,3,79047,76495,2552,0.890281077239412,0.8894148014498154,0.8894148014498154,0.890281077239412,-0.0008662757895965267,-1,0,2048,0,337,0,-337,-337,66010,65673,-0.004405516700437937,-406,-337,69,-0.00513618480144724,-0.0042632863992308374,0.0008728984022164029,c23db5872a049067a0cbbe57f6b7b5fba308f3ecdde5916011ccb305eb05f859,7a0d1de9eadc468307dd5173b75e7a25483d8cbd103689b84f1854f12fc43194,ae7f5d7c1a202281b72c8a2bcf3498d9e33f805535dccd6a92c500c788f7ebee
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,3,4,80235,77819,2416,0.8624583885207028,0.8616959042825142,0.8616959042825142,0.8624583885207028,-0.0007624842381885877,-1,0,1411,0,269,0,-269,-269,68171,67902,-0.003456739356712371,-324,-269,55,-0.004038137969713965,-0.0033526515859662242,0.000685486383747741,cbc89358ad150eea1b105f591aa926327a5214a81cc7372bf33d23d393e6a950,936f7185d092737c77be7700a773430ed8ecd974a059c0a4f47544e26a90f82f,48504f0eeba9303c891c41f9d4bdc17375c167208d1274e23dc4cee6df380ce0
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,4,5,77223,74890,2333,0.8127065501276763,0.8124732989633325,0.8124732989633325,0.8127065501276763,-0.00023325116434380622,-1,0,193,0,44,0,-44,-44,66478,66434,-0.0005875283749499266,-53,-44,9,-0.0006863240226357432,-0.0005697784338862774,0.00011654558874946584,475ae90ddefc3b0bb06a7cb8245775084f7e24e48661c8b81cba83677e1466fd,79de9092b631d37a5ba87868e0b8f2a54fb43116e93ecf1a3d5bbec635c6fc82,0b7cc2d381db9e70a9684cdefc3d2ac8495796e12d55396f2053ec5fca547c8c
