learner,pair_id,pair_index,window_from,window_to,taxonomy_groups,strata_rows,candidate_rows,resolved_rows,unresolved_rows,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,threshold_decrease_strata,threshold_equal_strata,threshold_increase_strata,resolved_delta_rate,delta_lower,delta_upper,delta_width
catboost_platt,00:w01_2012m01_m06->w02_2012m02_m07,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,661,3462,562,739,34,739,773,319959,320732,764,889,125,1,0,4,0.0021188879812726485,0.0020271166653400194,0.0023587784234126666,0.0003316617580726472
catboost_platt,01:w02_2012m02_m07->w03_2012m03_m08,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,663,2116,573,355,-573,51,-522,320732,320210,-573,-492,81,3,0,2,-0.0014308661400055918,-0.0015203374990050147,-0.0013054206797739392,0.0002149168192310754
catboost_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,899,5713,777,1039,-441,-603,-1044,320210,319166,-1212,-1006,206,3,0,2,-0.0028617322800111836,-0.003215792406272387,-0.0026692138289686647,0.0005465785773037226
catboost_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,242,3652,211,650,-211,-650,-861,319166,318305,-1003,-861,142,5,0,0,-0.0023601067941471546,-0.002661253946774921,-0.002284486189604394,0.0003767677571705272
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,215,1721,185,331,185,-331,-146,318305,318159,-191,-137,54,3,0,2,-0.0004002039395417939,-0.0005067791663350049,-0.0003635012868476213,0.00014327787948738359
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,310,4141,264,770,-190,-770,-960,318159,317199,-1109,-958,151,4,0,1,-0.0026314779586309738,-0.0029425031176205257,-0.002541855713868768,0.0004006474037517578
catboost_platt,06:w07_2012m07_m12->w08_2012m08_2013m01,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,905,6443,755,1346,23,-1346,-1323,317199,315876,-1531,-1319,212,4,0,1,-0.0036265055617383103,-0.004062193212873782,-0.0034996948711825734,0.0005624983416912096
numeric_logistic_platt,00:w01_2012m01_m06->w02_2012m02_m07,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,166,3584,140,595,-140,-209,-349,325800,325451,-417,-304,113,4,0,1,-0.0009566518828773019,-0.001106423624930351,-0.000806601395632678,0.00029982222929767307
numeric_logistic_platt,01:w02_2012m02_m07->w03_2012m03_m08,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,232,2855,200,461,-200,97,-103,325451,325348,-142,-53,89,4,0,1,-0.00028233565597811486,-0.0003767677571705272,-0.0001406245854228024,0.0002361431717477248
numeric_logistic_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,678,4947,602,734,-602,-734,-1336,325348,324012,-1518,-1336,182,5,0,0,-0.0036621401590947716,-0.0040277003900342275,-0.003544800870280453,0.0004828995197537743
numeric_logistic_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,221,6983,192,1091,192,-1091,-899,324012,323113,-1131,-890,241,3,0,2,-0.0024642694633429637,-0.003000875587041312,-0.002361431717477248,0.0006394438695640638
numeric_logistic_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,278,6983,251,1215,249,-1215,-966,323113,322147,-1169,-959,210,3,0,2,-0.0026479246958724173,-0.0031017007614953965,-0.002544509007933349,0.0005571917535620472
numeric_logistic_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,668,7778,583,1466,-583,-1466,-2049,322147,320098,-2289,-2059,230,5,0,0,-0.005616560767952985,-0.006073390113826315,-0.005463132478972644,0.0006102576348536708
