corpus_type,relative_path,pages,recommended_parser,extraction_used,text_quality,crpto_relevance,ijds_relation,topic,sha1_prefix
"supplement","Papers_tesis/supplement/Ballegeer Bogaert Benoit 2025 - Evaluating stability of explanations in IDCS credit scoring.pdf",22,"docling","pypdf","strong","high","close","credit_fairness","6c99cd091d2236fd099f75cc9e440a56db5b867d"
"supplement","Papers_tesis/supplement/Bao et al 2025 - CROMS Optimal Model Selection for Conformalized Robust Optimization.pdf",104,"docling","pypdf","strong","high","close","conformal_prediction","cf97b7a3471396ca52c0178607c79683d7b3e89c"
"supplement","Papers_tesis/supplement/Barber Candes Ramdas Tibshirani 2023 - Conformal Prediction Beyond Exchangeability.pdf",63,"docling","pypdf","strong","high","close","conformal_prediction","03be1275865f1c928e6ab713451edd00cd27628a"
"supplement","Papers_tesis/supplement/Bennett 1962 - Probability Inequalities for the Sum of Independent Random Variables.pdf",14,"docling","pypdf","strong","medium","context","concentration","d34ec06a55ee318e0cc3fcf923caa750bbcd0516"
"supplement","Papers_tesis/supplement/Ben-Tal Teboulle 2007 - Optimized Certainty Equivalent.pdf",30,"docling","pypdf","strong","high","close","robust_optimization","6c0d0f80cec4ef8895ffc68a8e390a69ad8f7d81"
"supplement","Papers_tesis/supplement/Bhattacharyya Barber 2026 - Group-Weighted Conformal Prediction.pdf",27,"docling","pypdf","strong","high","close","conformal_prediction","5129d85cb71c4fd7adabcada2cfaaade1a05df62"
"supplement","Papers_tesis/supplement/CFPB 2014 - Public Information Proxy Race Ethnicity.pdf",37,"docling","pypdf","strong","high","close","credit_fairness","36b0393dbc2367cd74de2d63c351d2904917665d"
"supplement","Papers_tesis/supplement/Chen Al Kontar Nouiehed Yang Lester 2025 - Rethinking cost-sensitive classification in deep learning.pdf",12,"docling","pypdf","strong","high","direct_ijds","decision_focused","8d8f28cca76c1b2ceeffd70091205ef63887cad7"
"supplement","Papers_tesis/supplement/Chen Zhou Zhu 2026 - Learning Polyhedral Conformal Sets for Robust Optimization.pdf",32,"docling","pypdf","strong","high","close","conformal_prediction","b9f844e2f3d2ad872ba18f427877864d3201748b"
"supplement","Papers_tesis/supplement/Chenreddy Delage 2024 - End-to-End Conditional Robust Optimization.pdf",13,"docling","pypdf","strong","high","close","robust_optimization","8b18cd50bf4676b6a1aee9500efe210a22cf7260"
"supplement","Papers_tesis/supplement/Cortes-Gomez et al 2025 - Utility-Directed Conformal Prediction.pdf",21,"docling","pypdf","strong","high","close","conformal_prediction","b8f71f7df8c315769752bfc646683f0e68c9cb96"
"supplement","Papers_tesis/supplement/Deprez et al 2026 - Network Analytics for Anti-money Laundering.pdf",45,"docling","pypdf","strong","low","peripheral","network_aml","3e1fc68e3ecfa7725dc1190b2007c18bd468d93f"
"supplement","Papers_tesis/supplement/Distaso Roccazzella Vrins 2025 - Business cycle and realized losses in the consumer credit industry.pdf",48,"docling","pypdf","strong","high","close","credit_lending_economics","406568fc1ce214f31205ffdb2feaf6641cc1e7f1"
"supplement","Papers_tesis/supplement/Djeundje Crook Andreeva 2025 - Dynamic prediction of loan portfolio profitability.pdf",13,"docling","pypdf","strong","high","close","credit_lending_economics","7b76688aba4277b0a678b2ecf3b3b0b142e3fce3"
"supplement","Papers_tesis/supplement/Falconer Kazempour Pinson 2026 - Toward Replication-Robust Analytics Markets.pdf",17,"docling","pypdf","strong","medium","direct_ijds","causal_robustness","8b7b06ecc5cc9764e74214eb3305f42ef6e5981f"
"supplement","Papers_tesis/supplement/Farinhas et al 2024 - Non-Exchangeable Conformal Risk Control.pdf",15,"docling","pypdf","strong","high","close","conformal_risk_control","d10caae845fb804cfcda69f6e20263f39da3c092"
"supplement","Papers_tesis/supplement/Fernandez-Loria Provost 2025 - Observational vs Experimental Data for Automated Decisions.pdf",51,"docling","pypdf","strong","high","direct_ijds","decision_focused","75be4ebd1cc01415d06406c2216fe66fb60d36d5"
"supplement","Papers_tesis/supplement/FinRegLab 2023 - Explainability and Fairness in ML Credit Underwriting.pdf",106,"docling","pypdf","strong","high","close","credit_fairness","51ab6acb93f8c2aee39fa817eb7ba82d3b64806f"
"supplement","Papers_tesis/supplement/Freedman 1975 - On Tail Probabilities for Martingales - mirror.pdf",19,"docling","pypdf","strong","medium","context","concentration","9f3c5c7f23a1e824faf81444c079a4f9b303a3da"
"supplement","Papers_tesis/supplement/Fuk Nagaev 1971 - Probability Inequalities for Sums of Independent Random Variables.pdf",18,"docling","pypdf","strong","medium","context","concentration","40fedb83903eaa2ac5c6d6deb766658d6d1159e4"
"supplement","Papers_tesis/supplement/Gibbs Candes 2021 - Adaptive Conformal Inference Under Distribution Shift.pdf",25,"docling","pypdf","strong","high","close","conformal_prediction","370392f89358975aef1d6891b8182c728cdd820d"
"supplement","Papers_tesis/supplement/Gibbs Cherian Candes 2025 - Conformal Prediction with Conditional Guarantees.pdf",54,"docling","pypdf","strong","high","close","conformal_prediction","f53da86645328f41ced17834524263a18c018492"
"supplement","Papers_tesis/supplement/Guan 2023 - Localized Conformal Prediction.pdf",29,"docling","pypdf","strong","high","close","conformal_prediction","788312d3b08a94ea41c3a8fef4de61df0b1f9faf"
"supplement","Papers_tesis/supplement/Hand Henley 1997 - Statistical Classification Methods in Consumer Credit Scoring.pdf",20,"mineru","pypdf+mineru","weak","high","close","credit_lending_economics","894e28514575af8e07d0689a63e348764bed7106"
"supplement","Papers_tesis/supplement/Hegazy et al 2025 - Valid Selection among Conformal Sets.pdf",31,"docling","pypdf","strong","high","close","conformal_prediction","0d2be8d2cf84fdd578c3f6b1c3819c4c058dc483"
"supplement","Papers_tesis/supplement/Hoeffding 1963 - Probability Inequalities for Sums of Bounded Random Variables.pdf",25,"mineru","pypdf","weak","medium","context","concentration","d020cc530f4cb697f9491322673439bb4622bb4e"
"supplement","Papers_tesis/supplement/Huang Farzaneh Simeone 2026 - Optimized Certainty Equivalent Risk-Controlling Prediction Sets.pdf",5,"docling","pypdf","strong","high","close","conformal_risk_control","31d1ec53394fbb67afb8280862124db509e793a5"
"supplement","Papers_tesis/supplement/Hullman et al 2025 - Conformal Prediction and Human Decision Making.pdf",27,"docling","pypdf","strong","medium","context","conformal_prediction","78044cba4bfcf867af4749a36b490186601d2cb3"
"supplement","Papers_tesis/supplement/Izbicki Shimizu Stern 2022 - CD-split and HPD-split.pdf",32,"docling","pypdf","strong","high","close","general_methods","a9b829e26b4262b920718ec395fb0fb48f4b004d"
"supplement","Papers_tesis/supplement/Jonkers et al 2024 - Conformal Predictive Systems Under Covariate Shift.pdf",18,"docling","pypdf","strong","high","close","conformal_prediction","b34631e5d89ba484bead487d097522c7e372a2db"
"supplement","Papers_tesis/supplement/Kiyani et al 2025 - Decision Theoretic Foundations for Conformal Prediction.pdf",28,"docling","pypdf","strong","high","close","conformal_prediction","45b5c1ba78da519863b03c6b3f845168c8751268"
"supplement","Papers_tesis/supplement/Lei et al 2018 - Distribution-Free Predictive Inference for Regression.pdf",18,"docling","pypdf","strong","high","close","general_methods","fa3a5a14f206b846a2fff960eb02374aaa05ad01"
"supplement","Papers_tesis/supplement/Lekeufack et al 2023 - Conformal Decision Theory.pdf",9,"docling","pypdf","strong","high","close","conformal_prediction","81109b5144b052c505bf89163cbcf1b5024e383a"
"supplement","Papers_tesis/supplement/Lin Delage Chan 2024 - Conformal Inverse Optimization.pdf",24,"docling","pypdf","strong","high","close","conformal_prediction","7cbadebd049a3c7bf34f33e449f0e98ed4410622"
"supplement","Papers_tesis/supplement/Liu et al 2026 - Online Conformal Prediction via Universal Portfolio Algorithms.pdf",63,"docling","pypdf","strong","high","close","conformal_prediction","237af5566f920cb2b40cfea11deae3eadbd832e5"
