relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,11,Figure 4.1: An illustration of marginal and conditional coverage. The interval on the left,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,12,Figure 4.2: The distribution of coverage of split conformal prediction conditional on the,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,13,"Figure 4.3: Illustration of the event Eunif , which is defined in the proof of Theorem 4.3. Each plot",false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,14,"Figure 4.4: Illustration of the hardness of conditional coverage, and the idea of the proof of",false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,truncation_note,15,31 additional figure/table captions omitted from this compact index.,true
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,1,"FIG. 1. Object detection with simultaneous distribution-free guarantees on recall, intersection-over-union",false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,2,Figure 2 gives a visual description of the object detection pipeline.,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,3,FIG. 2. Our detection pipeline annotated with the formal mathematical notation to aid the reader.,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,4,FIG. 3. Multilabel prediction set examples on MS COCO using fixed-sequence testing. Black classes are true,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,5,FIG. 4. Numerical results of our multilabel classification procedure. The risk is plotted as a violin plot over,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,6,FIG. 5. Numerical results of selective classification on ImageNet. The violins plot the selective error over 100,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,7,FIG. 6. Numerical results of selective regression on the MEPS dataset. The MSE is plotted as a violin plot over,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,8,FIG. 7. Numerical performance of methods for simultaneous OOD type-1 error and coverage control on CIFAR-,false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,9,"FIG. 8. Instance segmentation examples on MS COCO. The input images are on the left, and the output instance",false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,10,"FIG. 9. Numerical results for our instance segmentation algorithm with α1 = 0.5, α2 = 0.5, α3 = 0.25, and",false
paper/Angelopoulos et al 2025 - Learn Then Test.pdf,figure,11,Figure 9 are conservative. This is because we optimized the choice of λ̂ ∈ Λ,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,1,"Figure 1: A stylized example of risk-controlling prediction sets. Here, “P” gives the estimated",false
