relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,figure,9,Figure 8: A visualization of the uncertainty scalars algorithm in Eq. (5). We produce the set by,false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,figure,10,Figure 9: A visualization of the conformalized Bayes algorithm in Eq. (6). The prediction set is a,false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,figure,11,"Figure 10: Prediction sets with various notions of coverage: no coverage, marginal coverage, or",false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,figure,12,Figure 11: The distribution of coverage with an infinite validation set is plotted for different values of,false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,table,13,Table 1: Calibration set size n() required for coverage slack  with δ = 0.1 and α = 0.1.,false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,figure,14,Figure 12: Python code for computing coverage with efficient score caching. Notice that from the,false
paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,truncation_note,15,15 additional figure/table captions omitted from this compact index.,true
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,1,Figure 1: FNR control in tumor segmentation. The top figure shows examples of our procedure,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,2,Figure 2: FNR control on MS COCO. The top figure shows examples of our procedure with correct,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,3,Figure 3: Control of graph distance on hierarchical ImageNet. The top figure shows examples,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,4,Figure 4: F1-score control on Natural Questions. The top figure shows examples of our procedure,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,5,Figure 5: Comparison of RCPS/LTT with conformal risk control on the polyp dataset.,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,6,Figure 6 shows results.,false
paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,figure,7,Figure 6: Risk control results on a synthetic covariate shift dataset. Running standard conformal,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,1,Figure 1.1: The conformal score function determines the shape of the sets. The shaded band is a,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,2,Figure 2.1: Illustration of a permutation test for the equality of two real-valued distribu-,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,3,Figure 2.2 illustrates parts (iii) and (iv) of this last fact. When there are no ties between values,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,4,Figure 2.2: An illustration of two quantiles chosen on the CDF. The figure illustrates the,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,5,"Figure 2.3: This figure depicts a single time step of Pólya’s urn model, for the case c = 2. We begin",false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,6,Figure 3.1: Illustration of notation for a single hypothesized response y. This figure,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,7,Figure 3.2: An illustration of full conformal prediction with the residual score function. On the,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,table,8,Table 3.1: Comparison of full and split conformal methods.,false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,9,"Figure 3.3: A visualization of the split conformal quantile q̂ (as defined in Algorithm 3.6),",false
paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,figure,10,"Figure 3.2, is inspired by illustrations developed by Ryan Tibshirani in various lectures and tutorials.",false
