experiment,decision,current_state,next_gate,max_artifacts,stop_rule,thesis_destination,ijds_destination
FICO proxy vs champion ML,append_executed,Champion beats FICO proxy on latest OOT AUC/Gini/SomersD/Brier/ECE and observable slices,Only rerun if a reviewer asks for score-governance replication or a new external score dataset appears,one table plus one memo,No legal fair-lending claim; no new run unless it changes score-governance text,metrics appendix,light context only
CRC/LTT direct decision-loss gate,ready_but_not_reopened,Lab 4 gate evidence exists; direct prospective calibration over V or violation not yet run,Open only with declared split and fixed monotone loss before outcomes,one gate table plus one decision memo,Park if gate sensitivity depends on split choice or does not change a claim,governance appendix,reviewer-defense only
Non-monotonic CRC composite risk,park,Useful for return plus V plus CVaR plus source/fairness proxy but not implemented,Open only after a concrete composite loss and non-monotonic CRC proof path are selected,one prototype table plus one proof-boundary memo,Park if it cannot beat the current monotone claim boundary cleanly,future-method appendix,none
Online conformal and drift replay,park_with_caveat,Retrospective source/online diagnostics exist but strict source holdouts remain fragile,Open only with prospective split or a temporal replay that can change the online/source caveat,one replay table plus one source-governance memo,No live deployment claim without external/prospective validation,source-governance appendix,limitations/future work
