learner,window_id,taxonomy_groups,conformal_group,score_stratum,role,fit_rows,finite_sample_rank,raw_finite_sample_rank,fit_score_min,fit_score_max,fit_residual_min,fit_residual_max,target_scope,issue_month,target_rows,resolved_rows,unresolved_rows,score_min,score_max,fit_residual_quantile,fit_cdf_at_quantile,resolved_target_cdf_at_quantile,all_target_cdf_at_quantile_min,all_target_cdf_at_quantile_max,resolved_misses,unresolved_misses_min,unresolved_misses_max,misses_min,misses_max,coverage_resolved,coverage_lower,coverage_upper,resolved_calibration_minus_target_ks,resolved_calibration_minus_target_witness,resolved_calibration_minus_target_numerator,resolved_target_minus_calibration_ks,resolved_target_minus_calibration_witness,resolved_target_minus_calibration_numerator,resolved_directional_ks_denominator,resolved_ks_grid_points,calibration_minus_target_ks_min,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_min_witness,calibration_minus_target_ks_max,calibration_minus_target_ks_max_numerator,calibration_minus_target_ks_max_witness,target_minus_calibration_ks_min,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_min_witness,target_minus_calibration_ks_max,target_minus_calibration_ks_max_numerator,target_minus_calibration_ks_max_witness,sharp_directional_discrepancy_comparison,completion_directional_ks_denominator,low_completion_grid_points,high_completion_grid_points,v5_q_and_coverage_reconciled
catboost_platt,w01_2012m01_m06,5,0,1,primary_oot,1829,1647,1647,0.009701465766812493,0.05025870117266396,0.009701465766812493,0.9863763947587818,pooled_15_issue_months,ALL,60520,58445,2075,0.005424291130823528,0.05026398374733186,0.049113187946657616,0.900492072170585,0.8912995123620497,0.8607402511566424,0.8932584269662921,6353,107,2075,6460,8428,0.8912995123620497,0.8607402511566424,0.8932584269662921,0.031340845095983796,0.039385385620522836,3350208,0.003495896311463007,0.01169676989198651,373697,106895905,60274,0.030053261744306767,3326628,0.039385385620522836,0.05021188699215872,5558008,0.039385385620522836,0.003301747530153288,365474,0.010666580519293634,0.003426572403124082,379291,0.01169676989198651,larger_target_residual_discrepancy_dominates,110691080,62349,62349,True
catboost_platt,w01_2012m01_m06,5,1,2,primary_oot,2437,2195,2195,0.05029026008180106,0.08036503136586999,0.05029026008180106,0.9496179756958449,pooled_15_issue_months,ALL,79865,77165,2700,0.05026561675017613,0.080368886853859,0.07964589698302632,0.9006975789905621,0.8733881941294629,0.843861516308771,0.8768171289050273,9770,68,2700,9838,12470,0.8733881941294628,0.843861516308771,0.8768171289050273,0.029835054678354588,0.08013571872845167,5610515,0.0203154615868915,0.06421169175661663,3820345,188051105,79602,0.02624822288720135,5108718,0.08013571872845167,0.05981737082434528,11642315,0.08013571872845167,0.013553544565009054,2637940,0.05672420150997181,0.022380170107018663,4355875,0.06421169175661663,larger_target_residual_discrepancy_dominates,194631005,82302,82302,True
catboost_platt,w01_2012m01_m06,5,2,3,primary_oot,3249,2925,2925,0.08037134402127445,0.11187745514731459,0.08037134402127445,0.9193624989449553,pooled_15_issue_months,ALL,79047,76495,2552,0.08036959879849867,0.11189296397180755,0.8919735883395368,0.9002770083102493,0.871442577946271,0.8470909711943527,0.8755930016319405,9834,0,2253,9834,12087,0.871442577946271,0.8470909711943527,0.8755930016319405,0.03277043858955048,0.11167827997876406,8144511,0.01346611931718883,0.09314256264331001,3346765,248532255,79744,0.028026875696905592,7197966,0.11167827997876406,0.060121705355210144,15440679,0.11167827997876406,0.006911593358655061,1775061,0.08462563502030167,0.015478220871225426,3975174,0.09314256264331001,larger_target_residual_discrepancy_dominates,256823703,82296,82296,True
catboost_platt,w01_2012m01_m06,5,3,4,primary_oot,3603,3244,3244,0.1118957731833843,0.15326107739536926,0.1118957731833843,0.8880340005665027,pooled_15_issue_months,ALL,80235,77819,2416,0.11189496292649623,0.15326092137265918,0.8617614186932525,0.900360810435748,0.8727817114072399,0.8561974200785194,0.8766124509254066,9900,0,1638,9900,11538,0.8727817114072398,0.8561974200785194,0.8766124509254066,0.03780126186980779,0.8480022294379204,10598788,0.0007195151717680506,0.8879641816591508,201739,280381857,81422,0.03221689492776916,9313476,0.8480022294379204,0.061480931819399995,17773320,0.8480022294379204,0.0005277586183010388,152568,0.8879641816591508,0.0007396362278230678,213819,0.8879641816591508,larger_target_residual_discrepancy_dominates,289086705,83838,83838,True
catboost_platt,w01_2012m01_m06,5,4,5,primary_oot,3830,3448,3448,0.1532638278468384,0.5281745670852075,0.1532638278468384,0.8464472221223804,pooled_15_issue_months,ALL,77223,74890,2333,0.1532636176115942,0.5544847575803251,0.8095744723631617,0.9002610966057442,0.87985044732274,0.8674747160819963,0.8834803102702563,8998,0,1236,8998,10234,0.87985044732274,0.8674747160819963,0.8834803102702563,0.05860348005621474,0.2633821506468243,16809160,0.006999613358077487,0.15543008941817438,2007690,286828700,78720,0.052365860236785335,15487941,0.2633821506468243,0.07913249711957933,23404551,0.2633821506468243,0.006007230289518921,1776723,0.15543008941817438,0.007366928824929355,2178873,0.15543008941817438,larger_target_residual_discrepancy_dominates,295764090,81053,81053,True
catboost_platt,w02_2012m02_m07,5,0,1,primary_oot,1943,1750,1750,0.009701465766812493,0.05025870117266396,0.009701465766812493,0.9863763947587818,pooled_15_issue_months,ALL,60520,58445,2075,0.005424291130823528,0.05026398374733186,0.04900395264617657,0.9006690684508492,0.8867824450337924,0.8563780568407138,0.8887475214805023,6617,116,2075,6733,8692,0.8867824450337924,0.8563780568407138,0.8887475214805023,0.038205522635949264,0.037913126541326087,4338567,0.0035219514570600467,0.010666580519293634,399948,113558635,60388,0.03695291858958506,4345307,0.037913126541326087,0.055459197505645874,6521467,0.037913126541326087,0.0033659051643348996,395798,0.010666580519293634,0.0034650459442423683,407456,0.010666580519293634,larger_target_residual_discrepancy_dominates,117590360,62463,62463,True
catboost_platt,w02_2012m02_m07,5,1,2,primary_oot,2647,2384,2384,0.05029026008180106,0.080358953595577,0.05029026008180106,0.9496179756958449,pooled_15_issue_months,ALL,79865,77165,2700,0.05026561675017613,0.080368886853859,0.07978766496058752,0.9006422364941443,0.8772500485971619,0.8475928128717211,0.8807738057972829,9472,50,2700,9522,12172,0.8772500485971619,0.8475928128717211,0.8807738057972829,0.025487800821083352,0.08013571872845167,5206030,0.023823407080990202,0.06403448468276021,4866068,204255755,79812,0.022127337993933897,4677778,0.9224112263035782,0.05547011696707404,11726530,0.08013571872845167,0.013052981761274474,2759435,0.05672420150997181,0.025878795136229486,5470846,0.06403448468276021,directional_discrepancies_not_robustly_ordered,211402655,82512,82512,True
catboost_platt,w02_2012m02_m07,5,2,3,primary_oot,3621,3260,3260,0.08037134402127445,0.11188898033944253,0.08037134402127445,0.9195109179811446,pooled_15_issue_months,ALL,79047,76495,2552,0.08036959879849867,0.11189296397180755,0.8920116585417792,0.9003037834852251,0.8716648146937709,0.8473313345224993,0.8758080635571243,9817,0,2251,9817,12068,0.8716648146937709,0.8473313345224993,0.8758080635571243,0.032398646159886954,0.11167827997876406,8974049,0.02473048735489442,0.09389335579027233,6850058,276988395,80116,0.027657231895082734,7916307,0.11166919669535652,0.05974991292554662,17102169,0.11167827997876406,0.013574160765093463,3885321,0.09194303930597614,0.0268799107478861,7693815,0.09389335579027233,larger_target_residual_discrepancy_dominates,286229187,82668,82668,True
catboost_platt,w02_2012m02_m07,5,3,4,primary_oot,4098,3690,3690,0.1118957731833843,0.15326107739536926,0.1118957731833843,0.8880340005665027,pooled_15_issue_months,ALL,80235,77819,2416,0.11189496292649623,0.15326092137265918,0.862876020574146,0.9004392386530015,0.8780888985980287,0.8621798467003178,0.8817598304979124,9487,0,1571,9487,11058,0.8780888985980287,0.8621798467003178,0.8817598304979124,0.032550455850952856,0.8510896729536459,10380414,0.0036246967730821553,0.11306871042250227,1155924,318902262,81917,0.027337941502546374,8988798,0.8510896729536459,0.054903015948484415,18052278,0.8508725023996143,0.0027660694002728625,909492,0.11306871042250227,0.0038753110030646616,1274214,0.11306871042250227,larger_target_residual_discrepancy_dominates,328803030,84333,84333,True
catboost_platt,w02_2012m02_m07,5,4,5,primary_oot,4365,3930,3930,0.1532638278468384,0.4831174891615209,0.1532638278468384,0.8464472221223804,pooled_15_issue_months,ALL,77223,74890,2333,0.1532636176115942,0.5544847575803251,0.8111630187017316,0.9003436426116839,0.883976498865002,0.8718516504150318,0.8874817088173212,8689,0,1207,8689,9896,0.883976498865002,0.8718516504150318,0.8874817088173212,0.05496218432318527,0.2633821506468243,17966855,0.005112469651938536,0.15571587323670374,1671240,326894850,79255,0.04872456450375587,16423998,0.2633821506468243,0.07549120138654986,25446453,0.2633821506468243,0.0039821211323852424,1342287,0.15571587323670374,0.005543547221411209,1868610,0.15645009677388336,larger_target_residual_discrepancy_dominates,337078395,81588,81588,True
