role,risk_tolerance,cells,gamma_100_decision_active,objective_difference_mean,objective_difference_min,objective_difference_max
policy_development,0.15,88,88,-2016.1828129153232,-4553.797428104561,-1094.981985942548
policy_development,0.17,88,88,-1961.9325673834644,-2663.6701891340053,-723.4016405355651
policy_development,0.19,88,88,-2043.841637572058,-2753.1448433307814,-579.9765933432209
primary_oot,0.15,120,120,-2836.3998776694834,-8337.854696241615,-1940.0408873799897
primary_oot,0.17,120,120,-2812.647021760713,-3743.411901880114,-1316.7470416328288
primary_oot,0.19,120,120,-3035.929468323465,-4313.593440831493,-989.0226017109235
