slice_type,slice,n,coverage_90,default_rate,mean_width_90,robust_gap_vs_target,meets_target_90
marginal,all,276869,0.9293384235866059,0.21977902907151034,0.764155715329014,0.0,True
grade,A,72388,0.9124026081670995,0.08658893739293806,0.24264355719096337,0.0,True
grade,B,75311,0.9426644182124789,0.17861932519817822,0.9309479159573925,0.0,True
grade,C,70568,0.9395476703321619,0.2760741412538261,0.9587326305088323,0.0,True
grade,D,45637,0.925192278195324,0.34745929837631745,0.9592537235601951,0.0,True
grade,E,10828,0.9003509420022164,0.4314739564093092,0.9578313800495935,0.0,True
grade,F,1731,0.9272097053726169,0.5210860774119006,0.9781572310912804,0.0,True
grade,G,406,0.9507389162561576,0.5344827586206896,0.9803783959660908,0.0,True
worst_grade_x_period_cell,E|2018Q4,2546,0.8762765121759623,0.42419481539670073,0.9420210022502649,0.02372348782403777,False
