contrast,role,policy_a,policy_b,policy_a_capital,policy_b_capital,funded_union_loans,unresolved_union_loans,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,realized_payoff_rate_difference_lower,realized_payoff_rate_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_direction_sign_robust,default_direction_sign_robust,miscoverage_direction_sign_robust,causal_interpretation
selected_conformal_guardrail_minus_matched_point_pd,primary_oot,selected_conformal_guardrail,matched_point_pd,15000000.0,15000000.0,2246,52,-240977.7786228247,-322703.7874780131,-58040.33924711874,-0.02151358583186754,-0.003869355949807916,-0.046274834615204194,-0.02009309459512156,0.00882183205146247,0.029850238738211774,True,True,True,False
selected_conformal_guardrail_minus_development_selected_point_pd,primary_oot,selected_conformal_guardrail,development_selected_point_pd,15000000.0,15000000.0,2246,52,-240977.7786228247,-322703.7874780131,-58040.33924711874,-0.02151358583186754,-0.003869355949807916,-0.046274834615204194,-0.02009309459512156,0.00882183205146247,0.029850238738211774,True,True,True,False
