paired_policy_id,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,undiscounted_snapshot_cash_yield_difference,clipped_vs_unclipped_allocation_l1,unclipped_group_vs_pooled_allocation_l1,pooled_affine_vs_point_allocation_l1
linear-001,-7647.4123309131755,89346.48872474712,-0.00932632754506812,0.00036802671183283923,-0.0017354122209243279,0.00675894203597663,0.0015746025652591047,4684.843282767612,14414846.854082568,0.0
linear-002,-171366.05797380698,-23764.145268774315,-0.0016332006996106225,0.013128087560834707,0.007761808595860021,0.020936430189638682,-0.004743145772100048,17511.670991244664,19428826.54021529,0.0
linear-003,-195205.60813234563,-26084.41313234561,-0.002219204087583509,0.015025795912416491,0.012155102984222097,0.02714676965088876,-0.0063448420562959365,7207.991089804878,21351895.344954066,0.0
linear-004,-46018.9149460536,7027.63085553667,-0.0015164985003408389,0.0038191621249904157,0.0014724323645709152,0.005608092989902169,0.00565471709885549,6432.092759499191,12122389.050553748,0.0
linear-005,-130930.75737790384,-1949.0257260814105,-0.003559669357726904,0.009285064139664196,0.00724519481660574,0.018503261647330172,-0.005254174474026867,22854.449912923486,18143741.545391638,0.0
linear-006,-182950.2281845164,-30653.219152424106,-0.0010787832580591572,0.014328252155348472,0.011696699610217862,0.02532802949765886,-0.006888365578153331,15706.866601832877,20456040.39563741,0.0
linear-007,-43476.5022191303,-3650.544874280109,-0.0007963264568808873,0.0030316297466226197,6.908926273231988e-05,0.0031120454662358268,0.0004131443201745924,12177.796684322897,9849022.183609739,0.0
linear-008,-152036.29815439184,-20292.5594063862,-0.0009308893219849386,0.012154687163497603,0.0075212425391493615,0.01902015235796524,-0.004766005867107591,46609.497902620766,16855487.85753031,0.0
linear-009,-214728.6244908318,-70167.22699083183,0.0024943446474650884,0.01691767798079842,0.013642014596895149,0.026478681263561815,-0.00789635606076778,28243.911599480005,19562974.613704905,0.0
