role,gamma,risk_tolerance,cap_classification,cells,binding_cells,minimum_score,mean_score,maximum_score,objective_mean
policy_development,0.0,0.15,objective_slack,88,0,0.018962250683581334,0.0913791264637191,0.10070698552648051,136801.06324723674
policy_development,0.0,0.17,objective_slack,88,0,0.018962250683581334,0.0913791264637191,0.10070698552648051,136801.06324723674
policy_development,0.0,0.19,objective_slack,88,0,0.018962250683581334,0.0913791264637191,0.10070698552648051,136801.06324723674
policy_development,0.25,0.15,decision_active,85,85,0.03107186777496268,0.15,0.26609104074254214,133093.62468299922
policy_development,0.25,0.15,objective_slack,3,0,0.03182273459121894,0.14778246935725625,0.14972777022248734,136744.29927713264
policy_development,0.25,0.17,decision_active,80,80,0.03107186777496268,0.17,0.26609104074254214,134321.08493640792
policy_development,0.25,0.17,objective_slack,8,0,0.03143850491086809,0.15599721512171788,0.16918552068896126,137794.40558574925
policy_development,0.25,0.19,decision_active,78,78,0.03107186777496268,0.19,0.26609104074254214,135574.23747489197
policy_development,0.25,0.19,objective_slack,10,0,0.03143850491086809,0.1609300980062934,0.18556740191517496,136364.73957020076
policy_development,0.5,0.15,decision_active,88,88,0.04318148486634403,0.15,0.4336355392892376,128464.64278529496
policy_development,0.5,0.17,decision_active,88,88,0.04318148486634403,0.17,0.4336355392892376,130011.56190194725
policy_development,0.5,0.19,decision_active,88,88,0.04318148486634403,0.18999999999999997,0.4336355392892376,131303.00563169338
policy_development,0.75,0.15,decision_active,88,88,0.05529110195772537,0.15,0.6012096516641946,125675.2194051378
policy_development,0.75,0.17,decision_active,88,88,0.05529110195772537,0.16999999999999998,0.6012096516641946,127075.63989162772
policy_development,0.75,0.19,decision_active,88,88,0.05529110195772537,0.18999999999999997,0.6012096516641946,128312.88517942633
policy_development,1.0,0.15,decision_active,88,88,0.06740071904910673,0.15,0.7687837640391516,123659.03659222247
policy_development,1.0,0.17,decision_active,88,88,0.06740071904910673,0.17,0.7687837640391516,125113.70732424427
policy_development,1.0,0.19,decision_active,88,88,0.06740071904910673,0.18999999999999997,0.7687837640391516,126269.04354185426
primary_oot,0.0,0.15,objective_slack,120,0,0.01292347362151883,0.10718289699402918,0.1186807433291554,182511.67244672237
primary_oot,0.0,0.17,objective_slack,120,0,0.01292347362151883,0.10718289699402918,0.1186807433291554,182511.67244672237
primary_oot,0.0,0.19,objective_slack,120,0,0.01292347362151883,0.10718289699402918,0.1186807433291554,182511.67244672237
primary_oot,0.25,0.15,decision_active,120,120,0.025033090712900184,0.15,0.3183243201559923,172234.83185381157
primary_oot,0.25,0.17,decision_active,119,119,0.025033090712900184,0.17,0.3183243201559923,175132.58902240213
primary_oot,0.25,0.17,objective_slack,1,0,0.025161588297824736,0.15774455171134974,0.1577445517113497,168221.95356983488
primary_oot,0.25,0.19,decision_active,116,116,0.025033090712900184,0.19,0.3183243201559923,177479.49286239638
primary_oot,0.25,0.19,objective_slack,4,0,0.025161588297824736,0.17743274213772214,0.18837815069639094,173614.838882224
primary_oot,0.5,0.15,decision_active,120,120,0.03714270780428152,0.15,0.5179678969828292,164511.0062546627
primary_oot,0.5,0.17,decision_active,120,120,0.03714270780428152,0.16999999999999998,0.5179678969828292,166875.69425747043
primary_oot,0.5,0.19,decision_active,120,120,0.03714270780428152,0.19,0.5179678969828292,168999.96346780093
primary_oot,0.75,0.15,decision_active,120,120,0.04925232489566286,0.15,0.7176114738096658,160438.69310691068
primary_oot,0.75,0.17,decision_active,120,120,0.04925232489566286,0.17,0.7176114738096658,162500.43707177957
primary_oot,0.75,0.19,decision_active,120,120,0.04925232489566286,0.19,0.7176114738096658,164385.76112934432
primary_oot,1.0,0.15,decision_active,120,120,0.06136194198704421,0.15,0.9172550506365028,157602.29322924122
primary_oot,1.0,0.17,decision_active,120,120,0.06136194198704421,0.16999999999999998,0.9172550506365028,159687.79005001887
primary_oot,1.0,0.19,decision_active,120,120,0.06136194198704421,0.19,0.9172550506365028,161349.83166102084
