learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,alpha,fit_rows,fit_defaults,fit_default_prevalence,finite_sample_rank,boundary_count,phase_boundary_rate,phase_margin,phase_prevalence_at_or_below_boundary,frozen_threshold,threshold_below_half,max_score_below_half_condition,target_candidate_rows,target_score_max,positive_label_boundary,target_max_below_positive_label_boundary,positive_label_excluded_from_every_target_set,target_resolved_rows,target_resolved_misses,resolved_misses_in_exclusion_strata,resolved_misses_all_strata,exclusion_strata_resolved_miss_fraction
catboost_monotonic_platt,Monotonic CatBoost,W4,w04_2012m04_m09,5,4,3,0.1,5622,862,0.1533262184276058,5061,561,0.09978655282817503,301,False,0.8607956116401266,False,True,78800,0.1526136343452786,0.13920438835987337,False,False,76404,9846,14723,43861,0.33567406123891386
catboost_monotonic_platt,Monotonic CatBoost,W4,w04_2012m04_m09,5,5,4,0.1,6595,1421,0.2154662623199393,5937,658,0.09977255496588325,763,False,0.8114834386744343,False,False,88298,0.6311016024999007,0.1885165613255657,False,False,85593,8813,14723,43861,0.33567406123891386
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,1,0,0.1,2365,108,0.0456659619450317,2130,235,0.09936575052854123,-127,True,0.0485450372782145,True,True,54840,0.0501452524727675,0.9514549627217855,True,True,53021,6416,14687,44107,0.3329856938807899
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,2,1,0.1,3134,251,0.080089342693044,2822,312,0.09955328653477984,-61,True,0.0783834788743444,True,True,73852,0.0788902730725399,0.9216165211256556,True,True,71333,8271,14687,44107,0.3329856938807899
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,3,2,0.1,4888,498,0.1018821603927987,4401,487,0.0996317512274959,11,False,0.8892804189864737,False,True,81100,0.1113257517493976,0.1107195810135263,False,False,78463,10735,14687,44107,0.3329856938807899
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,4,3,0.1,6390,959,0.1500782472613458,5752,638,0.09984350547730829,321,False,0.8606682863399073,False,True,78800,0.1526136343452786,0.13933171366009267,False,False,76404,9878,14687,44107,0.3329856938807899
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,5,4,0.1,7493,1576,0.210329640998265,6745,748,0.09982650473775524,828,False,0.8115173654626233,False,True,88298,0.6311016024999007,0.18848263453737668,False,False,85593,8807,14687,44107,0.3329856938807899
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,1,0,0.1,2376,112,0.0471380471380471,2140,236,0.09932659932659933,-124,True,0.0486007880089365,True,True,54840,0.0501452524727675,0.9513992119910635,True,True,53021,6287,14584,44403,0.3284462761525122
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,2,1,0.1,3316,258,0.0778045838359469,2986,330,0.09951749095295537,-72,True,0.0783690327579728,True,True,73852,0.0788902730725399,0.9216309672420272,True,True,71333,8297,14584,44403,0.3284462761525122
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,3,2,0.1,5356,545,0.1017550410754294,4822,534,0.09970126960418223,11,False,0.8892090679898458,False,True,81100,0.1113257517493976,0.11079093201015422,False,False,78463,10759,14584,44403,0.3284462761525122
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,4,3,0.1,7241,1063,0.1468029277724071,6518,723,0.09984808728076233,340,False,0.8602366287204435,False,True,78800,0.1526136343452786,0.13976337127955651,False,False,76404,10042,14584,44403,0.3284462761525122
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,5,4,0.1,8396,1707,0.203311100524059,7558,838,0.09980943306336351,869,False,0.8103745792333379,False,True,88298,0.6311016024999007,0.1896254207666621,False,False,85593,9018,14584,44403,0.3284462761525122
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,1,0,0.1,2457,112,0.0455840455840455,2213,244,0.0993080993080993,-132,True,0.0486007880089365,True,True,54840,0.0501452524727675,0.9513992119910635,True,True,53021,6287,26066,45567,0.5720367810037966
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,2,1,0.1,3642,265,0.0727622185612301,3279,363,0.09967051070840198,-98,True,0.078276042645755,True,True,73852,0.0788902730725399,0.9217239573542451,True,True,71333,8497,26066,45567,0.5720367810037966
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,3,2,0.1,5776,547,0.0947022160664819,5200,576,0.0997229916897507,-29,True,0.1111467592454646,True,True,81100,0.1113257517493976,0.8888532407545354,True,True,78463,11282,26066,45567,0.5720367810037966
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,4,3,0.1,7625,1083,0.1420327868852459,6864,761,0.0998032786885246,322,False,0.8598182534639773,False,True,78800,0.1526136343452786,0.14018174653602267,False,False,76404,10183,26066,45567,0.5720367810037966
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,5,4,0.1,8911,1757,0.197172034564022,8021,890,0.09987655706430255,867,False,0.8087374786830329,False,True,88298,0.6311016024999007,0.19126252131696708,False,False,85593,9318,26066,45567,0.5720367810037966
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,1,0,0.1,2498,109,0.043634907926341,2250,248,0.09927942353883107,-139,True,0.0486753523807552,True,True,54840,0.0501452524727675,0.9513246476192448,True,True,53021,6129,26250,46881,0.5599283291738657
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,2,1,0.1,3844,272,0.0707596253902185,3461,383,0.09963579604578564,-111,True,0.078274772459913,True,True,73852,0.0788902730725399,0.921725227540087,True,True,71333,8500,26250,46881,0.5599283291738657
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,3,2,0.1,6042,540,0.0893743793445878,5439,603,0.09980139026812314,-63,True,0.1109813242932129,True,True,81100,0.1113257517493976,0.889018675706787,True,True,78463,11621,26250,46881,0.5599283291738657
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,4,3,0.1,8094,1095,0.1352853965900667,7286,808,0.09982703236965654,287,False,0.8583320244890962,False,True,78800,0.1526136343452786,0.14166797551090382,False,False,76404,10684,26250,46881,0.5599283291738657
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,5,4,0.1,9651,1829,0.1895140399958553,8687,964,0.099886022173868,865,False,0.8053547613963974,False,True,88298,0.6311016024999007,0.1946452386036026,False,False,85593,9947,26250,46881,0.5599283291738657
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,1,0,0.1,1829,96,0.0524876981957353,1647,182,0.09950792782941498,-86,True,0.0491131879466576,True,True,60520,0.0502639837473318,0.9508868120533424,True,True,58445,6353,16123,44855,0.3594471073458923
