paired_policy_id,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,undiscounted_snapshot_cash_yield_difference
linear-001,-15407.08690878217,82915.65706350525,-0.008628341946203487,0.0012034562279234343,-0.001601276599195691,0.007030521574931229,0.0010522913789483557
linear-002,-168703.98956476842,-21203.692026560588,-0.001907235576160811,0.012846036416228179,0.004445839501391118,0.017612444827113445,-0.004551557336692852
linear-003,-203853.20818665874,-34732.01318665875,-0.001381996375419024,0.015863003624580974,0.01225027564857255,0.027241942315239215,-0.007096163704545799
linear-004,-47188.21933218214,4952.845187199957,-0.0013047612043960502,0.003944341607895517,0.0009228414725564868,0.004971944284848056,0.005738925523852252
linear-005,-125832.05195368546,2708.471450653582,-0.004019885260745442,0.00877820395633237,0.002627886311681751,0.013839308862092897,-0.004923251476098005
linear-006,-184085.7145630766,-27618.81247813921,-0.0013311892716725499,0.014529612239817354,0.009152969822063347,0.022760438000219915,-0.00657825336320219
linear-007,-38911.502501466275,1179.9249985337374,-0.0012704766151416663,0.002582856718191669,2.9775549615980446e-05,0.003883108882949313,0.0011448619910758295
linear-008,-162498.7625046118,-28901.2200046118,-0.0001288613515921383,0.01313613864840786,0.005969811989110999,0.01764814532244433,-0.005151695188480715
linear-009,-219372.42725158046,-74811.02975158044,0.0029157061169142948,0.017339039450247628,0.01061394929892022,0.02345061596558689,-0.008433081853590353
