scenario,n_funded_effective,funded_set_repriced_return_lgd45,weighted_default_rate,weighted_miscoverage_V,gamma_cp,max_loan_weight
baseline,335,173329.6634158451,0.036449999999999996,0.036449999999999996,0.18590959165941834,0.035
leave_out_2018H1,291,177844.74301298492,0.03283840163283962,0.032838401632839624,0.19182380503750235,0.03889489195090987
overweight_2x_2018H1,335,169636.54390249387,0.03940411500886868,0.03940411500886868,0.18107204752253064,0.031814164367022
leave_out_2018H2,240,166325.21142211076,0.045724830838630305,0.045724830838630305,0.19410913536644134,0.04784361971157133
overweight_2x_2018H2,335,177369.32351755694,0.031100949978319997,0.031100949978319997,0.18118068929915768,0.05518546257243092
leave_out_2019H1,239,185113.53994179354,0.023831412205643162,0.023831412205643165,0.1874903680378795,0.04950144968531221
overweight_2x_2019H1,335,166885.647871801,0.04335047759000734,0.04335047759000734,0.1850451437392428,0.046405506786805356
leave_out_2019H2,259,165464.16352600598,0.03987758761710615,0.03987758761710615,0.16731148845576765,0.04731239208809204
overweight_2x_2019H2,335,177946.74505308692,0.03443799160020049,0.034437991600200474,0.19682675674641206,0.05554514774225885
leave_out_2020,311,171754.42588033428,0.03954327249057525,0.03954327249057525,0.187341796726974,0.03797022049849476
overweight_2x_2020,335,174676.33463873045,0.033805560063994065,0.03380556006399407,0.1846851989527513,0.03246075726309444
