learner,feature,dtype,status,selected,n_bins,iv,js,gini,quality_score,primary_oot_psi
woe_scorecard_platform_platt,int_rate_bucket__grade,categorical,OPTIMAL,True,6,0.33756858301375126,0.04030108982523252,0.3038068292677757,0.8931322311039492,0.9628044275190203
woe_scorecard_platform_platt,sub_grade,categorical,OPTIMAL,True,8,0.31932538983142866,0.038355779594492365,0.3008372540652854,0.7374060840552777,0.10427476362377315
woe_scorecard_platform_platt,grade,categorical,OPTIMAL,True,5,0.29954351738889673,0.03619488925413361,0.2902113763776367,0.8524400315825463,0.09370322999517866
woe_scorecard_platform_platt,int_rate,numerical,OPTIMAL,True,8,0.2784288707439742,0.0331030345896423,0.26219868247154365,0.4086440186665371,0.1800564225411688
woe_scorecard_platform_platt,int_rate_bucket,categorical,OPTIMAL,True,4,0.24485815197270147,0.029096550329953043,0.23377858339237212,0.6630822192278296,0.14604333851969906
woe_scorecard_platform_platt,fico_score,numerical,OPTIMAL,True,8,0.2135744222493438,0.025996163560484363,0.2458837062043855,0.27774633920049013,0.22729687344722427
woe_scorecard_platform_platt,inq_last_6mths,numerical,OPTIMAL,True,4,0.17086393760483487,0.020856486793705394,0.2075187254016706,0.5105539832632361,0.39044275945118845
woe_scorecard_platform_platt,purpose,categorical,OPTIMAL,True,7,0.08887832866960639,0.010926477290665853,0.14779348033365802,0.01768723653834336,0.18798514882172745
woe_scorecard_platform_platt,rev_utilization,numerical,OPTIMAL,True,7,0.0739026629287923,0.009186114763468882,0.15097843927914056,0.019649087815197794,0.08694369969476334
woe_scorecard_platform_platt,delinq_recency,numerical,OPTIMAL,True,4,0.04928782736183494,0.006080811618721303,0.09877612394585844,0.09134608884939553,0.1308635109765922
woe_scorecard_platform_platt,installment_burden,numerical,OPTIMAL,True,7,0.04529649773543025,0.005627065898995917,0.11155248266308815,0.0005292328749668587,0.03511908413614586
woe_scorecard_platform_platt,loan_to_income,numerical,OPTIMAL,True,8,0.040923308172628466,0.00508331899774769,0.10574445268725341,0.00034457932701394405,0.020767412564742786
woe_scorecard_platform_platt,annual_inc,numerical,OPTIMAL,True,6,0.031788706777070526,0.00395203452222934,0.08954045844718961,0.0017127167326026935,0.05671526670323674
woe_scorecard_platform_platt,revol_bal_to_income,numerical,OPTIMAL,True,8,0.031665831471954065,0.003936070094098116,0.0918789420590792,0.03651263795086532,0.13576298727737582
woe_scorecard_platform_platt,pub_rec,numerical,OPTIMAL,True,2,0.028826877209471597,0.0035532475168816653,0.04436931603538807,0.018336356432410134,0.19628053307281587
woe_scorecard_platform_platt,installment,numerical,OPTIMAL,True,7,0.027842133869223903,0.003457110620992919,0.08013790035783641,0.030241867435699874,0.14218212629612492
woe_scorecard_platform_platt,loan_amnt,numerical,OPTIMAL,True,7,0.021515016074673814,0.0026803152211405446,0.07568700436234888,0.02581935064570112,0.11726402284277238
woe_scorecard_platform_platt,total_acc,numerical,OPTIMAL,True,8,0.021292046332186305,0.0026531121642405834,0.07632569201688133,0.0055670026285511804,0.06274658172307467
woe_scorecard_platform_platt,revol_bal,numerical,OPTIMAL,True,8,0.020440401565069988,0.002546117793200098,0.0695209436289913,0.00043669727612496366,0.12149533741863884
woe_scorecard_platform_platt,dti,numerical,OPTIMAL,True,7,0.017206002175405456,0.002146397385909767,0.07211526444062544,0.0019053713853871563,0.5522627527176915
woe_scorecard_platform_platt,credit_age_years,numerical,OPTIMAL,True,7,0.01657203613043824,0.0020608484885398207,0.05614851470893867,8.304031801534555e-05,0.23126184110280007
woe_scorecard_platform_platt,open_acc,numerical,OPTIMAL,True,7,0.015087965269081374,0.0018804303529062565,0.06248394117007472,0.0037562084018691612,0.19045239287788585
woe_scorecard_platform_platt,emp_length_num,numerical,OPTIMAL,True,6,0.011404805439449077,0.0014083528398145368,0.04489247285709963,0.0024661649530662495,0.10398963118282264
woe_scorecard_platform_platt,verification_status,categorical,OPTIMAL,True,3,0.010125324332154644,0.0012600562698157894,0.02837748162746201,0.00232351305893576,0.6081334177376476
woe_scorecard_platform_platt,delinq_severity,numerical,OPTIMAL,True,2,0.002230353442878537,0.00027862456254427494,0.01528001255647038,0.0023713438765294585,0.14721325645027647
woe_scorecard_platform_platt,home_ownership,categorical,OPTIMAL,True,3,0.0012007260080548763,0.00015002666128414055,0.013938688988259895,0.000958045316845026,0.052311124583344644
woe_scorecard_borrower_platt,fico_score,numerical,OPTIMAL,True,8,0.2135744222493438,0.025996163560484363,0.2458837062043855,0.27774633920049013,0.22729687344722427
woe_scorecard_borrower_platt,inq_last_6mths,numerical,OPTIMAL,True,4,0.17086393760483487,0.020856486793705394,0.2075187254016706,0.5105539832632361,0.39044275945118845
woe_scorecard_borrower_platt,purpose,categorical,OPTIMAL,True,7,0.08887832866960639,0.010926477290665853,0.14779348033365802,0.01768723653834336,0.18798514882172745
woe_scorecard_borrower_platt,rev_utilization,numerical,OPTIMAL,True,7,0.0739026629287923,0.009186114763468882,0.15097843927914056,0.019649087815197794,0.08694369969476334
woe_scorecard_borrower_platt,delinq_recency,numerical,OPTIMAL,True,4,0.04928782736183494,0.006080811618721303,0.09877612394585844,0.09134608884939553,0.1308635109765922
woe_scorecard_borrower_platt,loan_to_income,numerical,OPTIMAL,True,7,0.04092180339356583,0.005083132080619217,0.10566871286374879,0.011306708816571379,0.020570876717486017
woe_scorecard_borrower_platt,annual_inc,numerical,OPTIMAL,True,6,0.031788706777070526,0.00395203452222934,0.08954045844718961,0.0017127167326026935,0.05671526670323674
woe_scorecard_borrower_platt,revol_bal_to_income,numerical,OPTIMAL,True,8,0.031665831471954065,0.003936070094098116,0.0918789420590792,0.03651263795086532,0.13576298727737582
woe_scorecard_borrower_platt,pub_rec,numerical,OPTIMAL,True,2,0.028826877209471597,0.0035532475168816653,0.04436931603538807,0.018336356432410134,0.19628053307281587
woe_scorecard_borrower_platt,loan_amnt,numerical,OPTIMAL,True,7,0.021515016074673814,0.0026803152211405446,0.07568700436234888,0.02581935064570112,0.11726402284277238
woe_scorecard_borrower_platt,total_acc,numerical,OPTIMAL,True,8,0.021292046332186305,0.0026531121642405834,0.07632569201688133,0.0055670026285511804,0.06274658172307467
woe_scorecard_borrower_platt,revol_bal,numerical,OPTIMAL,True,8,0.020440401565069988,0.002546117793200098,0.0695209436289913,0.00043669727612496366,0.12149533741863884
woe_scorecard_borrower_platt,dti,numerical,OPTIMAL,True,7,0.017206002175405456,0.002146397385909767,0.07211526444062544,0.0019053713853871563,0.5522627527176915
woe_scorecard_borrower_platt,credit_age_years,numerical,OPTIMAL,True,7,0.01657203613043824,0.0020608484885398207,0.05614851470893867,8.304031801534555e-05,0.23126184110280007
woe_scorecard_borrower_platt,open_acc,numerical,OPTIMAL,True,7,0.015087965269081374,0.0018804303529062565,0.06248394117007472,0.0037562084018691612,0.19045239287788585
woe_scorecard_borrower_platt,emp_length_num,numerical,OPTIMAL,True,6,0.011404805439449077,0.0014083528398145368,0.04489247285709963,0.0024661649530662495,0.10398963118282264
woe_scorecard_borrower_platt,verification_status,categorical,OPTIMAL,True,3,0.010125324332154644,0.0012600562698157894,0.02837748162746201,0.00232351305893576,0.6081334177376476
woe_scorecard_borrower_platt,delinq_severity,numerical,OPTIMAL,True,2,0.002230353442878537,0.00027862456254427494,0.01528001255647038,0.0023713438765294585,0.14721325645027647
woe_scorecard_borrower_platt,home_ownership,categorical,OPTIMAL,True,3,0.0012007260080548763,0.00015002666128414055,0.013938688988259895,0.000958045316845026,0.052311124583344644
