dataset,candidate_cap,available_candidates,n_candidates,robust_objective,nonrobust_objective,price_of_robustness_pct,robust_objective_boot_low,robust_objective_boot_high,robust_n_funded,robust_max_funded_rank,solver_success
Prosper,all,10531,10531,199419.0887756553,220259.86083869892,0.0946190194785686,186546.04708826492,213330.6986532356,234,508,True
Freddie FM48,500000,1396053,500000,1291227.5801824057,1305409.0552784826,0.0108636254963404,1062741.9024937386,1535012.3146356042,143,551,True
Freddie FM48,1000000,1396053,1000000,1291227.5801824057,1305409.0552784826,0.0108636254963404,1062741.9024937386,1535012.3146356042,143,551,True
Freddie FM48,all,1396053,1396053,1291227.5801824057,1305409.0552784826,0.0108636254963404,1062741.9024937386,1535012.3146356042,143,551,True
