ruler,coordinate,ruler_semantics,window_cells,active_months_per_window_min,active_months_per_window_max,expected_objective_difference_usd_min,expected_objective_difference_usd_max,payoff_bound_usd_lower_min,payoff_bound_usd_upper_max,payoff_identification_width_usd_min,payoff_identification_width_usd_max,default_bound_pp_lower_min,default_bound_pp_upper_max,default_identification_width_pp_min,default_identification_width_pp_max,miscoverage_bound_pp_lower_min,miscoverage_bound_pp_upper_max,miscoverage_identification_width_pp_min,miscoverage_identification_width_pp_max,payoff_direction_pattern,default_direction_pattern,miscoverage_direction_pattern
objective_matched,0.25,common_plugin_objective_floor,8,4,4,0.0,0.0,-9134.339201705214,5603.660798333496,14738.0,14738.0,-0.006789927307658072,0.12654340602615935,0.13333333333333333,0.13333333333333333,-0.006789927307658072,0.12654340602615935,0.13333333333333333,0.13333333333333333,crosses_zero:8,crosses_zero:8,crosses_zero:8
objective_matched,0.5,common_plugin_objective_floor,8,15,15,0.0,4.656612873077393e-10,-82616.17453934051,-27958.36861160415,53530.42261970967,54370.44762289172,0.457176922370002,1.0972986534287477,0.6281743811120005,0.6375359246695269,1.0153517160736112,1.9321319867620808,0.6281743811120005,0.6375359246695269,gamma_1_lower:8,gamma_1_higher:8,gamma_1_higher:8
objective_matched,0.75,common_plugin_objective_floor,8,15,15,0.0,4.656612873077393e-10,-179484.66459580814,92558.17998965128,109550.45677067185,271561.8753013419,-0.4352498618487788,2.494842541954273,1.2006435014285781,2.9246052959625377,1.3252372459918247,4.184767620139838,1.1339768347619112,2.645938629295871,gamma_1_lower:1;crosses_zero:7,gamma_1_higher:1;crosses_zero:7,gamma_1_higher:8
normalized_score,0.25,common_relative_score_relaxation,8,15,15,425196.4593238123,557294.0146438954,-626374.6147907167,-195967.628254245,340845.41518178507,373705.3081783684,8.482852571867097,13.424612654302775,3.7599027571533226,4.101884671392359,8.390955538535708,13.753589682046982,3.639902757153319,3.9432180047256917,gamma_1_lower:8,gamma_1_higher:8,gamma_1_higher:8
normalized_score,0.5,common_relative_score_relaxation,8,15,15,152030.9877972738,226847.9705495569,-259658.18448523604,-54025.8191528258,146499.38968489924,198657.05281574934,3.2213520803827533,6.563699817357987,1.5345657876974395,2.0382675456422694,2.1069714896837946,5.21415906991543,1.5345657876974395,1.9182675456351144,gamma_1_lower:8,gamma_1_higher:8,gamma_1_higher:8
normalized_score,0.75,common_relative_score_relaxation,8,15,15,28263.397028705105,51201.887608815916,-135781.22300933156,9812.591895865517,83832.63333388747,97897.24126478202,1.4391554644757423,2.3807174501084845,0.8041480359892984,0.9415619856327422,0.34472769373846956,1.6990552129348044,0.7256480359893016,0.9415619856327422,gamma_1_lower:7;crosses_zero:1,gamma_1_higher:8,gamma_1_higher:8
