method,rows,default_rate,roc_auc,brier,log_loss,ece_10,venn_multiprobability_gap_mean,same_sample_descriptive_only,selection_metric
platt,14077,0.10478084819208638,0.6763269214733201,0.09020572858912285,0.3165431267613625,0.003272660824190425,,True,False
isotonic,14077,0.10478084819208638,0.6797665154037966,0.08987123104304065,0.3147759484026169,0.0,,True,False
beta,14077,0.10478084819208638,0.6763269214733201,0.09020531286733739,0.3165393235903821,0.0030802446429059023,,True,False
venn_abers,14077,0.10478084819208638,0.679492655187904,0.08990319956265161,0.31514070852775816,0.0016851164384267753,0.002339155431362948,True,False
