score_shift,taxonomy_groups,normalized_cap_position,repetitions,c0_distance_mean,c0_changed_rate,c2_distance_mean,c2_changed_rate,c0_same_numeric_cap_slack_mean,c0_objective_gain_mean,c2_objective_gain_mean
0.0,1,0.25,50,0.9237961981217403,1.0,2.3875490704853657e-16,0.0,0.1300665411804817,4.849991916201346,-4.263256414560601e-16
0.0,1,0.5,50,0.6884832252455726,1.0,2.641181544305038e-16,0.0,0.17770126589015342,2.246838297897505,7.105427357601002e-17
0.0,1,0.75,50,0.3703515331666475,1.0,0.0009981671774560628,0.06,0.22539850026354166,0.6443885342266447,0.00010128009417229578
0.0,5,0.25,50,0.8143849732960411,1.0,0.4451155329302765,1.0,6.106226635438361e-18,3.5215939129112157,0.6024303776020251
0.0,5,0.5,50,0.589998086159638,1.0,0.47381015324481607,1.0,0.10851953057910463,2.0920854818529446,0.613313855052636
0.0,5,0.75,50,0.2963426752046497,1.0,0.3272628610069895,1.0,0.24802011271667404,0.784737107889826,0.35688809605772065
0.08,1,0.25,50,0.853401080324845,1.0,6.375657380514043e-16,0.0,0.17292970455479517,2.6123914424048422,7.460698725481052e-16
0.08,1,0.5,50,0.5992214255891475,1.0,0.0003579730538052151,0.04,0.20630899541362666,1.1413162751428823,1.196989891347755e-05
0.08,1,0.75,50,0.3174770599680718,1.0,0.0016505871091791128,0.12,0.23968828627245817,0.30497835439108184,0.00011174569658912503
0.08,5,0.25,50,0.6467738157392344,1.0,0.5925105194542188,1.0,0.13521585541840828,3.0960365653126325,1.1750460913259757
0.08,5,0.5,50,0.44128806017271416,1.0,0.46311704096588185,1.0,0.21748415795063594,1.7183180028629992,0.7965912028920081
0.08,5,0.75,50,0.24379835911654432,1.0,0.25647665606972425,1.0,0.29975246048286364,0.6621033985696556,0.3678493759293429
