method,window_id,taxonomy_groups,role,conformal_group,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper,coverage_resolved_y0,coverage_resolved_y1,rows,mean_width,average_set_size,singleton_share,set_empty_count,set_empty_share,set_zero_only_count,set_zero_only_share,set_one_only_count,set_one_only_share,set_both_count,set_both_share,lower_positive_share,upper_saturated_share,width_q00,width_q10,width_q25,width_q50,width_q75,width_q90,width_q100,score_min,score_max,fit_rows,fit_prevalence,fit_residual_quantile,fit_score_min,fit_score_max,scores_below_fit_range,scores_above_fit_range,venn_multiprobability_gap_mean,venn_multiprobability_gap_q50,coverage_upper_below_nominal
platt,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.8770469335058413,0.8547135769057285,0.8805221682719095,0.9868666393799417,0.28364810784244887,376890,0.6649918872956118,1.1745787895672477,0.8004112605800101,4713,0.01250497492637109,301667,0.8004112605800101,0,0.0,70510,0.18708376449361883,0.01250497492637109,0.18708376449361883,0.054537479077481146,0.0896353066409487,0.1426944072201049,0.9785780281145038,0.9953786894773093,1.0,1.0,0.005424291130823528,0.5544847575803251,14948,0.13674070109713674,0.8219519891493827,0.009701465766812493,0.5281745670852075,139,3,,,True
platt,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,0.8912995123620497,0.8607402511566424,0.8932584269662921,0.9545729416723168,0.0,60520,0.08464392437931598,0.9530898876404494,0.9530898876404494,2839,0.04691011235955056,57681,0.9530898876404494,0,0.0,0,0.0,0.04691011235955056,0.0,0.054537479077481146,0.07021563071823916,0.07739569485793614,0.08603589161644638,0.09310004957643958,0.09695144904910911,0.09822637589331523,0.005424291130823528,0.05026398374733186,1829,0.05248769819573537,0.049113187946657616,0.009701465766812493,0.05025870117266396,139,13,,,True
platt,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,0.8733881941294628,0.843861516308771,0.8768171289050273,0.9773198567264606,0.0,79865,0.14501231151164581,0.9765354034933951,0.9765354034933951,1874,0.023464596506604894,77991,0.9765354034933951,0,0.0,0,0.0,0.023464596506604894,0.0,0.12991151373320245,0.13302441164731435,0.13759200733730353,0.1450085841063175,0.15252055385204508,0.15694313257774622,0.15929179396605264,0.05026561675017613,0.080368886853859,2437,0.07796471070988921,0.07964589698302632,0.05029026008180106,0.08036503136586999,57,14,,,True
platt,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,0.871442577946271,0.8470909711943527,0.8755930016319405,1.0,0.13065770862800563,79047,0.9875801457582357,1.1155515073310815,0.8844484926689185,0,0.0,69913,0.8844484926689185,0,0.0,9134,0.11555150733108151,0.0,0.11555150733108151,0.9723431871380355,0.9753746215480552,0.9799348336005763,0.9876475606764247,0.9956072694444273,1.0,1.0,0.08036959879849867,0.11189296397180755,3249,0.11665127731609726,0.8919735883395368,0.08037134402127445,0.11187745514731459,4,32,,,True
platt,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,0.8727817114072398,0.8561974200785194,0.8766124509254066,1.0,0.3324792664014564,80235,0.9906041523518692,1.3108119897800212,0.6891880102199788,0,0.0,55297,0.6891880102199788,0,0.0,24938,0.31081198978002117,0.0,0.31081198978002117,0.9736563816197488,0.9771819134263668,0.9826400609516598,0.9921845961602458,1.0,1.0,1.0,0.11189496292649623,0.15326092137265918,3603,0.15431584790452402,0.8617614186932525,0.1118957731833843,0.15326107739536926,4,0,,,True
platt,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,0.87985044732274,0.8674747160819963,0.8834803102702563,1.0,0.5200810709904529,77223,0.9890623505280277,1.471854240317004,0.528145759682996,0,0.0,40785,0.528145759682996,0,0.0,36438,0.471854240317004,0.0,0.471854240317004,0.962838089974756,0.9682288613499275,0.9772759963649984,0.9972559705210675,1.0,1.0,1.0,0.1532636176115942,0.5544847575803251,3830,0.21488250652741514,0.8095744723631617,0.1532638278468384,0.5281745670852075,3,3,,,True
platt,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.879165821487114,0.8570245960359787,0.8825970442304121,0.9869770856478324,0.29661939198202625,376890,0.6653409452353941,1.1839422643211548,0.791403327230757,4646,0.012327204224044151,298272,0.791403327230757,0,0.0,73972,0.19626946854519886,0.012327204224044151,0.19626946854519886,0.0544282437770001,0.08952607134046764,0.14283617519766612,0.9793001695195559,0.9960733268504931,1.0,1.0,0.005424291130823528,0.5544847575803251,16674,0.14081804006237256,0.82766418729986,0.009701465766812493,0.4831174891615209,139,32,,,True
platt,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,0.8867824450337924,0.8563780568407138,0.8887475214805023,0.9497352073445603,0.0,60520,0.08452928413016607,0.9481824190350298,0.9481824190350298,3136,0.05181758096497026,57384,0.9481824190350298,0,0.0,0,0.0,0.05181758096497026,0.0,0.0544282437770001,0.07010639541775812,0.0772864595574551,0.08592665631596533,0.09299081427595852,0.09684221374862807,0.09800790529235315,0.005424291130823528,0.05026398374733186,1943,0.049922799794132784,0.04900395264617657,0.009701465766812493,0.05025870117266396,139,13,,,True
platt,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,0.8772500485971619,0.8475928128717211,0.8807738057972829,0.9816412650995519,0.0,79865,0.14515708835622113,0.9810930945971327,0.9810930945971327,1510,0.01890690540286734,78355,0.9810930945971327,0,0.0,0,0.0,0.01890690540286734,0.0,0.13005328171076364,0.13316617962487554,0.13773377531486475,0.1451503520838787,0.15266232182960626,0.15708490055530744,0.15957532992117507,0.05026561675017613,0.080368886853859,2647,0.0819795995466566,0.07978766496058752,0.05029026008180106,0.080358953595577,57,33,,,True
platt,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,0.8716648146937709,0.8473313345224993,0.8758080635571243,1.0,0.1321605374823197,79047,0.9876137950975032,1.1168292281807026,0.8831707718192974,0,0.0,69812,0.8831707718192974,0,0.0,9235,0.11682922818070263,0.0,0.11682922818070263,0.9723812573402779,0.9754126917502977,0.9799729038028188,0.9876856308786671,0.9956453396466698,1.0,1.0,0.08036959879849867,0.11189296397180755,3621,0.11654239160452913,0.8920116585417792,0.08037134402127445,0.11188898033944253,4,10,,,True
