learner,window_id,taxonomy_groups,role,conformal_group,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper,score_min,score_max,fit_rows,fit_prevalence,fit_residual_quantile,fit_score_min,fit_score_max,scores_below_fit_range,scores_above_fit_range,rows,mean_width,lower_positive_share,upper_saturated_share,set_empty_count,set_empty_share,set_zero_only_count,set_zero_only_share,set_one_only_count,set_one_only_share,set_both_count,set_both_share,width_q00,width_q10,width_q25,width_q50,width_q75,width_q90,width_q100,fit_coverage
catboost_platt,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.8770469335058413,0.8547135769057285,0.8805221682719095,0.005424291130823528,0.5544847575803251,14948,0.13674070109713674,0.8219519891493827,0.009701465766812493,0.5281745670852075,139,3,376890,0.6649918872956118,0.01250497492637109,0.18708376449361883,4713,0.01250497492637109,301667,0.8004112605800101,0,0.0,70510,0.18708376449361883,0.054537479077481146,0.0896353066409487,0.1426944072201049,0.9785780281145038,0.9953786894773093,1.0,1.0,0.9003880117741504
catboost_platt,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.879165821487114,0.8570245960359787,0.8825970442304121,0.005424291130823528,0.5544847575803251,16674,0.14081804006237256,0.82766418729986,0.009701465766812493,0.4831174891615209,139,32,376890,0.665340945235394,0.012327204224044151,0.19626946854519886,4646,0.012327204224044151,298272,0.791403327230757,0,0.0,73972,0.19626946854519886,0.0544282437770001,0.08952607134046764,0.14283617519766612,0.9793001695195559,0.9960733268504931,1.0,1.0,0.9004438047259206
catboost_platt,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,0.8777349553471084,0.8556528430045902,0.8811430390830216,0.005424291130823528,0.5544847575803251,19049,0.14116226573573415,0.8266480025829714,0.009701465766812493,0.4831174891615209,139,32,376890,0.6653200651843035,0.014086338188861472,0.19673644830056516,5309,0.014086338188861472,297433,0.7891772135105733,0,0.0,74148,0.19673644830056516,0.054239731200646374,0.08933755876411392,0.14275810252805138,0.9793603622579774,0.9961042627119951,1.0,1.0,0.9003622237387789
catboost_platt,w04_2012m04_m09,5,primary_oot,-1,376890,364814,12076,0.8748732230670972,0.8525697153015469,0.8783411605508239,0.005424291130823528,0.5544847575803251,21767,0.14126889327881656,0.8255389571463173,0.009701465766812493,0.4831174891615209,139,32,376890,0.665031208384886,0.015378492398312505,0.18653453262225053,5796,0.015378492398312505,300791,0.7980869749794369,0,0.0,70303,0.18653453262225053,0.0539599419893023,0.08905776955276984,0.14283617519766612,0.9786919648415489,0.9953512704484286,1.0,1.0,0.9002618642899802
catboost_platt,w05_2012m05_m10,5,primary_oot,-1,376890,364814,12076,0.87251311627295,0.8499323410013532,0.8760327947146382,0.005424291130823528,0.5544847575803251,24270,0.13976102183765965,0.8238022572208143,0.009371217051990668,0.4831174891615209,119,32,376890,0.6647076525088493,0.01602058956194115,0.17684470269840005,6038,0.01602058956194115,304201,0.8071347077396588,0,0.0,66651,0.17684470269840005,0.053862759496348916,0.08896058705981646,0.14283524655328017,0.9779902667559446,0.9946330525536466,1.0,1.0,0.9002472187886279
catboost_platt,w06_2012m06_m11,5,primary_oot,-1,376890,364814,12076,0.8721129123334083,0.8494255618350182,0.8756692934277905,0.005424291130823528,0.5544847575803251,26685,0.1380925613640622,0.8228775147793896,0.009275781579087032,0.4831174891615209,113,32,376890,0.6645688455708323,0.015450131338056197,0.17227838361325587,5823,0.015450131338056197,306137,0.812271485048688,0,0.0,64930,0.17227838361325587,0.05389117253953069,0.08898900010299823,0.14289258993779208,0.9776415565716892,0.9942949912817858,1.0,1.0,0.9002435825370058
catboost_platt,w07_2012m07_m12,5,primary_oot,-1,376890,364814,12076,0.8694814343747773,0.8465175515402372,0.8730929448910822,0.005424291130823528,0.5544847575803251,28411,0.13248389708211608,0.8164243127235671,0.009275781579087032,0.49345656902413654,113,18,376890,0.6641544351090525,0.01606569556103903,0.1612910928918252,6055,0.01606569556103903,310046,0.8226432115471358,0,0.0,60789,0.1612910928918252,0.05390479242464117,0.08900261998810871,0.142788277391194,0.9767883025628927,0.9934566726155654,1.0,1.0,0.9002147055717856
catboost_platt,w08_2012m08_2013m01,5,primary_oot,-1,376890,364814,12076,0.8658549288130389,0.8424845445620738,0.8695640637851894,0.005424291130823528,0.5544847575803251,30129,0.12761790965514952,0.8091359890849514,0.009275781579087032,0.49345656902413654,113,18,376890,0.5005686881638921,0.016068348855103613,0.14419591923372868,6056,0.016068348855103613,316488,0.8397357319111677,0,0.0,54346,0.14419591923372868,0.05408270522336448,0.08918053278683202,0.14269205142933994,0.2108606159144652,0.9855777292913334,1.0,1.0,0.9002290152344917
numeric_logistic_platt,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.8930578322103867,0.8718193637400833,0.8962217092520364,1.9895529665330944e-46,1.0,14948,0.13674070109713674,0.8132704993326145,0.002386024381188275,0.4387428023626731,2268,1395,376890,0.7502982548753632,0.00845074159569105,0.23931120486083474,2900,0.007694552787285415,283796,0.7529942423518798,285,0.0007561888084056356,89909,0.2385550160524291,0.05584550688919372,0.10655796562651992,0.15853748633016512,0.9834217079741655,0.9992278304184096,1.0,1.0,0.9004549103559004
numeric_logistic_platt,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.8921011803275094,0.8708509114065112,0.8952771365650455,1.9895529665330944e-46,1.0,16674,0.14081804006237256,0.813209200317482,0.002386024381188275,0.4387428023626731,2268,1395,376890,0.7500855689952323,0.008891188410411525,0.2384409244076521,3062,0.008124386425747565,283962,0.7534346891666003,289,0.0007668019846639603,89577,0.23767412242298813,0.055803534960441346,0.10651599369776756,0.1585032799436104,0.983287132927271,0.9991742093226285,1.0,1.0,0.9003838311143098
numeric_logistic_platt,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,0.8918188446715313,0.8706413011754093,0.8949693544535541,1.9895529665330944e-46,1.0,19049,0.14116226573573415,0.8106670055920027,0.002386024381188275,0.4387428023626731,2268,1395,376890,0.750093920569841,0.00950675263339436,0.23981267743904056,3294,0.008739950648730399,283213,0.751447371912229,289,0.0007668019846639603,90094,0.2390458754543766,0.055762309681025385,0.1064747684183516,0.15843614395650368,0.9834163815599517,0.9992604741626012,1.0,1.0,0.9003622237387789
numeric_logistic_platt,w04_2012m04_m09,5,primary_oot,-1,376890,364814,12076,0.8881567045124364,0.8666640133726021,0.8913741409960466,1.9895529665330944e-46,1.0,21767,0.14126889327881656,0.8077035644116417,0.002386024381188275,0.4387428023626731,2268,1395,376890,0.7496760765048108,0.011305686009180398,0.22668683170155748,3972,0.010538884024516438,287482,0.7627742842739261,289,0.0007668019846639603,85147,0.2259200297168935,0.05568070201998956,0.10639316075731577,0.15823378694722007,0.9825390355131967,0.9983719080437077,1.0,1.0,0.9003078053934855
