policy_label,policy,constraint_score,risk_tolerance,risk_cap_slack,months,total_budget,expected_objective,expected_payoff_rate,realized_payoff_lower,realized_payoff_upper,realized_payoff_rate_lower,realized_payoff_rate_upper,weighted_pd_point,weighted_pd_effective,weighted_default_lower,weighted_default_upper,weighted_miscoverage_lower,weighted_miscoverage_upper,unresolved_exposure_share
selected_conformal_guardrail,Conformal guardrail,blended_conformal_score,0.17,0.0,15,15000000.0,2383112.2286276123,0.15887414857517415,-2389.9049780131754,168250.04325288115,-0.0001593269985342117,0.011216669550192076,0.0749794287012458,0.17,0.2927751653847958,0.3103219054048785,0.2947084987181292,0.3095885720715451,0.0175467400200826
same_threshold_point_pd,"Point PD, same numeric threshold",point_pd,0.17,0.05424179096690632,15,15000000.0,2624090.007250436,0.17493933381669574,177108.52499999997,369495.74,0.011807234999999998,0.024633049333333334,0.1157582090330937,0.1157582090330937,0.3260366666666666,0.3434283333333333,0.27536,0.290265,0.0173916666666666
development_matched_point_pd_low,"Point PD, development match (low)",point_pd,0.06503179389092847,6.938893903907228e-17,15,15000000.0,2337730.689030485,0.15584871260203234,365435.33575869625,557757.0132723554,0.024362355717246417,0.037183800884823696,0.0650317938909284,0.0650317938909284,0.2428769218200973,0.2630053322963827,0.2515711574294437,0.271699567905729,0.0201284104762852
development_matched_point_pd,"Point PD, development match (mean)",point_pd,0.06831339893217318,8.326672684688674e-17,15,15000000.0,2374633.0504581723,0.15830887003054483,398134.4097412093,570279.9288622467,0.026542293982747288,0.03801866192414978,0.0683133989321731,0.0683133989321731,0.2473532165490956,0.2650261032100346,0.2566240161736042,0.2742969028345433,0.017672886660939
development_matched_point_pd_high,"Point PD, development match (high)",point_pd,0.07170531506384897,6.938893903907228e-17,15,15000000.0,2409447.4256221773,0.16062982837481182,421469.0879704436,585352.0897485274,0.028097939198029574,0.03902347264990182,0.0717053150638489,0.0717053150638489,0.2513666295300052,0.267986756932147,0.2605966295300053,0.277216756932147,0.0166201274021417
