method_a,method_b,window_id,taxonomy_groups,role,conformal_group,candidate_rows,resolved_rows,unresolved_rows,coverage_difference_resolved,coverage_difference_lower,coverage_difference_upper,shared_loanwise_completion
platt,isotonic,w07_2012m07_m12,5,primary_oot,-1,376890,364814,12076,-0.03937623007888952,-0.04317440101886492,-0.03811456923770862,True
platt,isotonic,w07_2012m07_m12,5,primary_oot,0,60520,58445,2075,-0.06631876122850543,-0.06665565102445473,-0.06404494382022471,True
platt,isotonic,w07_2012m07_m12,5,primary_oot,1,79865,77165,2700,-0.01766344845461025,-0.01778000375633882,-0.017066299380204094,True
platt,isotonic,w07_2012m07_m12,5,primary_oot,2,79047,76495,2552,-0.07511602065494477,-0.08783382038534036,-0.07269093071210798,True
platt,isotonic,w07_2012m07_m12,5,primary_oot,3,80235,77819,2416,-0.00791580462354952,-0.009173054153424317,-0.007677447497974699,True
platt,isotonic,w07_2012m07_m12,5,primary_oot,4,77223,74890,2333,-0.036907464280945386,-0.04064851145384147,-0.03579244525594706,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,-1,376890,364814,12076,-0.02693153223286387,-0.02841147284353525,-0.02606861418451007,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,0,60520,58445,2075,-0.05966293096073231,-0.06001321877065433,-0.05761731658955717,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,1,79865,77165,2700,-0.020281215577010302,-0.020447004319789644,-0.019595567520190323,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,2,79047,76495,2552,-0.0021439309758807764,-0.002188571356281706,-0.0020747150429491316,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,3,80235,77819,2416,-0.01285033218108688,-0.014794042500155792,-0.012463388795413474,True
platt,isotonic,w08_2012m08_2013m01,5,primary_oot,4,77223,74890,2333,-0.04819067966350648,-0.052872848762674333,-0.0467347810885358,True
platt,beta,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w02_2012m02_m07,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w03_2012m03_m08,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w04_2012m04_m09,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w05_2012m05_m10,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w06_2012m06_m11,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w07_2012m07_m12,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,-1,376890,364814,12076,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
platt,beta,w08_2012m08_2013m01,5,primary_oot,4,77223,74890,2333,0.0,0.0,0.0,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,-0.03147905508012302,-0.034498129427684474,-0.030470429037650244,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,-0.04241594661647703,-0.042729676140118966,-0.040961665565102445,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,-0.020268256333830104,-0.02043448319038377,-0.01958304639078445,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,-0.05732400810510491,-0.06722582767214443,-0.05547332599592648,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,-0.002043202816792814,-0.0023805072599239734,-0.0019816788184707423,True
platt,venn_abers,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,-0.03868340232340767,-0.04246144283438872,-0.037514730067466945,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,-0.0408811065364816,-0.04503170686407174,-0.039571227679163684,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,-0.04693301394473436,-0.047240581625908794,-0.04532385988103106,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,-0.01640640186613102,-0.016477806298128093,-0.01585174982783447,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,-0.05710177135760507,-0.06698546434399788,-0.055258264070742726,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,3,80235,77819,2416,-0.050745961783112095,-0.05684551629588085,-0.049217922353087806,True
platt,venn_abers,w02_2012m02_m07,5,primary_oot,4,77223,74890,2333,-0.03455735078114568,-0.038084508501353226,-0.03351333152040195,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,-0.042311972676487196,-0.04647244554113932,-0.04095624718087506,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,0,60520,58445,2075,-0.053862605868765505,-0.054196959682749506,-0.0520158625247852,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,1,79865,77165,2700,-0.01858355472040433,-0.01870656733237338,-0.017955299568021034,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,2,79047,76495,2552,-0.05908882933525067,-0.06922463850620517,-0.057181170695915086,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,3,80235,77819,2416,-0.04889551394903558,-0.05478905714463763,-0.047423194366548266,True
platt,venn_abers,w03_2012m03_m08,5,primary_oot,4,77223,74890,2333,-0.03376952864200828,-0.0372039418308017,-0.032749310438599896,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,-1,376890,364814,12076,-0.04517370495649838,-0.049587412772957626,-0.0437262861842978,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,0,60520,58445,2075,-0.0642826589100864,-0.06462326503635162,-0.06207865168539326,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,1,79865,77165,2700,-0.01640640186613102,-0.016477806298128093,-0.01585174982783447,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,2,79047,76495,2552,-0.06583436825936335,-0.07709337482763419,-0.06370893266031602,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,3,80235,77819,2416,-0.05281486526426708,-0.05908892627905527,-0.051224527949149376,True
platt,venn_abers,w04_2012m04_m09,5,primary_oot,4,77223,74890,2333,-0.030858592602483643,-0.034018362404982974,-0.029926317288890617,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,-1,376890,364814,12076,-0.0360128723130143,-0.03938019050651384,-0.03485897742046751,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,0,60520,58445,2075,-0.0678586705449568,-0.06822538003965631,-0.06553205551883674,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,1,79865,77165,2700,-0.016432320352491415,-0.016502848556939835,-0.015876792086646215,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,2,79047,76495,2552,-0.0702398849598013,-0.08222955962908143,-0.06797221905954685,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,3,80235,77819,2416,-0.002261658463871291,-0.0026796285910138965,-0.002193556427992771,True
platt,venn_abers,w05_2012m05_m10,5,primary_oot,4,77223,74890,2333,-0.03144612097743357,-0.03470468642761872,-0.03049609572277689,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,-1,376890,364814,12076,-0.0364130762525561,-0.03986309002626761,-0.03524635835389636,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,0,60520,58445,2075,-0.06695183505860211,-0.06730006609385328,-0.06465631196298745,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,1,79865,77165,2700,-0.014721700252705241,-0.014774932698929443,-0.014224003005071057,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,2,79047,76495,2552,-0.07099810445127132,-0.08312775943426062,-0.06870595974546789,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,3,80235,77819,2416,-0.004613269253010191,-0.005259550071664486,-0.004474356577553437,True
platt,venn_abers,w06_2012m06_m11,5,primary_oot,4,77223,74890,2333,-0.03264788356255842,-0.03597373839400179,-0.03166155161027155,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,-1,376890,364814,12076,-0.03904455421118707,-0.04280028655575897,-0.037793520655894294,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,0,60520,58445,2075,-0.06631876122850543,-0.06665565102445473,-0.06404494382022471,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,1,79865,77165,2700,-0.01766344845461025,-0.01778000375633882,-0.017066299380204094,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,2,79047,76495,2552,-0.07511602065494477,-0.08783382038534036,-0.07269093071210798,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,3,80235,77819,2416,-0.00791580462354952,-0.009173054153424317,-0.007677447497974699,True
platt,venn_abers,w07_2012m07_m12,5,primary_oot,4,77223,74890,2333,-0.03529176124983309,-0.03882263056343317,-0.0342255545627598,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,-1,376890,364814,12076,-0.026599856365161424,-0.028037358380429304,-0.025747565602695748,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,0,60520,58445,2075,-0.05966293096073231,-0.06001321877065433,-0.05761731658955717,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,1,79865,77165,2700,-0.020281215577010302,-0.020447004319789644,-0.019595567520190323,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,2,79047,76495,2552,-0.0021439309758807764,-0.002188571356281706,-0.0020747150429491316,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,3,80235,77819,2416,-0.01285033218108688,-0.014794042500155792,-0.012463388795413474,True
platt,venn_abers,w08_2012m08_2013m01,5,primary_oot,4,77223,74890,2333,-0.046574976632394176,-0.051046967872266036,-0.045167890395348534,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.031810730947825466,0.030791477619464564,0.03487224389079042,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,0.04241594661647703,0.040961665565102445,0.042729676140118966,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,0.020268256333830104,0.01958304639078445,0.02043448319038377,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,0.05732400810510491,0.05547332599592648,0.06722582767214443,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,0.002043202816792814,0.0019816788184707423,0.0023805072599239734,True
isotonic,beta,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,0.040299105354519964,0.03908162076065421,0.04428732372479702,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.04577401086581107,0.044307357584441084,0.05046299981426942,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,0.04693301394473436,0.04532385988103106,0.047240581625908794,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,0.01640640186613102,0.01585174982783447,0.016477806298128093,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,0.05710177135760507,0.055258264070742726,0.06698546434399788,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,3,80235,77819,2416,0.07212891453244066,0.06995700130865583,0.08060073533993893,True
isotonic,beta,w02_2012m02_m07,5,primary_oot,4,77223,74890,2333,0.03617305381225798,0.03508022221358922,0.039910389391761524,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,0.047204877005816666,0.04569237708615246,0.051903738491337,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,0,60520,58445,2075,0.053862605868765505,0.0520158625247852,0.054196959682749506,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,1,79865,77165,2700,0.01858355472040433,0.017955299568021034,0.01870656733237338,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,2,79047,76495,2552,0.05908882933525067,0.057181170695915086,0.06922463850620517,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,3,80235,77819,2416,0.07027846669836416,0.06816227332211629,0.07854427618869571,True
isotonic,beta,w03_2012m03_m08,5,primary_oot,4,77223,74890,2333,0.035385231673120576,0.03431620113178716,0.03902982272121,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,-1,376890,364814,12076,0.050066609285827846,0.04846241608957521,0.0550187057231553,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,0,60520,58445,2075,0.0642826589100864,0.06207865168539326,0.06462326503635162,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,1,79865,77165,2700,0.01640640186613102,0.01585174982783447,0.016477806298128093,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,2,79047,76495,2552,0.06583436825936335,0.06370893266031602,0.07709337482763419,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,3,80235,77819,2416,0.07419781801359565,0.0719636069047174,0.08284414532311335,True
isotonic,beta,w04_2012m04_m09,5,primary_oot,4,77223,74890,2333,0.03247429563359594,0.03149320798207788,0.03584424329539127,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,-1,376890,364814,12076,0.03634454818071675,0.03518002600228183,0.039754304969619784,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,0,60520,58445,2075,0.0678586705449568,0.06553205551883674,0.06822538003965631,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,1,79865,77165,2700,0.016432320352491415,0.015876792086646215,0.016502848556939835,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,2,79047,76495,2552,0.0702398849598013,0.06797221905954685,0.08222955962908143,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,3,80235,77819,2416,0.002261658463871291,0.002193556427992771,0.0026796285910138965,True
isotonic,beta,w05_2012m05_m10,5,primary_oot,4,77223,74890,2333,0.03306182400854587,0.032062986415964154,0.036530567318027014,True
isotonic,beta,w06_2012m06_m11,5,primary_oot,-1,376890,364814,12076,0.036744752120258545,0.035567406935710685,0.040237204489373554,True
