tail_satisficing_rank,candidate_rank,paper_role,risk_tolerance,gamma,uncertainty_aversion,realized_total_return,return_delta_vs_champion_pct,cvar_95_loss_rate,cvar_delta_vs_champion_pct,entropic_oce_theta5,mean_loss_rate,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,satisficing_pass,min_satisficing_margin,satisficing_shortfall,audit_n_funded,audit_solver_backend,audit_solver_status
26,29,robust_region_policy,0.165,0.45,0.1,168365.23091736945,-1.2315241486754518,0.2314957499999998,-8.937290470791053,-0.077047861589509,-0.1683652309175472,0.026875,0.171171,True,-0.0,0.0,345,highs,TerminationCondition.optimal
27,30,robust_region_policy,0.165,0.45,0.05,168244.12224854622,-1.3025704007245107,0.2314957499999998,-8.937290470791053,-0.0769851196624198,-0.1682441222486654,0.026875,0.17189,True,-0.0,0.0,347,highs,TerminationCondition.optimal
28,33,robust_region_policy,0.17,0.5,0.1,167226.8353415202,-1.8993437176558423,0.2314957499999998,-8.937290470791053,-0.0764780867612215,-0.1672268353415537,0.026875,0.165327,True,-0.0,0.0,345,highs,TerminationCondition.optimal
29,34,robust_region_policy,0.17,0.5,0.05,167124.6310620346,-1.959300045071384,0.2314957499999998,-8.937290470791053,-0.0764022189444275,-0.1671246310622178,0.026875,0.165864,True,-0.0,0.0,346,highs,TerminationCondition.optimal
30,23,robust_region_policy,0.16,0.45,0.1,166559.14303245154,-2.291033565643095,0.2314957499999998,-8.937290470791053,-0.0761216676147778,-0.1665627755668657,0.026875,0.162606,True,-0.0,0.0,347,highs,TerminationCondition.optimal
31,38,robust_region_policy,0.175,0.55,0.05,166186.4620978511,-2.5096602244180195,0.2314957499999998,-8.937290470791053,-0.0759338616340996,-0.16618646209781,0.026875,0.160699,True,-0.0,0.0,345,highs,TerminationCondition.optimal
32,13,robust_region_policy,0.155,0.55,0.1,160978.00154814168,-5.565111205737463,0.2314957499999998,-8.937290470791053,-0.0733474878115397,-0.1609780015481643,0.029875,0.12825,True,-0.0,0.0,346,highs,TerminationCondition.optimal
33,8,robust_region_policy,0.165,0.5,0.0,165401.62753483138,-2.97006949753535,0.2360412436011981,-7.149244843721016,-0.0749582567867925,-0.1654016275350454,0.028075,0.158457,True,-0.0,0.0,345,highs,TerminationCondition.optimal
34,35,balanced_comparator,0.17,0.45,0.1,169389.5810115051,-0.6306073383300145,0.2427357499999998,-4.51584923436096,-0.075239524977382,-0.1693895810116205,0.027875,0.179825,True,-0.0,0.0,343,highs,TerminationCondition.optimal
35,40,robust_region_policy,0.175,0.5,0.1,168128.1097153701,-1.3706270952036637,0.2427357499999998,-4.51584923436096,-0.0746075107597085,-0.1681281097154604,0.027875,0.17327,True,-0.0,0.0,345,highs,TerminationCondition.optimal
36,36,robust_region_policy,0.17,0.45,0.05,169337.1631898248,-0.6613573235057056,0.2429757499999998,-4.421441236430073,-0.0752112942780283,-0.1693371631899614,0.027875,0.180138,True,-0.0,0.0,344,highs,TerminationCondition.optimal
37,12,robust_region_policy,0.17,0.45,0.0,169262.37545367464,-0.7052302221539193,0.2429757499999998,-4.421441236430073,-0.0751358089764025,-0.1692623754538053,0.027875,0.180537,True,-0.0,0.0,343,highs,TerminationCondition.optimal
38,24,robust_region_policy,0.16,0.45,0.05,165829.33653326883,-2.719161601330249,0.2452717499999997,-3.518271389557902,-0.072963919558912,-0.1658293365333349,0.028075,0.162897,True,-0.0,0.0,348,highs,TerminationCondition.optimal
39,9,robust_region_policy,0.165,0.45,0.0,167494.8582103625,-1.742112856482107,0.2454126916184966,-3.4628296561102703,-0.0737902640323714,-0.1674948582106428,0.028075,0.172234,True,-0.0,0.0,348,highs,TerminationCondition.optimal
40,11,robust_region_policy,0.17,0.5,0.0,166313.57843638843,-2.435089679509638,0.2460147180624018,-3.22601252581636,-0.0731881486959823,-0.1663135784366802,0.028075,0.166451,True,-0.0,0.0,347,highs,TerminationCondition.optimal
41,39,robust_region_policy,0.175,0.55,0.0,165375.90860423315,-2.985157051906716,0.2461217499999997,-3.1839097302193324,-0.0726971387537753,-0.1653759086040766,0.028075,0.161223,True,-0.0,0.0,348,highs,TerminationCondition.optimal
42,6,robust_region_policy,0.16,0.45,0.0,165590.76458837948,-2.859115600438128,0.2480207499999997,-2.43690644659116,-0.0727457423939489,-0.1655907645885528,0.028075,0.164142,True,-0.0,0.0,348,highs,TerminationCondition.optimal
43,43,economic_champion,0.175,0.45,0.1,170464.5429284627,0.0,0.2542157499999998,0.0,-0.0734634367187448,-0.1704645429285968,0.028875,0.187987,True,-0.0,0.0,341,highs,TerminationCondition.optimal
44,44,robust_region_policy,0.175,0.45,0.05,166574.19464587132,-2.2822038036520054,0.3116975351392571,22.61141771871229,-0.0604519567180308,-0.1665741946456538,0.027875,0.189263,True,-0.0,0.0,342,highs,TerminationCondition.optimal
45,45,robust_region_policy,0.175,0.45,0.0,166210.47853140024,-2.495571409737525,0.3164477499999997,24.479993863480114,-0.0593654126511955,-0.1662104785315218,0.027875,0.189562,True,-0.0,0.0,343,highs,TerminationCondition.optimal
