temporal_shift,metric,mean,q05,q50,q95,repetitions
0.0,calibration_coverage,0.90334,0.903,0.9035,0.904,200
0.0,zero_base_drift_coverage,0.9016175000000001,0.886475,0.902,0.917075,200
0.0,transported_coverage,0.9016175000000001,0.886475,0.902,0.917075,200
0.0,base_rate_drift_coverage_effect,0.0,0.0,0.0,0.0,200
0.0,calibration_score_mean,0.08737706332944825,0.08310129616634924,0.08755094720542171,0.09097742107749296,200
0.0,evaluation_score_mean,0.08754790540411697,0.0832116151407864,0.08770198696338727,0.09148622827707845,200
0.0,score_drift,0.00017084207466870892,-0.005883907875152303,0.00029816988303741493,0.005348128436239148,200
0.0,group_penalty_sd,0.31935447425991237,0.27280322243431127,0.2896873093801393,0.3891824155777724,200
0.0,pooled_penalty,0.3839062574424702,0.3201447698008258,0.3791882482145049,0.468486193832042,200
0.0,upper_endpoint_saturation,0.094375,0.06747500000000001,0.0935,0.12362499999999996,200
0.0,clipping_score_reduction,0.003015564753823049,0.002114150849539487,0.0030505089594898274,0.003901790256596918,200
0.0,taxonomy_allocation_l1,0.052317758793840825,0.031,0.04594935233678242,0.07817748729585361,200
0.0,saturation_allocation_l1,0.0016019440085736703,6.866127201007577e-05,0.0011831840843851927,0.004008928665865777,200
0.0,guard_point_moment,0.14086394765605628,0.12699863700653824,0.1454821234785606,0.1502822454761385,200
0.0,same_cap_point_moment,0.20800813040319274,0.20149066577113145,0.20819087584789817,0.21417558217497384,200
0.0,matched_point_moment,0.14086394765605628,0.12699863700653824,0.1454821234785606,0.15028224547613847,200
0.0,matched_moment_residual,-9.71445146547012e-19,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,200
0.0,guard_default,0.13807826370135007,0.095,0.13832257486283614,0.18018636444965586,200
0.0,same_cap_default,0.20739999999999997,0.16475,0.21,0.2552499999999999,200
0.0,matched_default,0.14071259553663648,0.1,0.14,0.18524999999999991,200
0.0,guard_minus_same_cap_default,-0.0693217362986499,-0.11233467092659723,-0.07,-0.03,200
0.0,guard_minus_matched_default,-0.002634331835286403,-0.024999999999999994,-0.004982442317618185,0.02506916199334959,200
0.0,guard_payoff,0.10371734163502326,0.07623471169928712,0.10402090513564975,0.1278787524112371,200
0.0,same_cap_payoff,0.11021349494517724,0.07432859023967898,0.10941074661346822,0.14255001484261218,200
0.0,matched_payoff,0.10332764681890896,0.07529034611205503,0.10275841328848734,0.13090428125420384,200
0.0,guard_minus_same_cap_payoff,-0.00649615331015398,-0.03379854771270684,-0.00637047703477462,0.022402335421564293,200
0.0,guard_minus_matched_payoff,0.0003896948161142934,-0.01856805229423543,0.0006789636037526636,0.015896698951581408,200
0.05,calibration_coverage,0.903375,0.903,0.9035,0.904,200
0.05,zero_base_drift_coverage,0.9010825,0.887,0.9015,0.91505,200
0.05,transported_coverage,0.8987075,0.8855,0.8985,0.913,200
0.05,base_rate_drift_coverage_effect,-0.0023750000000000017,-0.0040000000000000036,-0.0020000000000000018,-0.000500000000000056,200
0.05,calibration_score_mean,0.08767444317426243,0.08407384592604006,0.08754271040952842,0.09165365495986859,200
0.05,evaluation_score_mean,0.09201179874163767,0.08817092910339858,0.09196051117406365,0.09666968654768464,200
0.05,score_drift,0.004337355567375212,-0.0011815168934188602,0.0042717204080916366,0.010458389676869935,200
0.05,group_penalty_sd,0.32751900225030406,0.2725439319855499,0.2920574322598193,0.3908593497051495,200
0.05,pooled_penalty,0.38671884507065507,0.32437676939283855,0.38333645906238134,0.46054618711640394,200
0.05,upper_endpoint_saturation,0.10592750000000001,0.076975,0.10475,0.140025,200
0.05,clipping_score_reduction,0.003358929368081044,0.0024624402288467486,0.0033457098152702485,0.004220855772739784,200
0.05,taxonomy_allocation_l1,0.05620024660538563,0.03390185676911581,0.05057540154022838,0.0826180784189384,200
0.05,saturation_allocation_l1,0.0017178745617671754,7.34358667100574e-05,0.0015528155000247915,0.004192762150029856,200
0.05,guard_point_moment,0.1397442650031216,0.12719632609931716,0.145032383835617,0.150690530053579,200
0.05,same_cap_point_moment,0.2101581071587183,0.20368515022346334,0.21010966716536267,0.21626381668173095,200
0.05,matched_point_moment,0.1397442650031216,0.12719632609931716,0.145032383835617,0.150690530053579,200
0.05,matched_moment_residual,1.249000902703301e-18,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,200
0.05,guard_default,0.14463422828268951,0.105,0.145,0.18514896326854155,200
0.05,same_cap_default,0.217275,0.17475,0.22,0.26524999999999993,200
0.05,matched_default,0.1435422221925329,0.105,0.14,0.185,200
0.05,guard_minus_same_cap_default,-0.07264077171731048,-0.11499999999999999,-0.07499999999999998,-0.03058034670617199,200
0.05,guard_minus_matched_default,0.0010920060901566117,-0.024999999999999994,0.001049725834957417,0.03,200
0.05,guard_payoff,0.09839451389987289,0.07119104406652761,0.09841705496658223,0.1272837023009746,200
0.05,same_cap_payoff,0.10538712242571227,0.0711600416414568,0.10476196616049405,0.1359629350083059,200
0.05,matched_payoff,0.10073796630468211,0.07541992591372199,0.1012433356873204,0.12577906001765898,200
0.05,guard_minus_same_cap_payoff,-0.006992608525839388,-0.036026026126036705,-0.006133066021456003,0.022181902799529852,200
0.05,guard_minus_matched_payoff,-0.0023434524048092193,-0.020684994321451412,-0.0029028519603006495,0.014968773684487718,200
0.1,calibration_coverage,0.903385,0.903,0.9035,0.904,200
