learner,coverage_lower_min,coverage_upper_max,windows_with_upper_below_nominal,all_windows_upper_below_nominal,roc_auc,brier,log_loss,ece_10,calibration_slope
catboost_missing_indicators_platt,0.8455066465016318,0.8843322985486481,8,True,0.6436322403148622,0.12965175159650838,0.42810867198186225,0.04742800450704818,0.7913021921642017
catboost_native_missing_platt,0.8452837698002069,0.8800366154580912,8,True,0.6442620078596174,0.12953346396196225,0.4267357005890355,0.0457674296671821,0.8184948803074936
catboost_platt,0.8424845445620738,0.8825970442304121,8,True,0.6406052990079556,0.12987780627268664,0.42846570011698926,0.047215103762021676,0.7954274631320678
