learner,learner_label,window,window_id,taxonomy_groups,role,candidate_rows,resolved_rows,unresolved_rows,resolved_y0_rows,resolved_y1_rows,coverage_resolved,coverage_resolved_y0,coverage_resolved_y1,average_set_size,singleton_share,set_empty_share,set_zero_only_share,set_one_only_share,set_both_share,mean_width
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,376890,364814,12076,307842,56972,0.8770469335058413,0.9868666393799417,0.2836481078424489,1.1745787895672477,0.8004112605800101,0.01250497492637109,0.8004112605800101,0.0,0.18708376449361883,0.6649918872956118
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,376890,364814,12076,307842,56972,0.879165821487114,0.9869770856478324,0.29661939198202625,1.1839422643211548,0.791403327230757,0.012327204224044151,0.791403327230757,0.0,0.19626946854519886,0.6653409452353941
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,376890,364814,12076,307842,56972,0.8777349553471084,0.9851157411919101,0.29751456855999436,1.1826501101117037,0.7891772135105733,0.014086338188861472,0.7891772135105733,0.0,0.19673644830056516,0.6653200651843034
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,376890,364814,12076,307842,56972,0.8748732230670972,0.9836831881289753,0.2869304219616654,1.171156040223938,0.7980869749794369,0.015378492398312505,0.7980869749794369,0.0,0.18653453262225053,0.665031208384886
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,primary_oot,376890,364814,12076,307842,56972,0.87251311627295,0.9829977715841243,0.275521308713052,1.160824113136459,0.8071347077396588,0.01602058956194115,0.8071347077396588,0.0,0.17684470269840005,0.6647076525088492
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,primary_oot,376890,364814,12076,307842,56972,0.8721129123334083,0.9835987292182353,0.2697114371972197,1.1568282522751996,0.812271485048688,0.015450131338056197,0.812271485048688,0.0,0.17227838361325587,0.6645688455708322
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,primary_oot,376890,364814,12076,307842,56972,0.8694814343747773,0.9829815294859051,0.2561960261180931,1.1452253973307862,0.8226432115471358,0.01606569556103903,0.8226432115471358,0.0,0.1612910928918252,0.6641544351090524
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,primary_oot,376890,364814,12076,307842,56972,0.8658549288130389,0.9830562431377134,0.23257038545250297,1.128127570378625,0.8397357319111677,0.016068348855103613,0.8397357319111677,0.0,0.14419591923372868,0.5005686881638921
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,primary_oot,376890,364814,12076,307842,56972,0.8930578322103867,0.9910018775865541,0.36382784525731937,1.2308604632651436,0.7537504311602855,0.007694552787285415,0.7529942423518798,0.0007561888084056356,0.2385550160524291,0.7502982548753632
numeric_logistic_platt,Numeric logistic,W2,w02_2012m02_m07,5,primary_oot,376890,364814,12076,307842,56972,0.8921011803275094,0.9905470988364161,0.3601593765358422,1.2295497359972405,0.7542014911512643,0.008124386425747565,0.7534346891666003,0.0007668019846639603,0.23767412242298813,0.7500855689952323
