learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
catboost_platt,CatBoost,w03_2012m03_m08,1,2182,60520,58445,2075,132054640,0.0517108978525858,0.0687648536999532,0.0039197562463537,0.0042832724393478,6828664,9080718,517622,565626,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w03_2012m03_m08,2,2931,79865,77165,2700,234084315,0.0239451071294546,0.0577521565253101,0.0088930905088621,0.0246910050338058,5605174,13518874,2081733,5779777,directional_discrepancies_not_robustly_ordered,True
catboost_platt,CatBoost,w03_2012m03_m08,3,4018,79047,76495,2552,317610846,0.0299322020004316,0.061989079554292,0.0144441824256845,0.0267659656685653,9506792,19688404,4587629,8501161,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w03_2012m03_m08,4,4806,80235,77819,2416,385609410,0.0250332532082139,0.0544717775429806,0.0022713242397274,0.0062873828727364,9653058,21004830,875844,2424474,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w03_2012m03_m08,5,5112,77223,74890,2333,394763976,0.0536981976288535,0.0783098886409027,0.0034206768654088,0.0048969209895687,21198114,30913923,1350360,1933128,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w04_2012m04_m09,1,2320,60520,58445,2075,140406400,0.0626452925222781,0.0789209038904209,0.0026597078195865,0.0029953050573193,8795800,11081000,373440,420560,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w04_2012m04_m09,2,3199,79865,77165,2700,255488135,0.025262155520451,0.0590692049163065,0.0123598538147378,0.0300267094595214,6454181,15091481,3157796,7671468,directional_discrepancies_not_robustly_ordered,True
catboost_platt,CatBoost,w04_2012m04_m09,3,4511,79047,76495,2552,356581017,0.0347318685223223,0.0663080194198896,0.0126376918152095,0.0249594750580903,12384725,23644181,4506361,8900075,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w04_2012m04_m09,4,5643,80235,77819,2416,452766105,0.0264801690488734,0.0554044344816845,0.0038060247464858,0.008726518960601,11989323,25085250,1723239,3951072,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w04_2012m04_m09,5,6094,77223,74890,2333,470596962,0.0605076621807856,0.0860052470971965,0.0049523672870629,0.0064184668493461,28474722,40473808,2330569,3020511,larger_target_residual_discrepancy_dominates,True
