period,n,default_rate,coverage_90,miscoverage_90,mean_width_90,cumulative_coverage_90,aci_alpha_target_before
2018Q1,53924,0.2329945849714413,0.9250241080038573,0.07497589199614274,0.7715862681573208,0.9250241080038573,0.09999999999999998
2018Q2,56915,0.2556268119125011,0.923289115347448,0.07671088465255205,0.7755167800328171,0.9241332022122177,0.10125120540019283
2018Q3,47168,0.23289094301221167,0.9275144165535957,0.07248558344640432,0.7622986411754243,0.9251425569753239,0.10241566116756523
2018Q4,39171,0.23305506624798958,0.9225192106405249,0.07748078935947511,0.7638591783558729,0.9246214080678372,0.10379138199524501
2019Q1,27508,0.21241093500072705,0.9273665842663952,0.07263341573360482,0.7597500310271217,0.924957496239196,0.10491734252727125
2019Q2,22737,0.20191757927606985,0.9309055724150064,0.06909442758499362,0.7498006989607373,0.9255040962238757,0.106285671740591
2019Q3,16603,0.1451544901523821,0.950129494669638,0.04987050533036197,0.750793621836384,0.9270526387552741,0.10783095036134133
2019Q4,8557,0.08425850181138249,0.9682131588173425,0.03178684118265751,0.7624737976874291,0.9283447610452596,0.11033742509482322
2020Q1,2977,0.0141081625797783,0.9919381928115553,0.008061807188444736,0.7472963733292841,0.9290317898098418,0.11374808303569034
2020Q2,824,0.01820388349514563,0.991504854368932,0.008495145631068013,0.5992341301418823,0.9292180444598819,0.11834499267626811
2020Q3,485,0.002061855670103093,0.9979381443298969,0.0020618556701030855,0.6029602945194906,0.9293384235866059,0.12292023539471471
