metric,mean,p025,p50,p975,n_draws,seed
funded_set_repriced_return_lgd45,170419.55223704115,156983.42344461416,170533.30250572477,183067.45472611694,2000,20260504
weighted_default_rate,0.03310061878480035,0.017214333050758177,0.032668113348223914,0.05091464028902797,2000,20260504
weighted_miscoverage_V,0.029099965038687333,0.014771209412831382,0.02858356748567313,0.04643479932888698,2000,20260504
n_default_loans,19.0085,11.0,19.0,28.0,2000,20260504
n_miscovered_loans,17.01,10.0,17.0,25.0,2000,20260504
