window_id,role,frontier_ruler,frontier_coordinate,gamma,candidate_id,selected_positions,funded_dollars,committed_capital_usd,cash_residual_usd,resolved_positions,unresolved_positions,empty_set_positions,full_set_positions,singleton_zero_positions,singleton_one_positions,count_selected_fcp_lower,count_selected_fcp_upper,count_selected_coverage_lower,count_selected_coverage_upper,invested_dollar_selected_fcp_lower,invested_dollar_selected_fcp_upper,invested_dollar_selected_coverage_lower,invested_dollar_selected_coverage_upper,fixed_capital_decision_fcp_lower,fixed_capital_decision_fcp_upper,fixed_capital_decision_coverage_lower,fixed_capital_decision_coverage_upper,count_selected_minus_invested_dollar_selected_fcp_lower,count_selected_minus_invested_dollar_selected_fcp_upper,count_selected_minus_invested_dollar_selected_coverage_lower,count_selected_minus_invested_dollar_selected_coverage_upper,count_selected_minus_fixed_capital_decision_fcp_lower,count_selected_minus_fixed_capital_decision_fcp_upper,count_selected_minus_fixed_capital_decision_coverage_lower,count_selected_minus_fixed_capital_decision_coverage_upper,sharpness,periods
w01_2012m01_m06,primary_oot,normalized_score,0.25,0.0,normalized_score_g000_c025,1528,14999625.0,15000000.0,375.0,1483,45,10,1,1517,0,0.16295811518324607,0.19240837696335078,0.8075916230366492,0.8370418848167539,0.19494487362184054,0.23313749510404427,0.7668625048959558,0.8050551263781595,0.19494,0.23313166666666665,0.7668683333333334,0.80506,-0.04632460270494544,-0.026391273874342484,0.026391273874342484,0.04632460270494544,-0.04631896160558463,-0.026386212914485157,0.026386212914485157,0.04631896160558463,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.25,1.0,normalized_score_g100_c025,1437,14999575.0,15000000.0,425.0,1399,38,43,33,1361,0,0.26374391092553934,0.28879610299234515,0.7112038970076549,0.7362560890744607,0.3052069808644578,0.33114104899638824,0.6688589510036118,0.6947930191355423,0.30519833333333335,0.33113166666666666,0.6688683333333334,0.6948016666666667,-0.04858269522925278,-0.03522532071370878,0.03522532071370878,0.04858269522925278,-0.04857356993736951,-0.03521641614474598,0.03521641614474598,0.04857356993736951,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.5,0.0,normalized_score_g000_c050,1482,14999625.0,15000000.0,375.0,1447,35,20,25,1437,0,0.22874493927125505,0.252361673414305,0.747638326585695,0.771255060728745,0.2838370959273982,0.3073943515254548,0.6926056484745452,0.7161629040726019,0.28383,0.30738666666666664,0.6926133333333333,0.71617,-0.06108534292304678,-0.04903949184424619,0.04903949184424619,0.06108534292304678,-0.06107789473684212,-0.04903215924426453,0.04903215924426453,0.06107789473684212,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.5,1.0,normalized_score_g100_c050,1439,14999600.0,15000000.0,400.0,1402,37,32,76,1331,0,0.27032661570535094,0.2946490618485059,0.7053509381514941,0.729673384294649,0.31360336275634015,0.3384156910850956,0.6615843089149044,0.6863966372436598,0.313595,0.3384066666666667,0.6615933333333333,0.6864049999999999,-0.050396459726764826,-0.036646916560814105,0.036646916560814105,0.050396459726764826,-0.05038766620338198,-0.03663832290942785,0.03663832290942785,0.05038766620338198,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.75,0.0,normalized_score_g000_c075,1461,14999600.0,15000000.0,400.0,1428,33,12,90,1359,0,0.26078028747433263,0.28336755646817247,0.7166324435318275,0.7392197125256674,0.3103749433318222,0.3299737993013147,0.6700262006986852,0.6896250566681779,0.3103666666666667,0.329965,0.6700349999999999,0.6896333333333333,-0.05400477346062562,-0.04219612523000614,0.04219612523000614,0.05400477346062562,-0.053996214921286805,-0.042187607802874755,0.042187607802874755,0.053996214921286805,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,normalized_score,0.75,1.0,normalized_score_g100_c075,1445,14999600.0,15000000.0,400.0,1408,37,19,117,1309,0,0.2782006920415225,0.30311418685121105,0.696885813148789,0.7217993079584775,0.3223335955625483,0.34475419344515856,0.6552458065548414,0.6776664044374516,0.322325,0.344745,0.6552549999999999,0.677675,-0.05018081105000172,-0.03559209906497161,0.03559209906497161,0.05018081105000172,-0.050171851211072684,-0.03558326989619379,0.03558326989619379,0.050171851211072684,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.25,0.0,objective_matched_g000_c025,1559,14999625.0,15000000.0,375.0,1508,51,1,0,1558,0,0.07376523412443874,0.10647851186658114,0.8935214881334188,0.9262347658755613,0.0899955832229139,0.12474311857796445,0.8752568814220355,0.9100044167770861,0.08999333333333333,0.12474,0.87526,0.9100066666666666,-0.025958160179148808,-0.008536795630709675,0.008536795630709675,0.025958160179148808,-0.025955282232200137,-0.008534305110113329,0.008534305110113329,0.025955282232200137,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.25,1.0,objective_matched_g100_c025,1560,14999625.0,15000000.0,375.0,1510,50,1,0,1559,0,0.07307692307692308,0.10512820512820513,0.8948717948717949,0.926923076923077,0.09126228155703893,0.12467645024458945,0.8753235497554106,0.908737718442961,0.09126,0.12467333333333333,0.8753266666666667,0.90874,-0.027230696793060852,-0.010502906803439318,0.010502906803439318,0.027230696793060852,-0.027227820512820515,-0.010500384615384618,0.010500384615384618,0.027227820512820515,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.5,0.0,objective_matched_g000_c050,1504,14999625.0,15000000.0,375.0,1452,52,4,0,1500,0,0.1276595744680851,0.1622340425531915,0.8377659574468085,0.8723404255319149,0.15017708776052735,0.19265148295374052,0.8073485170462595,0.8498229122394727,0.15017333333333333,0.19264666666666666,0.8073533333333334,0.8498266666666667,-0.037734548195265165,-0.015200405497726097,0.015200405497726097,0.037734548195265165,-0.037729964539007094,-0.015196418439716315,0.015196418439716315,0.037729964539007094,cellwise_shared_binary_completion,15
w01_2012m01_m06,primary_oot,objective_matched,0.5,1.0,objective_matched_g100_c050,1520,14999625.0,15000000.0,375.0,1469,51,14,0,1506,0,0.1361842105263158,0.16973684210526316,0.8302631578947368,0.8638157894736842,0.1647157845612807,0.20469345066960007,0.7953065493303999,0.8352842154387193,0.16471166666666667,0.20468833333333333,0.7953116666666666,0.8352883333333333,-0.043356654091790896,-0.02013152850751094,0.02013152850751094,0.043356654091790896,-0.04335175438596492,-0.020127192982456146,0.020127192982456146,0.04335175438596492,cellwise_shared_binary_completion,15
