learner_order,learner,learner_label,candidate_rows,resolved_rows,unresolved_outcomes,mean_score,outcome_mean_lower,outcome_mean_upper,marginal_mean_score_outcome_gap_lower,marginal_mean_score_outcome_gap_upper,identification_width,identified_grid_points,identified_grid_step,joint_endpoint_attainment
1,catboost_platt,CatBoost,376890,364814,12076,0.1089678149254112,0.1511634694473188,0.1832046485712011,-0.0742368336457899,-0.0421956545219076,0.0320411791238823,12077,2.6532940645811774e-06,True
2,numeric_logistic_platt,Numeric logistic,376890,364814,12076,0.1272298634588312,0.1511634694473188,0.1832046485712011,-0.0559747851123698,-0.0239336059884875,0.0320411791238823,12077,2.6532940645811774e-06,True
3,catboost_monotonic_platt,Monotonic CatBoost,376890,364814,12076,0.1148307302891225,0.1511634694473188,0.1832046485712011,-0.0683739182820785,-0.0363327391581962,0.0320411791238823,12077,2.6532940645811774e-06,True
4,woe_scorecard_platform_platt,Platform-signal WOE scorecard,376890,364814,12076,0.1205898335784216,0.1511634694473188,0.1832046485712011,-0.0626148149927795,-0.0305736358688972,0.0320411791238823,12077,2.6532940645811774e-06,True
5,woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,376890,364814,12076,0.1264022906033463,0.1511634694473188,0.1832046485712011,-0.0568023579678547,-0.0247611788439724,0.0320411791238823,12077,2.6532940645811774e-06,True
