policy,policy_mode,gamma,risk_tolerance,uncertainty_aversion,price_of_robustness,price_of_robustness_pct,realized_total_return,ab_diff_total_return,ab_pass,solver_backend,n_funded,total_allocated,expected_return_net_point,worst_case_pd,point_pd,alpha01_exact_pass,alpha01_gamma_cp,alpha01_weighted_miscoverage_V,alpha01_violation,alpha03_exact_pass,alpha10_exact_pass,selected_for_champion,selected_for_theorem_tight,selected_for_balanced
robust,blended_uncertainty,0.5,0.17,0.1,-12133.33474194113,-8.921203884380372,167226.8353415202,14795.25186218854,True,cuopt,346.0,1000000.0,148138.9108850386,0.25266355120770445,0.08733644879209379,True,0.164424,0.03545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.17,0.05,-12151.825942888361,-8.934799798218227,167124.6310620346,14693.047582702944,True,cuopt,346.0,1000000.0,148157.40208598584,0.2529317633854595,0.08706823661335455,True,0.165827,0.04545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.17,0.1,-10257.665558706096,-7.542091912347866,167069.47757462133,14637.894095289666,True,cuopt,337.0,999999.9999999999,146263.24170180358,0.23853506659477797,0.08623491860617541,True,0.1533,0.03905,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.155,0.1,-14748.365140764072,-11.206245171857809,167067.29591823329,34500.282368613756,True,cuopt,342.0,999999.9999999999,146356.81127479573,0.23930627565903503,0.0860221380964418,True,0.155394,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.17,0.05,-10276.704524830857,-7.556090578185354,166969.46159398026,14537.8781146486,True,cuopt,343.0,1000000.0000000001,146282.28066792834,0.23875153013511619,0.08597035205780705,True,0.154754,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.165,0.05,-12148.213126365968,-9.012663590680416,166777.3884430658,19123.81538785904,True,cuopt,346.0,1000000.0000000002,146938.69991251157,0.24370909205135205,0.08629090794747234,True,0.158941,0.043789,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.155,0.0,-14787.53593831166,-11.236008305378432,166621.64409318674,34054.63054356721,True,cuopt,345.0,999999.9999999999,146395.98207234332,0.24038478207839598,0.08513972375383896,True,0.157534,0.041775,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.175,0.05,-14513.649731709185,-10.592777679038143,166574.19464587132,8587.919487572944,True,cuopt,344.0,999999.9999999999,151528.2286397897,0.2790948399861281,0.08983149455653741,True,0.186841,0.03645,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.16,0.1,-14411.25864842764,-10.811744546113133,166559.14303245154,21758.862618799933,True,cuopt,347.0,1000000.0,147703.8885922273,0.24943308414271972,0.08682747660999812,True,0.162785,0.04545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.17,0.0,-12156.738553974836,-8.938411864153869,166313.57843638843,13881.99495705677,True,cuopt,347.0,1000000.0,148162.31469707232,0.2532255527998906,0.08677444719839347,True,0.16677,0.04545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.175,0.1,-10392.606222081755,-7.585036793039396,166269.82231927008,8283.547160971706,True,cuopt,342.0,1000000.0,147407.18513016228,0.2471343369287877,0.0868358104201527,True,0.159714,0.030034,0.0,True,True,False,True,False
robust,blended_uncertainty,0.5,0.16,0.1,-12402.551349831308,-9.304754025010658,166244.65010111933,21444.369687467726,True,cuopt,342.0,1000000.0,145695.18129363097,0.23433567487215246,0.08566432512766618,True,0.150881,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.175,0.0,-14515.827324572805,-10.594366993752647,166210.47853140024,8224.20337310186,True,cuopt,346.0,1000000.0,151530.40623265333,0.2792592227681256,0.08969699955268116,True,0.187564,0.03525,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.175,0.05,-10408.347777239687,-7.5965257566834605,166186.4620978511,8200.186939552717,True,cuopt,345.0,1000000.0,147422.9266853202,0.24731452197754814,0.08661558424998189,True,0.161059,0.045084,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.16,0.05,-14420.496851152246,-10.818675313949608,165829.33653326883,21029.05611961722,True,cuopt,348.0,999999.9999999999,147713.1267949519,0.24959310626598008,0.08669654941839533,True,0.164313,0.045805,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.16,0.0,-14434.044018821965,-10.828838792361978,165590.76458837948,20790.48417472787,True,cuopt,348.0,999999.9999999998,147726.67396262163,0.25027787422539055,0.08613628472382011,True,0.165085,0.048175,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.165,0.05,-10348.994066454761,-7.677837147956425,165547.8905382124,17894.317483005638,True,cuopt,344.0,999999.9999999999,145139.48085260036,0.2301674778447985,0.08535086041238572,True,0.147556,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.16,0.05,-12408.39235233987,-9.309136114636303,165517.85855195278,20717.578138301178,True,cuopt,345.0,1000000.0,145701.02229613953,0.2344442805413184,0.08555571945727714,True,0.152083,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.165,0.1,-10333.381747401087,-7.666254491475385,165504.23210778716,17850.65905258039,True,cuopt,342.0,1000000.0,145123.8685335467,0.23000365172805856,0.08555109233230948,True,0.146459,0.040975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.165,0.0,-12159.519852612342,-9.021051961785737,165401.62753483138,17748.05447962461,True,cuopt,344.0,1000000.0,146950.00663875794,0.24422853689647142,0.08577146310229963,True,0.159886,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.175,0.0,-10411.372058344947,-7.598733026252392,165375.90860423315,7389.633445934771,True,cuopt,346.0,1000000.0,147425.95096642547,0.24755055429596687,0.08632710030615288,True,0.161873,0.047375,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.155,0.1,-12845.075241415616,-9.760069067479478,164689.02196237698,32122.008412757452,True,cuopt,344.0,999999.9999999999,144453.52137544728,0.22503338202895873,0.08496661797086986,True,0.143365,0.042926,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.16,0.05,-10701.869939097174,-8.028853465888645,164273.35080211036,19473.070388458756,True,cuopt,342.0,1000000.0,143994.49988289684,0.22165709693969743,0.08464132596281104,True,0.140719,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.155,0.05,-14773.489981279447,-11.22533577071618,164022.0917987445,31455.078249124985,True,cuopt,348.0,999999.9999999999,146381.9361153111,0.23977498147691736,0.0856386515186552,True,0.156642,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.155,0.05,-12853.448149008997,-9.766431050953388,163947.7110439952,31380.697494375665,True,cuopt,345.0,1000000.0,144461.89428304066,0.22517987941902998,0.08482012057981408,True,0.144086,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.17,0.0,-10282.090018486138,-7.560050337636374,163897.7680059752,11466.184526643541,True,cuopt,349.0,999999.9999999999,146287.66616158362,0.23907756482945905,0.08557186520967344,True,0.155326,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.16,0.0,-10713.64960754296,-8.037690915078946,163847.98926196393,19047.708848312323,True,cuopt,349.0,1000000.0000000002,144006.27955134262,0.22214404776091554,0.08404616384876211,True,0.141562,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.16,0.0,-12424.03335691936,-9.320870450275091,163748.62808782174,18948.34767417013,True,cuopt,347.0,999999.9999999999,145716.66330071902,0.23516110602633442,0.08483889397125449,True,0.152638,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.165,0.0,-10357.478101573186,-7.684131386756691,163116.36710524172,15462.79405003495,True,cuopt,351.0,1000000.0,145147.9648877188,0.23058123274232972,0.08484515998284263,True,0.148401,0.042975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.155,0.05,-11217.34300257705,-8.523269844754445,162753.66070085138,30186.647151231853,True,cuopt,341.0,999999.9999999999,142825.7891366087,0.2129828926110501,0.08413202014267733,True,0.134188,0.040015,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.16,0.1,-10684.707805921702,-8.015977935424146,162351.17715355012,17550.89673989851,True,cuopt,342.0,1000000.0,143977.33774972137,0.22144087835648504,0.08490559311953448,True,0.139696,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.155,0.0,-11236.50868762299,-8.53783250057843,162326.28515545817,29759.271605838643,True,cuopt,347.0,1000000.0000000001,142844.95482165465,0.21379478575782646,0.0831397062972579,True,0.13543,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.155,0.0,-12873.423328339268,-9.781608784538797,162164.37781018534,29597.36426056581,True,cuopt,352.0,999999.9999999999,144481.86946237093,0.2259376758919054,0.08406232410617016,True,0.145103,0.041975,0.0,True,True,False,False,False
robust,blended_uncertainty,0.55,0.155,0.1,-11195.04788964914,-8.50632935682783,160978.00154814168,28410.98799852215,True,cuopt,344.0,999999.9999999999,142803.4940236808,0.2127123908645434,0.08446263338760626,True,0.133529,0.038975,0.0,True,True,False,False,False
