policy,policy_mode,gamma,risk_tolerance,uncertainty_aversion,price_of_robustness,price_of_robustness_pct,realized_total_return,ab_diff_total_return,ab_pass,solver_backend,n_funded,total_allocated,expected_return_net_point,worst_case_pd,point_pd,alpha01_exact_pass,alpha01_gamma_cp,alpha01_weighted_miscoverage_V,alpha01_violation,alpha03_exact_pass,alpha10_exact_pass,selected_for_champion,selected_for_theorem_tight,selected_for_balanced
robust,blended_uncertainty,0.45,0.175,0.1,-14465.688162534818,-10.557772959426375,170464.5429284627,12478.267770164326,True,cuopt,340.0,1000000.0,151480.26707061534,0.27839279334831907,0.09040589635068147,True,0.18591,0.03645,0.0,True,True,True,False,False
robust,blended_uncertainty,0.45,0.17,0.1,-14258.848529110983,-10.484017592046209,169389.5810115051,16957.99753217344,True,cuopt,343.0,999999.9999999998,150264.42467220846,0.26890348833698485,0.08907896408723674,True,0.177578,0.03545,0.0,True,True,False,False,True
robust,blended_uncertainty,0.45,0.17,0.05,-14269.866187765205,-10.492118479499933,169337.1631898248,16905.579710493126,True,cuopt,345.0,1000000.0000000001,150275.4423308627,0.2690757822341818,0.08893799635316015,True,0.179102,0.03545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.17,0.0,-14275.937787511648,-10.4965827080401,169262.37545367464,16830.79197434298,True,cuopt,343.0,1000000.0000000001,150281.51393060913,0.2692954001835665,0.08875830894005676,True,0.180169,0.04425,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.175,0.05,-12324.907162874413,-8.995325359539232,168801.31532762162,10815.040169323242,True,cuopt,343.0,1000000.0,149339.48607095494,0.2618326516507445,0.08816734834805984,True,0.172713,0.038067,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.175,0.0,-12331.324519848917,-9.00000906329222,168669.5041537059,10683.228995407524,True,cuopt,345.0,1000000.0000000001,149345.90342792944,0.2621398261628266,0.08786017383497088,True,0.173656,0.042149,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.165,0.1,-14200.403450049984,-10.535167420586996,168365.23091736945,20711.657862162683,True,cuopt,343.0,1000000.0000000002,148990.89023619558,0.2591441975315651,0.08797292929140942,True,0.17018,0.040431,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.165,0.05,-14224.763605168147,-10.553240027711439,168244.12224854622,20590.54919333945,True,cuopt,347.0,1000000.0,149015.25039131375,0.25953929804149073,0.08764966523820661,True,0.171708,0.04545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.175,0.1,-12309.763607295143,-8.98427284549303,168128.1097153701,10141.834557071736,True,cuopt,344.0,1000000.0,149324.34251537567,0.26163523399953165,0.08836476599989924,True,0.171845,0.03545,0.0,True,True,False,False,False
robust,blended_uncertainty,0.5,0.165,0.1,-12143.561106142035,-9.00921229353414,167692.389704731,20038.816649524233,True,cuopt,344.0,1000000.0000000001,146934.04789228764,0.2436332445876195,0.08636675541195045,True,0.157538,0.03905,0.0,True,True,False,False,False
robust,blended_uncertainty,0.45,0.165,0.0,-14228.919483448088,-10.556323241059056,167494.8582103625,19841.285155155725,True,cuopt,348.0,1000000.0,149019.4062695937,0.2597284978137106,0.08749486542384319,True,0.172774,0.04425,0.0,True,True,False,False,False
