candidate_id,guardrail_risk_tolerance,gamma,matched_point_pd_mean,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_guardrail_worse,default_guardrail_worse,miscoverage_guardrail_worse
linear-001,0.15,0.25,0.0641786891574629,-3546.1962048001587,-366127.3281659759,-126704.21316597592,0.0162346291130152,0.0417296291130152,0.0244986670551051,0.0473270003884385,True,True,True
linear-002,0.15,0.5,0.0554177379887751,-46636.01983826608,-313482.2254743564,-8523.47797435637,0.0014375237504067,0.0344591904170734,0.0296881459412096,0.0600431459412096,True,True,True
linear-003,0.15,0.75,0.0520092862378735,-71961.7128510843,-244550.15912551517,71531.35337448485,-0.008675032521565,0.0259316341451016,0.0249204714575714,0.0568604714575714,False,False,True
linear-004,0.17,0.25,0.0683133989321731,8479.178169439547,-506587.0338402599,-295967.16648832813,0.0344307288414278,0.0562870221891162,0.0270932625502525,0.0462828892312742,True,True,True
linear-005,0.17,0.5,0.0577728133475923,-36486.11564615602,-315590.33536404074,-17745.285364040756,0.0033685881036168,0.0354752547702835,0.0252764849145556,0.0547164849145556,True,True,True
linear-006,0.17,0.75,0.0539660546253174,-67041.92391438177,-282762.3677732339,35275.973732927814,-0.0049088018104675,0.0296658475515816,0.0280411981895324,0.0599491808849149,False,False,True
linear-007,0.19,0.25,0.073419042643932,9741.229734003544,-480432.8273410896,-258401.70082144177,0.0313909529274171,0.0534702422079281,0.0203582004023822,0.0390174896828932,True,True,True
linear-008,0.19,0.5,0.0602518049341652,-29079.37379539199,-360963.11192707246,-67709.66692707245,0.008378640776215,0.0397819741095483,0.0275219741095483,0.056258640776215,True,True,True
linear-009,0.19,0.75,0.0554977892647574,-56765.05310709216,-323988.61202840786,-14941.77452840787,0.0008011703035504,0.0342961703035504,0.0343709403333272,0.0651992736666606,True,True,True
