block,rows,resolved_rows,unresolved_rows,coverage_lower,coverage_upper,mean_interval_width,lower_zero_share,upper_one_share
conformal_fit_2012H1,14967,14967,0,0.9004476514999666,0.9004476514999666,0.8138168743800023,0.9911137836573796,0.22275673147591368
primary_oot_2016-04_to_2017-06,376890,365504,11386,0.8549231871368304,0.8796916872296957,0.7365642042011763,0.9884581708190718,0.18076627132585105
extension_2017-07_to_2017-09,88227,59511,28716,0.6268035862037697,0.8925385652918041,0.7290536153616837,0.9879855373071735,0.17953687646638783
