policy,months,total_budget,expected_objective,expected_payoff_rate,realized_payoff_lower,realized_payoff_upper,realized_payoff_rate_lower,realized_payoff_rate_upper,weighted_default_lower,weighted_default_upper,weighted_miscoverage_lower,weighted_miscoverage_upper,coverage_lower,coverage_upper,unresolved_exposure_share
Conformal guardrail,15,15000000.0,2383112.2286276123,0.15887414857517415,-2389.9049780131754,168250.04325288115,-0.0001593269985342117,0.011216669550192076,0.2927751653847958,0.3103219054048785,0.2947084987181292,0.3095885720715451,0.6904114279284549,0.7052915012818708,0.017546740020082635
"Point PD, matched tau",15,15000000.0,2624090.007250436,0.17493933381669574,177108.52499999997,369495.74,0.011807234999999998,0.024633049333333334,0.32603666666666664,0.34342833333333334,0.27536000000000005,0.290265,0.709735,0.72464,0.017391666666666666
"Point PD, development-selected tau",15,15000000.0,2624090.007250436,0.17493933381669574,177108.52499999997,369495.74,0.011807234999999998,0.024633049333333334,0.32603666666666664,0.34342833333333334,0.27536000000000005,0.290265,0.709735,0.72464,0.017391666666666666
