taxonomy_groups,design_split,rows,resolved_rows,unresolved_rows,resolved_empirical_coverage,all_candidate_coverage_lower,all_candidate_coverage_upper,mean_interval_width,upper_endpoint_one_share
1,censored_extension,88227,59502,28725,0.843265772579073,0.605812279687624,0.8942953971006607,0.9232541676425992,0.11844446711324198
1,policy_development,28503,28503,0,0.9017296424937726,0.9017296424937726,0.9017296424937726,0.9387867347111776,0.1683331579132021
1,primary_oot,376890,365339,11551,0.8765420609351862,0.8530287351747194,0.8803258245111306,0.9249354645085559,0.12490116479609435
2,censored_extension,88227,59502,28725,0.8482740075963833,0.6218617883414375,0.8949867954254367,0.5727471195360629,0.15863624514037653
2,policy_development,28503,28503,0,0.9045714486194436,0.9045714486194436,0.9045714486194436,0.6956762490149276,0.22843209486720695
2,primary_oot,376890,365339,11551,0.8784033459335029,0.8559287855873067,0.8818196290694897,0.5835631345329754,0.16496059858314097
5,censored_extension,88227,59502,28725,0.8462068501899096,0.6271436181667743,0.891858501365795,0.6516495376153871,0.1809310075147064
5,policy_development,28503,28503,0,0.9033785917271866,0.9033785917271866,0.9033785917271866,0.7757213476254667,0.2379047819527769
5,primary_oot,376890,365339,11551,0.8763121374942177,0.8547135769057285,0.8796465812305978,0.6649918872956118,0.18708376449361883
10,censored_extension,88227,59502,28725,0.8494840509562704,0.6353950604690175,0.8943407346957281,0.6525289950067259,0.1983859816156052
10,policy_development,28503,28503,0,0.9054836333017577,0.9054836333017577,0.9054836333017577,0.7783378012394392,0.2578675928849595
10,primary_oot,376890,365339,11551,0.878614109087724,0.8574040170872138,0.8819416805964605,0.6660719075700708,0.20341478946111596
