selected,eligible,audit_selected,audit_eligible,candidate_id,risk_tolerance,gamma,expected_objective,n_funded,weighted_pd_point,weighted_pd_effective,endpoint_budget,audit_expected_objective,audit_n_funded,audit_endpoint_budget
True,True,True,True,linear-005,0.17,0.5,99387.12330098984,162,0.08096395060564901,0.17,0.25903604939435104,103567.0099590662,193,0.2620820323280323
False,True,False,True,linear-009,0.19,0.75,96446.15634571345,165,0.07983135268116329,0.19,0.22672288243961225,100439.75691860713,192,0.22857742256378005
False,True,False,True,linear-002,0.15,0.5,95995.21888305439,166,0.07391185908208518,0.15000000000000002,0.2260881409179148,100253.3313725306,190,0.22769467893384143
False,True,False,True,linear-006,0.17,0.75,93760.12764708955,168,0.0732219020269643,0.17,0.20225936599101194,97897.74942687502,191,0.2035038230017554
False,True,False,True,linear-003,0.15,0.75,90893.16015692815,167,0.06715742012587558,0.15,0.17761419329137482,95103.61442940257,186,0.17820330775871246
False,False,False,False,linear-007,0.19,0.25,113986.45107415256,170,0.11259889470623649,0.19,0.42220331588129056,118537.51039714873,194,0.4463778904768255
False,False,False,False,linear-004,0.17,0.25,109885.56215750676,166,0.10163175926165047,0.16999999999999998,0.3751047222150486,114373.21276113224,196,0.396751177625259
False,False,False,False,linear-001,0.15,0.25,105398.22903742193,166,0.09052889811149456,0.15,0.3284133056655163,109967.55921988936,194,0.34350244765822646
False,False,False,False,linear-008,0.19,0.5,102671.8741997059,163,0.08950921111283665,0.19,0.29049078888716334,106734.80147640246,191,0.29486067740758526
