paired_policy_id,comparator_rule,comparator,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,undiscounted_snapshot_cash_yield_difference,payoff_direction,default_direction,miscoverage_direction
linear-009,c1_development_fixed,C1: fixed development cap,-208372.87489608856,-62724.422431310624,0.001978398910404951,0.016520497125719923,0.011728200355666935,0.02468363190431524,-0.008237022717656917,negative,positive,positive
linear-001,c2_contemporaneous,C2: contemporaneous funded-PD match,-7379.684954467528,89593.94357943264,-0.009345582406563115,0.0003467379881095863,-0.0017304274889925666,0.006761892905680135,0.0015905933587840246,indeterminate,indeterminate,indeterminate
linear-002,c2_contemporaneous,C2: contemporaneous funded-PD match,-170958.0506816462,-23355.645278734082,-0.0016769603556563324,0.013084381733902884,0.007470194538271021,0.02064486996116357,-0.004716107435517855,negative,indeterminate,positive
linear-003,c2_contemporaneous,C2: contemporaneous funded-PD match,-195811.88184517133,-26690.686845171324,-0.0021584886029494196,0.01508651139705058,0.01210367712875568,0.027095343795422347,-0.006467524823130753,negative,indeterminate,positive
linear-004,c2_contemporaneous,C2: contemporaneous funded-PD match,-45995.41979403753,7034.364639026142,-0.0015181158115019997,0.003815942541720797,0.001486924645727316,0.005620982998950114,0.005680310888014434,indeterminate,indeterminate,positive
linear-005,c2_contemporaneous,C2: contemporaneous funded-PD match,-135905.18562966606,-6936.449301627916,-0.0031702467880402024,0.009673112851249166,0.006988479034400092,0.018245172007022793,-0.005609262380946493,negative,indeterminate,positive
linear-006,c2_contemporaneous,C2: contemporaneous funded-PD match,-182723.41445994013,-30426.929933036823,-0.0011389612644556926,0.014268016844768722,0.011468052089149555,0.025099381976590555,-0.00693587761403109,negative,indeterminate,positive
linear-007,c2_contemporaneous,C2: contemporaneous funded-PD match,-43302.66153504162,-3211.23403504162,-0.0008452451667670859,0.0030080881665662494,3.319136982313578e-05,0.00310152470315647,0.0005103002290421724,negative,indeterminate,positive
linear-008,c2_contemporaneous,C2: contemporaneous funded-PD match,-157069.75348556685,-25322.43860323287,-0.0005188772361298466,0.012567045371529268,0.007330023613209583,0.01882927955420203,-0.005092064824513194,negative,indeterminate,positive
linear-009,c2_contemporaneous,C2: contemporaneous funded-PD match,-218918.9543599012,-74357.55685990123,0.0028877932856407086,0.017311126618974042,0.013609654496699496,0.026446321163366163,-0.008361375481858481,negative,positive,positive
