origin,window_index,window_id,paired_policy_id,scope,metric,lower,upper,direction,evaluated_comparators,nested_scope_independent_replications
2016,1,w01_2012m01_m06,linear-001,broad_stress_exact_frontier,funded_miscoverage,-0.008450152893950957,0.057053768771247904,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-002,broad_stress_exact_frontier,funded_miscoverage,-0.016523710844555006,0.048980210820643855,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-003,broad_stress_exact_frontier,funded_miscoverage,-0.006267177255777412,0.05923674440942145,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-004,broad_stress_exact_frontier,funded_miscoverage,-0.013531417736900198,0.05197250392829866,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-005,broad_stress_exact_frontier,funded_miscoverage,-0.006262958483492231,0.05924096318170663,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-006,broad_stress_exact_frontier,funded_miscoverage,-0.007821502102337952,0.05768241956286091,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-007,broad_stress_exact_frontier,funded_miscoverage,-0.014445629533451354,0.05105829213174751,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-008,broad_stress_exact_frontier,funded_miscoverage,-0.011689378223946834,0.05381454344125203,crosses_zero,3067,False
2016,1,w01_2012m01_m06,linear-009,broad_stress_exact_frontier,funded_miscoverage,-0.014921300266654336,0.050582621398544525,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-001,broad_stress_exact_frontier,funded_miscoverage,-0.008450152893950957,0.057053768771247904,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-002,broad_stress_exact_frontier,funded_miscoverage,-0.016475184874372883,0.04902873679082598,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-003,broad_stress_exact_frontier,funded_miscoverage,-0.00623285802915452,0.05927106363604434,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-004,broad_stress_exact_frontier,funded_miscoverage,-0.013599706063595451,0.05190421560160341,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-005,broad_stress_exact_frontier,funded_miscoverage,-0.006240541934162236,0.059263379731036625,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-006,broad_stress_exact_frontier,funded_miscoverage,-0.007860642272163543,0.05764327939303532,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-007,broad_stress_exact_frontier,funded_miscoverage,-0.014673779341446092,0.05083014232375277,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-008,broad_stress_exact_frontier,funded_miscoverage,-0.011041940037026465,0.054461981628172396,crosses_zero,3067,False
2016,2,w02_2012m02_m07,linear-009,broad_stress_exact_frontier,funded_miscoverage,-0.014870951386263986,0.050632970278934875,crosses_zero,3067,False
2016,3,w03_2012m03_m08,linear-001,broad_stress_exact_frontier,funded_miscoverage,-0.006616151737890763,0.057053768771247904,crosses_zero,3067,False
2016,3,w03_2012m03_m08,linear-002,broad_stress_exact_frontier,funded_miscoverage,-0.01466972447823911,0.04900019603089956,crosses_zero,3067,False
2016,3,w03_2012m03_m08,linear-003,broad_stress_exact_frontier,funded_miscoverage,-0.0044386533946227935,0.05923126711451587,crosses_zero,3067,False
2016,3,w03_2012m03_m08,linear-004,broad_stress_exact_frontier,funded_miscoverage,-0.011730041904200517,0.05193987860493815,crosses_zero,3067,False
2016,3,w03_2012m03_m08,linear-005,broad_stress_exact_frontier,funded_miscoverage,-0.004811981973652846,0.05885793853548582,crosses_zero,3067,False
