scope,paired_policy_id,metric,lower,upper,sign,record_count
broad_stress,linear-001,funded_miscoverage,-0.030953765636106207,0.07350522996773667,indeterminate,32
broad_stress,linear-001,realized_payoff,-334319.5981752311,357333.4511922891,indeterminate,32
broad_stress,linear-001,terminal_default,-0.0696770869037403,0.07491022996773668,indeterminate,32
broad_stress,linear-002,funded_miscoverage,-0.04656399322062577,0.0603532042090902,indeterminate,32
broad_stress,linear-002,realized_payoff,-318041.5950520681,401594.2378431647,indeterminate,32
broad_stress,linear-002,terminal_default,-0.08990731448825987,0.05752487087575686,indeterminate,32
broad_stress,linear-003,funded_miscoverage,-0.043036475725306333,0.06388072170440964,indeterminate,32
broad_stress,linear-003,realized_payoff,-349942.8110720269,375795.02182320587,indeterminate,32
broad_stress,linear-003,terminal_default,-0.09417540235026532,0.053923449680418054,indeterminate,32
broad_stress,linear-004,funded_miscoverage,-0.019479089823611868,0.08147977427277076,indeterminate,32
broad_stress,linear-004,realized_payoff,-428440.2833215855,226853.5045736473,indeterminate,32
broad_stress,linear-004,terminal_default,-0.05035275451295861,0.09073443085105812,indeterminate,32
broad_stress,linear-005,funded_miscoverage,-0.03829132340905198,0.0674039632377418,indeterminate,32
broad_stress,linear-005,realized_payoff,-346649.0485932178,361027.0302063541,indeterminate,32
broad_stress,linear-005,terminal_default,-0.08151053238506419,0.06469974219603035,indeterminate,32
broad_stress,linear-006,funded_miscoverage,-0.043256526960455094,0.06366067046926088,indeterminate,32
broad_stress,linear-006,realized_payoff,-347592.63366335817,378145.19923187466,indeterminate,32
broad_stress,linear-006,terminal_default,-0.09072146684660616,0.057377385184077215,indeterminate,32
broad_stress,linear-007,funded_miscoverage,-0.013128350194352403,0.08511551390203023,indeterminate,32
broad_stress,linear-007,realized_payoff,-447651.85108630755,169155.25930892528,indeterminate,32
broad_stress,linear-007,terminal_default,-0.038641344685118276,0.09853084067889845,indeterminate,32
broad_stress,linear-008,funded_miscoverage,-0.03289010369592077,0.0723020937337952,indeterminate,32
broad_stress,linear-008,realized_payoff,-369125.243516786,333733.91437844664,indeterminate,32
broad_stress,linear-008,terminal_default,-0.07429175829688818,0.07141542706712853,indeterminate,32
broad_stress,linear-009,funded_miscoverage,-0.04044492046634795,0.06647227696336802,indeterminate,32
broad_stress,linear-009,realized_payoff,-366938.0512408459,352697.7816543869,indeterminate,32
broad_stress,linear-009,terminal_default,-0.08495172939889535,0.062480455965121376,indeterminate,32
core_rules,linear-001,funded_miscoverage,-0.024718756203033418,0.01115407492841344,indeterminate,3
core_rules,linear-001,realized_payoff,-32578.935879550147,284018.387153556,indeterminate,3
core_rules,linear-001,terminal_default,-0.06466375620303341,0.004595741595080108,indeterminate,3
core_rules,linear-002,funded_miscoverage,-0.04032898378755298,0.023586187076022745,indeterminate,3
core_rules,linear-002,realized_payoff,-189656.76978502254,328279.1738044315,indeterminate,3
core_rules,linear-002,terminal_default,-0.08489398378755297,0.01896771638184918,indeterminate,3
core_rules,linear-003,funded_miscoverage,-0.03680146629223355,0.03252109758417977,indeterminate,3
core_rules,linear-003,realized_payoff,-238337.20665831922,302479.95778447273,indeterminate,3
core_rules,linear-003,terminal_default,-0.08916207164955847,0.02224882556018819,indeterminate,3
core_rules,linear-004,funded_miscoverage,-0.013244080390539079,0.005904624789953622,indeterminate,3
core_rules,linear-004,realized_payoff,-48559.08725902889,153538.4405349142,indeterminate,3
core_rules,linear-004,terminal_default,-0.04533942381225174,0.005913808992360724,indeterminate,3
core_rules,linear-005,funded_miscoverage,-0.03205631397597918,0.021477193542356866,indeterminate,3
core_rules,linear-005,realized_payoff,-176061.53578714997,287711.96616762097,indeterminate,3
core_rules,linear-005,terminal_default,-0.0764972016843573,0.017212702265878864,indeterminate,3
core_rules,linear-006,funded_miscoverage,-0.0370215175273823,0.025424054656859388,indeterminate,3
core_rules,linear-006,realized_payoff,-184085.7145630766,304830.13519314147,indeterminate,3
core_rules,linear-006,terminal_default,-0.0857081361458993,0.01703026593941844,indeterminate,3
core_rules,linear-007,funded_miscoverage,-0.00689334076127961,0.003883108882949313,indeterminate,3
core_rules,linear-007,realized_payoff,-38911.502501466275,95840.1952701921,indeterminate,3
core_rules,linear-007,terminal_default,-0.0336280139844114,0.002611035729411893,indeterminate,3
core_rules,linear-008,funded_miscoverage,-0.026655094262847973,0.01764814532244433,indeterminate,3
core_rules,linear-008,realized_payoff,-162498.7625046118,260418.8503397136,indeterminate,3
core_rules,linear-008,terminal_default,-0.0692784275961813,0.01313613864840786,indeterminate,3
core_rules,linear-009,funded_miscoverage,-0.034209911033275156,0.028468744443710687,indeterminate,3
core_rules,linear-009,realized_payoff,-233900.37250965904,279382.7176156538,indeterminate,3
core_rules,linear-009,terminal_default,-0.07993839869818847,0.022676923445464032,indeterminate,3
development_supported,linear-001,funded_miscoverage,-0.018948350831303674,0.040792301658768355,indeterminate,12
development_supported,linear-001,realized_payoff,-207380.2979812589,214805.80470005822,indeterminate,12
development_supported,linear-001,terminal_default,-0.03351210214035216,0.041882301658768356,indeterminate,12
development_supported,linear-002,funded_miscoverage,-0.03455857841582324,0.02926027590012187,indeterminate,12
development_supported,linear-002,realized_payoff,-208384.21485809595,259066.59135093383,indeterminate,12
development_supported,linear-002,terminal_default,-0.053742329724871724,0.026116942566788537,indeterminate,12
development_supported,linear-003,funded_miscoverage,-0.031031060920503804,0.032787793395441314,indeterminate,12
development_supported,linear-003,realized_payoff,-240285.43087805473,233267.375330975,indeterminate,12
development_supported,linear-003,terminal_default,-0.05801041758687721,0.022515521371449736,indeterminate,12
development_supported,linear-004,funded_miscoverage,-0.007473675018809335,0.04774928210942734,indeterminate,12
development_supported,linear-004,realized_payoff,-291330.2476469954,84325.85808141637,indeterminate,12
development_supported,linear-004,terminal_default,-0.014187769749570487,0.05668893868771469,indeterminate,12
development_supported,linear-005,funded_miscoverage,-0.02628590860424944,0.03631103492877348,indeterminate,12
development_supported,linear-005,realized_payoff,-236991.6683992456,218499.38371412308,indeterminate,12
development_supported,linear-005,terminal_default,-0.04534554762167606,0.033291813887062024,indeterminate,12
development_supported,linear-006,funded_miscoverage,-0.03125111215565255,0.032567742160292554,indeterminate,12
development_supported,linear-006,realized_payoff,-237935.25346938602,235617.55273964372,indeterminate,12
development_supported,linear-006,terminal_default,-0.05455648208321805,0.02596945687510889,indeterminate,12
development_supported,linear-007,funded_miscoverage,-0.002809602056216537,0.05126925225972857,indeterminate,12
development_supported,linear-007,realized_payoff,-309330.7508923353,44199.48281669436,indeterminate,12
development_supported,linear-007,terminal_default,-0.004163026588396819,0.06436957903659679,indeterminate,12
development_supported,linear-008,funded_miscoverage,-0.020884688891118226,0.04120916542482688,indeterminate,12
development_supported,linear-008,realized_payoff,-259467.8633228139,191206.26788621576,indeterminate,12
development_supported,linear-008,terminal_default,-0.03812677353350006,0.04000749875816021,indeterminate,12
development_supported,linear-009,funded_miscoverage,-0.028439505661545413,0.0353793486543997,indeterminate,12
development_supported,linear-009,realized_payoff,-257280.67104687376,210170.13516215602,indeterminate,12
development_supported,linear-009,terminal_default,-0.04878674463550722,0.031072527656153044,indeterminate,12
