learner,learner_label,candidate_rows,resolved_rows,unresolved_rows,default_rate,roc_auc,gini,ks,average_precision,brier,log_loss,ece_10,mean_calibration_error,calibration_intercept,calibration_slope,coverage_lower_min,coverage_upper_max,windows_upper_below_0_90
catboost_platt,CatBoost,376890,364814,12076,0.156167252353254,0.6406052990079556,0.2812105980159112,0.20588181451177345,0.2350998561447269,0.12987780627268664,0.42846570011698926,0.047215103762021676,-0.0471089772795769,0.020228532871166095,0.7954274631320676,0.8424845445620738,0.8825970442304121,8
numeric_logistic_platt,Numeric logistic,376890,364814,12076,0.156167252353254,0.6420446945807546,0.2840893891615093,0.2096638411920359,0.24160749827700292,0.128845865115775,0.4327000703812235,0.031149374770624953,-0.028922756555184087,-0.5991391826510897,0.5432095920187805,0.8500305128817427,0.8962217092520364,8
catboost_monotonic_platt,Monotonic CatBoost,376890,364814,12076,0.156167252353254,0.6519537792141734,0.3039075584283468,0.21969571391561254,0.24540282093264182,0.12861326735049058,0.42267695477753886,0.04156277982947754,-0.04126410836574358,0.052284509244371016,0.8351490384153631,0.8483960837379607,0.8864894266231527,8
woe_scorecard_platform_platt,Platform-signal WOE scorecard,376890,364814,12076,0.156167252353254,0.6330661809401453,0.26613236188029066,0.18843820687722823,0.22388791917890766,0.12948509376427816,0.4239586771759354,0.035967619770033946,-0.03551023236967947,0.15367586807582181,0.9186554972959701,0.8489081694924249,0.8949083286900688,8
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,376890,364814,12076,0.156167252353254,0.6129392722275023,0.22587854445500466,0.15809243291132968,0.2151918293521198,0.13019024412756694,0.42796595827034617,0.03176877520031669,-0.029751737101973152,-0.28557359284456246,0.7098359251738742,0.8520125235479848,0.8977261269866539,8
