contrast,role,policy_a,policy_b,policy_a_capital,policy_b_capital,funded_union_loans,unresolved_union_loans,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,realized_payoff_rate_difference_lower,realized_payoff_rate_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_direction_sign_robust,default_direction_sign_robust,miscoverage_direction_sign_robust,causal_interpretation,period
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,143,0,630.4578153269249,-26196.76688651185,-26196.76688651185,-0.02619676688651186,-0.02619676688651186,0.03834149833310503,0.03834149833310503,0.03566649833310505,0.03566649833310505,True,True,True,False,2016-04
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,135,0,862.1147452474106,-64143.241411269315,-64143.241411269315,-0.06414324141126931,-0.06414324141126931,0.10206833895180038,0.10206833895180038,0.09861833895180039,0.09861833895180039,True,True,True,False,2016-05
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,132,0,-198.58452130982187,-12220.573290852242,-12220.573290852242,-0.012220573290852245,-0.012220573290852245,0.02464385236395842,0.02464385236395842,0.030243852363958414,0.030243852363958414,True,True,True,False,2016-06
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,119,0,1786.5520069369231,-42970.00025453759,-42970.00025453759,-0.04297000025453759,-0.04297000025453759,0.07289238940054402,0.07289238940054402,0.07289238940054402,0.07289238940054402,True,True,True,False,2016-07
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,139,0,-685.3556622766482,-32428.865858346428,-32428.865858346428,-0.03242886585834643,-0.03242886585834643,0.04896199436762997,0.04896199436762997,0.06772500000000001,0.06772500000000001,True,True,True,False,2016-08
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,136,0,1215.1110055439349,-17945.9552065171,-17945.9552065171,-0.017945955206517105,-0.017945955206517105,0.030703880736118627,0.030703880736118627,-0.036621119263881376,-0.036621119263881376,True,True,True,False,2016-09
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,130,0,3326.146874700964,-47697.17161135377,-47697.17161135377,-0.04769717161135377,-0.04769717161135377,0.08574999999999999,0.08574999999999999,0.016749999999999998,0.016749999999999998,True,True,True,False,2016-10
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,133,0,2770.2360008083924,-3221.175589944227,-3221.175589944227,-0.0032211755899442217,-0.0032211755899442217,0.01320418815043943,0.01320418815043943,0.0032041881504394285,0.0032041881504394285,True,True,True,False,2016-11
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,128,0,2984.238496193924,-30901.807053563138,-30901.807053563138,-0.030901807053563154,-0.030901807053563154,0.04830000000000001,0.04830000000000001,0.0396,0.0396,True,True,True,False,2016-12
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,130,0,-2541.283616924018,-38849.76615791046,-38849.76615791046,-0.038849766157910456,-0.038849766157910456,0.05952288433102411,0.05952288433102411,0.026897884331024108,0.026897884331024108,True,True,True,False,2017-01
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,999999.9999999999,1000000.0,126,0,-1196.5777921263943,-12745.381996945805,-12745.381996945805,-0.012745381996945805,-0.012745381996945805,0.025595066937699775,0.025595066937699775,0.051995066937699785,0.051995066937699785,True,True,True,False,2017-02
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,111,0,1321.6175949960307,-20383.02980354905,-20383.02980354905,-0.020383029803549033,-0.020383029803549033,0.03185,0.03185,0.013850000000000005,0.013850000000000005,True,True,True,False,2017-03
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,143,2,-1144.4694681588735,-23633.84904555257,-11465.749045552562,-0.02363384904555257,-0.011465749045552562,0.023923342595859223,0.042923342595859226,0.035423342595859234,0.054423342595859237,True,True,True,False,2017-04
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,148,17,-530.0563181324687,-26301.96505725447,80021.08744274554,-0.026301965057254472,0.08002108744274553,-0.12002710333143561,0.04564789666856438,-0.09807710333143561,0.037597896668564376,False,False,False,False,2017-05
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,1000000.0,1000000.0,136,27,-120.96899138618028,-106947.4846161519,-14818.76976422009,-0.10694748461615189,-0.014818769764220096,0.03073059978467475,0.1739,0.04823059978467475,0.1814,True,True,True,False,2017-06
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,172,0,-7459.4757075223315,9733.515809177083,9733.515809177083,0.009733515809177083,0.009733515809177083,-0.04710000000000001,-0.04710000000000001,0.024624999999999998,0.024624999999999998,True,True,True,False,2016-04
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,150,0,-9919.913960550184,-36526.89772183081,-36526.89772183081,-0.036526897721830806,-0.036526897721830806,0.015818338951800404,0.015818338951800404,0.07706833895180039,0.07706833895180039,True,True,True,False,2016-05
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,1000000.0,1000000.0,150,0,-7228.127226832497,-38528.948355795845,-38528.948355795845,-0.038528948355795845,-0.038528948355795845,0.037024999999999995,0.037024999999999995,0.06812499999999999,0.06812499999999999,True,True,True,False,2016-06
