policy_label,months,total_budget,expected_objective,realized_payoff_lower,realized_payoff_upper,unresolved_candidates,unresolved_positive_exposure,weighted_pd_point,weighted_pd_effective,weighted_conformal_upper,weighted_default_lower,weighted_default_upper,weighted_miscoverage_lower,weighted_miscoverage_upper,unresolved_exposure_share,role
development_selected_point_pd,3,3000000.0,578010.7438577311,-253544.2525,258320.77000000002,28716,70,0.12619377400902296,0.12619377400902296,0.9576022971408846,0.2688583333333333,0.5028333333333332,0.19861666666666666,0.38844999999999996,0.23397500000000002,censored_extension
matched_point_pd,3,3000000.0,578010.7438577311,-253544.2525,258320.77000000002,28716,70,0.12619377400902296,0.12619377400902296,0.9576022971408846,0.2688583333333333,0.5028333333333332,0.19861666666666666,0.38844999999999996,0.23397500000000002,censored_extension
selected_conformal_guardrail,3,3000000.0,503053.2193213819,-273940.5493009419,190722.6271487094,28716,76,0.07484646581419181,0.17000000000000004,0.4554606025574246,0.22488333333333332,0.4598083333333334,0.23655833333333334,0.45445833333333335,0.234925,censored_extension
