learner,learner_label,pair_id,transition,pair_index,window_from,window_to,taxonomy_groups,conformal_group,score_stratum,candidate_rows,resolved_rows,unresolved_rows,threshold_from,threshold_to,threshold_low,threshold_high,threshold_delta,threshold_sign,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,resolved_delta_rate,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,delta_lower,delta_upper,delta_width
catboost_platt,CatBoost,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,0,1,60520,58445,2075,0.0491131879466576,0.0490039526461765,0.0490039526461765,0.0491131879466576,-0.000109235300481,-1,297,0,264,0,-264,0,-264,52092,51828,-0.0045170673282573,-273,-264,9,-0.0045109054857898,-0.0043621943159286,0.0001487111698612
catboost_platt,CatBoost,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,1,2,79865,77165,2700,0.0796458969830263,0.0797876649605875,0.0796458969830263,0.0797876649605875,0.0001417679775611,1,364,0,298,0,298,0,298,67395,67693,0.003861854467699,298,316,18,0.0037312965629499,0.0039566768922556,0.0002253803293057
catboost_platt,CatBoost,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,2,3,79047,76495,2552,0.8919735883395368,0.8920116585417792,0.8919735883395368,0.8920116585417792,3.807020224244617e-05,1,0,101,0,17,0,17,17,66661,66678,0.0002222367474998,17,19,2,0.0002150619251837,0.0002403633281465,2.5301402962794287e-05
catboost_platt,CatBoost,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,3,4,80235,77819,2416,0.8617614186932525,0.862876020574146,0.8617614186932525,0.862876020574146,0.0011146018808935,1,0,2108,0,413,0,413,413,67919,68332,0.0053071871907888,413,480,67,0.0051473795725057,0.0059824266217984,0.0008350470492927
catboost_platt,CatBoost,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,4,5,77223,74890,2333,0.8095744723631617,0.8111630187017316,0.8095744723631617,0.8111630187017316,0.0015885463385698,1,0,1253,0,309,0,309,309,65892,66201,0.0041260515422619,309,338,29,0.0040013985470649,0.0043769343330354,0.0003755357859705
catboost_platt,CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,0,1,60520,58445,2075,0.0490039526461765,0.0488154400698228,0.0488154400698228,0.0490039526461765,-0.0001885125763537,-1,457,0,405,0,-405,0,-405,51828,51423,-0.0069295919240311,-421,-405,16,-0.0069563780568407,-0.0066920026437541,0.0002643754130865
catboost_platt,CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,1,2,79865,77165,2700,0.0797876649605875,0.0797095922909728,0.0797095922909728,0.0797876649605875,-7.807266961470938e-05,-1,206,0,168,0,-168,0,-168,67693,67525,-0.0021771528542733,-178,-168,10,-0.0022287610342452,-0.0021035497401865,0.0001252112940587
catboost_platt,CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,2,3,79047,76495,2552,0.8920116585417792,0.8916085888119072,0.8916085888119072,0.8920116585417792,-0.000403069729872,-1,0,970,0,152,0,-152,-152,66678,66526,-0.0019870579776455,-177,-152,25,-0.0022391741622072,-0.0019229066251723,0.0003162675370349
catboost_platt,CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,3,4,80235,77819,2416,0.862876020574146,0.863313952320159,0.862876020574146,0.863313952320159,0.0004379317460129,1,0,851,0,144,0,144,144,68332,68476,0.0018504478340765,144,165,21,0.0017947279865395,0.0020564591512432,0.0002617311647036
catboost_platt,CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,4,5,77223,74890,2333,0.8111630187017316,0.8115631424920364,0.8111630187017316,0.8115631424920364,0.0004001237903048,1,0,295,0,59,0,59,59,66201,66260,0.0007878221391374,59,68,9,0.000764021081802,0.0008805666705515,0.0001165455887494
catboost_platt,CatBoost,02:w03_2012m03_m08->w04_2012m04_m09,W3--W4,2,w03_2012m03_m08,w04_2012m04_m09,5,0,1,60520,58445,2075,0.0488154400698228,0.0485356508584787,0.0485356508584787,0.0488154400698228,-0.000279789211344,-1,693,0,609,0,-609,0,-609,51423,50814,-0.0104200530413209,-631,-609,22,-0.0104263053536021,-0.010062789160608,0.000363516192994
