grade,n_funded,exposure,exposure_share,weighted_default_rate,weighted_miscoverage,weighted_pd_point,weighted_pd_effective,weighted_pd_high,realized_return
B,1,4000.0,0.004,0.0,0.0,0.06207486505052294,0.10147180683774551,0.14086874862496807,643.1999999999999
C,91,313565.9904450649,0.31356599044506495,0.028622364266166715,0.028622364266166715,0.06780118581238306,0.10859786707930257,0.14939454834622204,47303.7528804385
D,170,586834.0095549352,0.5868340095549351,0.045839197391441946,0.045839197391441946,0.08832773498776167,0.19492559567178316,0.30152345635580474,109618.0772518213
E,33,80600.0,0.0806,0.0,0.0,0.08524228589130531,0.17955099586752693,0.27385970584374847,19879.705
F,11,13000.0,0.013000000000000001,0.2692307692307692,0.07692307692307691,0.11097039235072648,0.4256872635040547,0.7404041346573831,1266.55
G,2,2000.0,0.002,0.0,0.0,0.14680145627400495,0.5734007281370025,1.0,616.3000000000001
