selected_for_policy,target_alpha,used_alpha,target_coverage,empirical_coverage,coverage_gap,avg_width,min_partition_coverage,min_grade_coverage,high_endpoint_at_one_rate
False,0.01,0.0095,0.99,0.9967204706919157,0.006720470691915725,0.9882149910656284,0.989628743645835,0.9722703639514731,0.9354243342519386
False,0.03,0.028499999999999998,0.97,0.9884783056246818,0.01847830562468178,0.9697789837688854,0.9697990273996318,0.9664933564413634,0.8323141991338864
False,0.05,0.0475,0.95,0.9728246932664907,0.022824693266490725,0.9535799768723978,0.9505830880848586,0.9525750124329999,0.7181555175913519
False,0.07,0.0665,0.9299999999999999,0.9552712654721186,0.025271265472118665,0.795666199875876,0.9347822665680426,0.938442835829143,0.6135500904760013
True,0.1,0.095,0.9,0.9348356081757077,0.03483560817570763,0.7888790790793794,0.9263099219620958,0.9267968822615554,0.5178730735474177
False,0.12,0.11399999999999999,0.88,0.9182645944471934,0.038264594447193434,0.7831737841625059,0.906874767744333,0.9057375416605808,0.4545109781160043
False,0.15,0.1425,0.85,0.8860977574231856,0.03609775742318566,0.6461762449744832,0.8635623982976592,0.8631010078209027,0.33485872380078663
False,0.2,0.19,0.8,0.8493800317117481,0.049380031711748096,0.6365853175970958,0.8293756967670011,0.828006532910199,0.24466805601204902
