variant,color_group,window_months,n_rows,default_rate,auc_roc,pr_auc,coverage_90,alpha01_coverage,coverage90_pass,alpha01_pass,screening_robust_objective,recommendation
freddie_fm12_both,both,12,2849457,0.0059523621518064,0.7681863221355728,0.0222124268822717,0.7578453348849258,0.9774174647316434,False,False,1287040.6418207984,sensitivity only
freddie_fm24_both,both,24,2420190,0.0103363785487916,0.7800044357516288,0.0422297603093363,0.9369215610110188,0.9889295157422392,True,False,1118619.780863266,sensitivity only
freddie_fm36_both,both,36,3581402,0.0114142450358825,0.7890898429830087,0.0496332913708696,0.9056827296391612,0.9871002504662412,True,False,1042378.4068574588,sensitivity only
freddie_fm36_green,green,36,2383971,0.0047483799089837,0.7143282449429617,0.0122747793777575,0.8874942306290841,0.9873205421994056,False,False,1035323.9699910176,sensitivity only
freddie_fm36_red,red,36,1197431,0.0246853472141609,0.7047998404460994,0.0575720961155313,0.9082773067081432,0.9853776779890624,True,False,990317.6758330629,sensitivity only
freddie_fm48_both,both,48,3173355,0.0145435981792141,0.7838634726333499,0.0517822051269566,0.974523173547136,0.9907116706887202,True,True,1060065.9648987832,selected main external mortgage replication
freddie_fm60_both,both,60,3579151,0.0218331107013925,0.7270254323985861,0.0728705047312328,0.959101839256819,0.9822399292863524,True,False,1033755.5253137936,sensitivity only
