learner,learner_label,window,window_id,taxonomy_groups,stratum_tests,minimum_stratum_log_p_value,minimum_stratum_p_value,source_cell_bonferroni_log_p_value,source_cell_bonferroni_p_value,strata_with_non_singleton_calibration_threshold_ties,all_calibration_threshold_ties_singleton,source_holm_rank,locked_nominal_holm_critical_value,source_holm_adjusted_log_p_value,source_holm_adjusted_p_value,meets_locked_nominal_holm_threshold
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,5,-11.85141708596283,7.12844752295318e-06,-10.24197917352873,3.564223761476587e-05,0,True,28,0.0038461538461538464,-7.621558047038693,0.0004897781389542723,True
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,5,-12.489354269271388,3.7665380433836563e-06,-10.879916356837288,1.883269021691827e-05,0,True,25,0.003125,-8.107327634597507,0.0003013230434706924,True
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,5,-15.525065200846285,1.8094636042465647e-07,-13.915627288412185,9.047318021232817e-07,0,True,20,0.002380952380952381,-10.871104850688763,1.8999367844588908e-05,True
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,5,-24.38836444354683,2.5601646667899752e-11,-22.77892653111273,1.2800823333949867e-10,0,True,16,0.002,-19.56005070624453,3.2002058334874616e-09,True
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,5,-32.77553805499364,5.831290552423462e-15,-31.16610014255954,2.915645276211729e-14,0,True,9,0.0015625,-27.700364239759814,9.33006488387752e-13,True
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,5,-36.860362237277386,9.811786269740981e-17,-35.25092432484328,4.9058931348705045e-16,0,True,8,0.0015151515151515152,-31.754416763376803,1.6189447345072657e-14,True
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,5,-46.64029115797803,5.551098271271486e-21,-45.03085324554392,2.775549135635751e-20,0,True,4,0.0013513513513513514,-41.4199353328997,1.0269531801852291e-18,True
catboost_platt,CatBoost,W8,w08_2012m08_2013m01,5,5,-56.789493058235394,2.170883584808606e-25,-55.18005514580129,1.0854417924043062e-24,0,True,1,0.00125,-51.49117569168735,4.34176716961723e-23,True
numeric_logistic_platt,Numeric logistic,W1,w01_2012m01_m06,5,5,-3.2220257866561974,0.03987419976546452,-1.6125878742220972,0.19937099882732257,0,True,40,0.05,-0.9170612210301459,0.39969192303782386,False
numeric_logistic_platt,Numeric logistic,W2,w02_2012m02_m07,5,5,-3.7777512919174114,0.02287407074265959,-2.168313379483311,0.11437035371329796,0,True,39,0.025,-0.9170612210301459,0.39969192303782386,False
numeric_logistic_platt,Numeric logistic,W3,w03_2012m03_m08,5,5,-4.049811828532102,0.017425653341773137,-2.440373916098001,0.08712826670886568,0,True,37,0.0125,-0.9170612210301459,0.39969192303782386,False
numeric_logistic_platt,Numeric logistic,W4,w04_2012m04_m09,5,5,-5.289992924168616,0.005041795934462669,-3.6805550117345156,0.025208979672313347,0,True,34,0.0071428571428571435,-1.7346448626792024,0.1764628577061934,False
numeric_logistic_platt,Numeric logistic,W5,w05_2012m05_m10,5,5,-8.987835721020149,0.00012492016296189988,-7.378397808586048,0.0006246008148094994,0,True,30,0.004545454545454546,-4.980502535787678,0.006870608962904495,True
numeric_logistic_platt,Numeric logistic,W6,w06_2012m06_m11,5,5,-16.9961791308997,4.1557861369767415e-08,-15.386741218465602,2.077893068488369e-07,0,True,19,0.002272727272727273,-12.295698765107286,4.571364750674413e-06,True
numeric_logistic_platt,Numeric logistic,W7,w07_2012m07_m12,5,5,-27.10150831640252,1.6981047895927465e-12,-25.49207040396842,8.490523947963725e-12,0,True,14,0.001851851851851852,-22.19623353796409,2.2924414659502062e-10,True
numeric_logistic_platt,Numeric logistic,W8,w08_2012m08_2013m01,5,5,-37.91071586171648,3.432300442043965e-17,-36.30127794928238,1.7161502210219874e-16,0,True,7,0.0014705882352941176,-32.77491742466622,5.834910751474742e-15,True
catboost_monotonic_platt,Monotonic CatBoost,W1,w01_2012m01_m06,5,5,-15.056977056124584,2.889601475410507e-07,-13.447539143690484,1.4448007377052523e-06,0,True,21,0.0025,-10.451806870136494,2.8896014754105028e-05,True
catboost_monotonic_platt,Monotonic CatBoost,W2,w02_2012m02_m07,5,5,-12.283714428123144,4.626479121273407e-06,-10.674276515689044,2.3132395606367013e-05,0,True,26,0.0033333333333333335,-7.966226314586834,0.00034698593409550533,True
catboost_monotonic_platt,Monotonic CatBoost,W3,w03_2012m03_m08,5,5,-14.949443324045475,3.217653370376751e-07,-13.340005411611376,1.6088266851883743e-06,0,True,22,0.002631578947368421,-10.395566432444936,3.0567707018579107e-05,True
catboost_monotonic_platt,Monotonic CatBoost,W4,w04_2012m04_m09,5,5,-19.924839930467638,2.2220404746793145e-09,-18.315402018033538,1.1110202373396564e-08,0,True,18,0.002173913043478261,-15.179907802104388,2.55534654588121e-07,True
catboost_monotonic_platt,Monotonic CatBoost,W5,w05_2012m05_m10,5,5,-25.996757012551043,5.125684634784469e-12,-24.387319100116944,2.5628423173922327e-11,0,True,15,0.0019230769230769232,-21.12922256209546,6.663390025219814e-10,True
catboost_monotonic_platt,Monotonic CatBoost,W6,w06_2012m06_m11,5,5,-28.463780579460916,4.348476828705491e-13,-26.854342667026817,2.1742384143527437e-12,0,True,12,0.001724137931034483,-23.487046837040342,6.30529140162296e-11,True
catboost_monotonic_platt,Monotonic CatBoost,W7,w07_2012m07_m12,5,5,-41.491316324578314,9.562033774044238e-19,-39.88187841214421,4.7810168870221326e-18,0,True,6,0.0014285714285714286,-36.3265303506548,1.6733559104577424e-16,True
catboost_monotonic_platt,Monotonic CatBoost,W8,w08_2012m08_2013m01,5,5,-51.43910829953802,4.5738204453199406e-23,-49.82967038710392,2.286910222659977e-22,0,True,2,0.001282051282051282,-46.16610874097427,8.918949868373885e-21,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W1,w01_2012m01_m06,5,5,-4.6281788112957205,0.009772540546200722,-3.01874089886162,0.04886270273100361,0,True,35,0.008333333333333333,-1.226981429633565,0.2931762163860217,False
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W2,w02_2012m02_m07,5,5,-4.042295760555569,0.017557119170991085,-2.4328578481214684,0.08778559585495545,0,True,38,0.016666666666666666,-0.9170612210301459,0.39969192303782386,False
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W3,w03_2012m03_m08,5,5,-8.69882681302878,0.0001667813619771815,-7.08938890059468,0.0008339068098859076,0,True,31,0.005,-4.786803807600634,0.008339068098859079,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W4,w04_2012m04_m09,5,5,-14.249243646248814,6.480852139382215e-07,-12.639805733814715,3.2404260696911047e-06,0,True,23,0.002777777777777778,-9.74943397591855,5.832766925443993e-05,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W5,w05_2012m05_m10,5,5,-29.364608465621988,1.7664956817669574e-13,-27.755170553187888,8.832478408834781e-13,0,True,11,0.0016666666666666668,-24.353973171525734,2.6497435226504306e-11,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W6,w06_2012m06_m11,5,5,-32.41694251140555,8.346429841216966e-15,-30.80750459897145,4.1732149206084794e-14,0,True,10,0.0016129032258064516,-27.373517394486306,1.2936966253886276e-12,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W7,w07_2012m07_m12,5,5,-42.41210029969552,3.807666244425588e-19,-40.802662387261414,1.9038331222127992e-18,0,True,5,0.001388888888888889,-37.219143448805305,6.85379923996607e-17,True
woe_scorecard_platform_platt,Platform-signal WOE scorecard,W8,w08_2012m08_2013m01,5,5,-48.77576813144439,6.560743365349263e-22,-47.166330219010284,3.2803716826746406e-21,0,True,3,0.0013157894736842105,-43.528744059283895,1.2465412394163677e-19,True
