learner,learner_label,taxonomy_groups,role,conformal_group,window_id,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper
catboost_platt,CatBoost,1,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8773868327421646,0.8530287351747194,0.8813155031972193
catboost_platt,CatBoost,1,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.880999632689535,0.857003369683462,0.8848125447743374
catboost_platt,CatBoost,1,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8802841996195322,0.8562312611106688,0.8841200350234817
catboost_platt,CatBoost,1,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8795249085835521,0.8554087399506487,0.8833850725675927
catboost_platt,CatBoost,1,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8784860230144677,0.8542545570325559,0.8823794741171164
catboost_platt,CatBoost,1,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8779569862998678,0.853652259279896,0.8818673883626522
catboost_platt,CatBoost,1,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8741331198912322,0.8494680145400515,0.8781660431425615
catboost_platt,CatBoost,1,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8703722993086889,0.8453739817984027,0.874525723685956
catboost_platt,CatBoost,2,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8791795271014818,0.8559287855873067,0.8827350155217702
catboost_platt,CatBoost,2,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.8808707999144769,0.8577409854334156,0.8843933243121335
catboost_platt,CatBoost,2,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.879911406908726,0.856807025922683,0.8834301785666906
catboost_platt,CatBoost,2,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.878965719517343,0.8558067340603359,0.8825121388203454
catboost_platt,CatBoost,2,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8776116048177975,0.8543421157366871,0.8811961049643132
