paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-002,44,0.3,indeterminate,negative,indeterminate,-18328.299662752383,141644.3231595758,-0.01758396022043293,-0.0007595413750720596,-0.00820635558219763,0.008551396596496577
linear-002,44,1.0,indeterminate,indeterminate,indeterminate,-46929.79200748804,91549.27939473721,-0.012883626737835378,0.0014816725687689762,-0.0007405992283255509,0.013624700078278807
linear-003,40,0.2,indeterminate,indeterminate,indeterminate,-78847.59767344722,91638.88692383438,-0.013575204020566306,0.004272724427674866,-0.005171802271515721,0.01267612617672545
linear-003,40,0.25,indeterminate,indeterminate,indeterminate,-94393.61580454123,83815.55169545872,-0.013805071415808147,0.0050149285841918564,-0.006865071415808147,0.011954928584191856
linear-003,40,0.3,negative,indeterminate,indeterminate,-164358.74600829714,-16363.086008297149,-0.003983996257527301,0.0117210037424727,-0.001997892118273701,0.013707107881726298
linear-003,40,1.0,indeterminate,indeterminate,indeterminate,-150558.09758227668,65942.53491772337,-0.013119681673853452,0.00950031832614655,-0.005241348340520118,0.017378651659479882
linear-003,41,0.2,positive,negative,negative,73604.12546000036,248278.38024556002,-0.030621948473125795,-0.012346662726617143,-0.020193875719721675,-0.0023202566398796897
linear-003,41,0.25,positive,negative,negative,66569.80448574919,264804.73698574916,-0.030950246282915317,-0.010670246282915316,-0.021344732373181335,-0.0019997323731813337
linear-003,41,0.3,indeterminate,indeterminate,indeterminate,-89799.46751026032,132846.06516878854,-0.01747301106162427,0.0050006007686562385,-0.008781954690115293,0.01335832380683188
linear-003,41,1.0,indeterminate,indeterminate,positive,-150478.99523488997,28987.576521194293,-0.007670888562176175,0.009875498143805492,0.0023245173072320834,0.01987090401321375
linear-003,42,0.2,indeterminate,indeterminate,indeterminate,-105798.15006509417,109164.44258358805,-0.017096403907652054,0.00502192942568128,-0.003140183990010448,0.017391482676656217
linear-003,42,0.25,negative,indeterminate,positive,-195811.88184517133,-26690.686845171324,-0.0021584886029494196,0.01508651139705058,0.01210367712875568,0.027095343795422347
linear-003,42,0.3,negative,positive,positive,-234420.20529336712,-92151.60241129849,0.004246947418126468,0.01864469020891859,0.019288638277757397,0.03209971440188285
linear-003,42,1.0,indeterminate,indeterminate,positive,-102589.81921750374,23001.68828249626,-0.006920589316093668,0.006179410683906331,0.0066819666152310095,0.018195299948564343
linear-003,43,0.2,positive,negative,negative,66990.8235428728,200646.46588195296,-0.02511500616801158,-0.010257540257140646,-0.017534047543879397,-0.0026765816330084633
linear-003,43,0.25,indeterminate,indeterminate,indeterminate,-85658.84996352339,50933.74503647661,-0.00992763166119004,0.005092368338809961,-0.004809895170117424,0.010210104829882577
linear-003,43,0.3,indeterminate,indeterminate,indeterminate,-111422.2028696269,22068.31560162529,-0.00843668804372559,0.006213418228866346,-0.001392245977810641,0.013257860294781296
linear-003,43,1.0,indeterminate,indeterminate,indeterminate,-106029.48650431601,48765.18349568398,-0.012274966322300827,0.00442503367769917,-0.0028365435757666097,0.013863456424233388
linear-003,44,0.2,indeterminate,indeterminate,indeterminate,-53129.19171846887,95610.53975073043,-0.013029595783083539,0.002788411723225765,-0.002281859541536346,0.013536147964772954
linear-003,44,0.25,indeterminate,indeterminate,indeterminate,-31997.169902300426,146124.9299702932,-0.018562138956523533,0.0003664956302342093,-0.00882409783793425,0.010104536748823495
linear-003,44,0.3,positive,negative,indeterminate,28619.923041663787,190929.11343402576,-0.023000837780232215,-0.005982136099148458,-0.009602524425644222,0.00734951058877287
linear-003,44,1.0,indeterminate,indeterminate,positive,-157086.55277297134,15947.869484253475,-0.006057170945005315,0.011944187272656923,0.0069642648584444244,0.024965623076106662
linear-004,40,0.2,positive,negative,negative,57578.64433600436,128568.56225346733,-0.014011674795437747,-0.0071968032841875935,-0.011812549874765488,-0.005209345030182
linear-004,40,0.25,negative,indeterminate,indeterminate,-84086.4426943594,-10604.303075767952,-0.0010041473713480633,0.005963573858378419,-0.0047266086196449475,0.0015350580470217183
linear-004,40,0.3,negative,positive,positive,-186593.29039393118,-96175.03019309186,0.007830632719169605,0.01646134341454794,0.0011997260688189771,0.00800305940215231
linear-004,40,1.0,negative,positive,positive,-209158.00298238284,-82398.64717215097,0.007099272798192663,0.01941279918174331,0.009067372885962413,0.02075857671912268
linear-004,41,0.2,indeterminate,negative,indeterminate,-1486.7794152702845,121361.01524165072,-0.013580601298010385,-0.0016364641667344368,-0.01040707764399356,0.00013852616414911393
linear-004,41,0.25,positive,negative,negative,78303.75226924909,139718.13976924907,-0.015519241489690075,-0.009499241489690075,-0.012851599273660821,-0.008031599273660822
linear-004,41,0.3,indeterminate,indeterminate,indeterminate,-14723.049008274302,65706.40295579232,-0.007740732737981125,0.00012212966652370462,-0.004012729671115457,0.0025167994000560396
linear-004,41,1.0,positive,negative,indeterminate,2913.7445589714043,123267.94955897142,-0.013643212875737176,-0.001891546209070507,-0.0076440996057955575,0.0027742337275377766
linear-004,42,0.2,positive,negative,negative,25828.38426580328,64183.268563455866,-0.006869680570843999,-0.003190050980945762,-0.0036113472375106665,-0.001131717647612429
linear-004,42,0.25,indeterminate,indeterminate,positive,-45995.41979403753,7034.364639026142,-0.0015181158115019997,0.003815942541720797,0.001486924645727316,0.005620982998950114
linear-004,42,0.3,indeterminate,indeterminate,positive,-45236.898709639776,21371.473178067477,-0.0024188649108854293,0.004197591675800277,0.00473234134107662,0.011238797927762327
linear-004,42,1.0,negative,positive,positive,-234006.99352850817,-135195.6960688937,0.011346207828952931,0.020986117242208644,0.010691692865985633,0.01994493561257468
linear-004,43,0.2,positive,negative,negative,72425.64478548549,114130.42432549689,-0.013823585910963996,-0.00944504528356483,-0.016616499919557538,-0.012237959292158374
linear-004,43,0.25,negative,positive,indeterminate,-62788.9396082463,-27574.524608246313,0.00033817813027282395,0.00394984479693949,-0.00025008523022201565,0.003361581436444651
linear-004,43,0.3,negative,positive,positive,-79564.15387211555,-51511.93793566061,0.0035218926016212498,0.006354406856418831,0.0032585592682879173,0.006091073523085498
linear-004,43,1.0,negative,positive,positive,-118185.10091049457,-30958.048410494557,0.0010319759055653476,0.00995697590556535,0.0015638127240092227,0.009822146057342555
linear-004,44,0.2,negative,positive,positive,-141808.82339073438,-36282.89941005457,0.002730061978540462,0.01316835972826052,0.003441274045394924,0.012812905128448316
linear-004,44,0.25,negative,positive,positive,-152199.15325743658,-26180.12980209083,0.0015316147938597819,0.014004171194244661,0.0025573853637764453,0.01396327509749466
linear-004,44,0.3,indeterminate,indeterminate,positive,-40831.74219133562,43295.14475630356,-0.005591092153284246,0.002626433695863255,0.0016897922428275726,0.00902479224282757
linear-004,44,1.0,indeterminate,indeterminate,indeterminate,-106940.758645911,15518.153362102821,-0.00429492889283868,0.007978527077599787,-0.007539580810506539,0.002667208493265259
linear-005,40,0.2,indeterminate,indeterminate,positive,-107199.14108365643,15038.516188030859,-0.004372146026311372,0.008213975593710374,0.00042952416879539837,0.012163093547758777
linear-005,40,0.25,indeterminate,negative,negative,-12167.53023195202,117143.83528389457,-0.015873980408699365,-0.0026511974039796424,-0.015265647075366038,-0.002042864070646311
linear-005,40,0.3,indeterminate,indeterminate,indeterminate,-158885.9657712872,4034.377745621925,-0.00407553016723612,0.013054071782073778,-0.0023770372462675517,0.014752564703042346
linear-005,40,1.0,negative,indeterminate,positive,-178302.0750070635,-2008.9297429382495,-0.0034539145228435443,0.014816599241807192,0.0025460854771564563,0.020816599241807194
linear-005,41,0.2,positive,negative,negative,161396.12644158182,323498.1646778552,-0.03554257369172806,-0.019363683131344414,-0.030313579308480856,-0.01546802208143054
linear-005,41,0.25,indeterminate,negative,indeterminate,-12182.36280999901,179490.6722889635,-0.020397140131989587,-0.0014701709574656747,-0.0171145408309474,0.0001457616769098436
linear-005,41,0.3,indeterminate,indeterminate,indeterminate,-74273.94634731463,73389.43455782597,-0.010033021361255542,0.004698243926673529,-0.006110879495289956,0.008620385792639115
linear-005,41,1.0,indeterminate,indeterminate,indeterminate,-56872.64934980699,77461.70700032552,-0.012002173072252088,0.0013671871645562625,-0.007849262502383835,0.005520097734424514
linear-005,42,0.2,indeterminate,indeterminate,positive,-152873.9723640098,12541.469989219295,-0.004793748485522295,0.012055663443737062,0.005056530853614554,0.02070594278287391
