paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-009,42,0.25,negative,positive,positive,-218918.9543599012,-74357.55685990123,0.0028877932856407086,0.017311126618974042,0.013609654496699496,0.026446321163366163
linear-009,42,0.3,negative,positive,positive,-198819.73024958454,-65135.55693374276,0.002303963024204706,0.01560947109227128,0.014937296357538038,0.026656137758937944
linear-009,42,1.0,negative,positive,positive,-156092.83935053652,-36930.61537781421,0.000209720242102477,0.012684148937381113,0.0063912812262087336,0.0184790432548207
linear-009,43,0.2,positive,negative,negative,122166.21073104737,243304.29612859472,-0.02879906698827843,-0.015625385212432414,-0.02302515139988548,-0.010518136290706135
linear-009,43,0.25,positive,negative,negative,18126.980808021457,142423.97245127294,-0.01852133534761609,-0.004968294259020834,-0.015962368816127392,-0.0024788010766819205
linear-009,43,0.3,indeterminate,indeterminate,indeterminate,-108019.14462410373,11208.079472706675,-0.006575480425805535,0.006475766909309398,-0.003728752490251834,0.009322494844863097
linear-009,43,1.0,negative,indeterminate,indeterminate,-151894.4948093271,-305.6660034054512,-0.006210003786815457,0.010239292321292368,-0.0023370412257922033,0.014112254882315623
linear-009,44,0.2,indeterminate,indeterminate,positive,-105284.52266425047,34950.509835749544,-0.006408176206450756,0.008476823793549243,5.7604960287992515e-05,0.014942604960287991
linear-009,44,0.25,indeterminate,negative,indeterminate,-13779.964385185973,159341.75080692058,-0.01970300441809277,-0.001423284579119003,-0.0120733285550984,0.006206391283875366
linear-009,44,0.3,positive,negative,indeterminate,32484.878004405524,192551.85080944948,-0.022769048154499472,-0.005942220753859381,-0.01260982098096364,0.004150339753009789
linear-009,44,1.0,indeterminate,indeterminate,positive,-103970.16760350557,46107.526698444446,-0.008478369304169182,0.007114876135392002,0.003363464277943748,0.01895670971750493
