window_id,conformal_fit_window,run_tag,conformal_fit_rows,conformal_fit_coverage,taxonomy_groups,primary_rows,primary_resolved_rows,primary_unresolved_rows,resolved_empirical_coverage,all_candidate_coverage_lower,all_candidate_coverage_upper,mean_interval_width,upper_endpoint_one_share
early_2012h1,2012-01_to_2012-06,ijds-fixed-taxonomy-c2-2026-07-11-v2,14948,0.9003880117741504,1,376890,365339,11551,0.8765420609351862,0.8530287351747194,0.8803258245111306,0.9249354645085559,0.12490116479609435
early_2012h1,2012-01_to_2012-06,ijds-fixed-taxonomy-c2-2026-07-11-v2,14948,0.9003880117741504,2,376890,365339,11551,0.8784033459335029,0.8559287855873067,0.8818196290694897,0.5835631345329754,0.16496059858314097
early_2012h1,2012-01_to_2012-06,ijds-fixed-taxonomy-c2-2026-07-11-v2,14948,0.9003880117741504,5,376890,365339,11551,0.8763121374942177,0.8547135769057285,0.8796465812305978,0.6649918872956118,0.18708376449361883
early_2012h1,2012-01_to_2012-06,ijds-fixed-taxonomy-c2-2026-07-11-v2,14948,0.9003880117741504,10,376890,365339,11551,0.878614109087724,0.8574040170872138,0.8819416805964605,0.6660719075700708,0.20341478946111596
late_2012h2_2013m1,2012-07_to_2013-01,ijds-fixed-taxonomy-c2-temporal-v3-2026-07-12-v1,33909,0.9001739951045445,1,376890,365339,11551,0.8714645849471313,0.8475178434025843,0.8754039640213325,0.9171022694763707,0.10412321897635915
late_2012h2_2013m1,2012-07_to_2013-01,ijds-fixed-taxonomy-c2-temporal-v3-2026-07-12-v1,33909,0.9001739951045445,2,376890,365339,11551,0.871147071623889,0.8482793387991191,0.8747300273289289,0.5805301380390615,0.1413038287033352
late_2012h2_2013m1,2012-07_to_2013-01,ijds-fixed-taxonomy-c2-temporal-v3-2026-07-12-v1,33909,0.9001739951045445,5,376890,365339,11551,0.8674518734654664,0.8450715062750405,0.8709729629334819,0.6637491227501693,0.1521982541325055
late_2012h2_2013m1,2012-07_to_2013-01,ijds-fixed-taxonomy-c2-temporal-v3-2026-07-12-v1,33909,0.9001739951045445,10,376890,365339,11551,0.8687137152069722,0.8468598264745681,0.8722147045557059,0.5814162018149593,0.17013717530313885
