baseline,contractual_component,resolved_default_penalty,unresolved_penalty_lower,unresolved_penalty_upper,realized_difference_lower,realized_difference_upper,expected_interest_component,expected_default_loss_component,expected_difference
same_threshold_point_pd,-717653.1152666197,516407.4185195009,-121458.09073089434,143205.3575,-322703.7874780132,-58040.33924711883,-516234.54586279806,275256.7672399736,-240977.77862282447
development_matched_point_pd,86171.75283153467,-488201.6384409002,-104557.14823089434,106062.71912103746,-506587.0338402599,-295967.1664883281,53474.87911068069,-44995.70094124065,8479.178169440042
